target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,selected_dist,distractor_level,category,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,key_resp.keys,key_resp.started,key_resp.stopped,text_consent_form.started,text_consent_form.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_instructions_first_slide.started,text_instructions_first_slide.stopped,image_0_demo.started,image_0_demo.stopped,image_1_demo.started,image_1_demo.stopped,image_2_demo.started,image_2_demo.stopped,image_3_demo.started,image_3_demo.stopped,image_4_demo.started,image_4_demo.stopped,image_5_demo.started,image_5_demo.stopped,blank_screen_demo.started,blank_screen_demo.stopped,fixation_demo.started,fixation_demo.stopped,image_left_demo.started,image_left_demo.stopped,image_right_demo.started,image_right_demo.stopped,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_test_key_resp.started,demo_test_key_resp.stopped,text_4.started,text_4.stopped,key_resp_after_demo.keys,key_resp_after_demo.rt,key_resp_after_demo.started,key_resp_after_demo.stopped,text_after_demo_instr.started,text_after_demo_instr.stopped,image_0.started,image_0.stopped,image_1.started,image_1.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_5.started,image_5.stopped,blank_screen.started,blank_screen.stopped,fixation_encoding.started,fixation_encoding.stopped,image_left.started,image_left.stopped,image_right.started,image_right.stopped,test_key_resp.keys,test_key_resp.rt,test_key_resp.started,test_key_resp.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_left_part2.started,image_left_part2.stopped,image_right_part2.started,image_right_part2.stopped,slider_part2.response,slider_part2.rt,slider_part2.started,slider_part2.stopped,text_5.started,text_5.stopped,key_resp_last_slide.keys,key_resp_last_slide.rt,key_resp_last_slide.started,key_resp_last_slide.stopped,text_last_slide.started,text_last_slide.stopped,ID,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,None,9.017293625001912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.017293625001912,None,9.017293625001912,None,1,[2.965130417011096],[2.9651332089997595],space,5.921589206991484,11.969483458000468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11.969483458000468,None,18.466745083002024,18.667050874995766,18.669638374994975,18.866295625004568,18.866295625004568,19.05551099999866,19.07705008299672,19.26618704100838,19.26618704100838,19.452463374997023,19.470729833003134,19.662854291003896,19.676775375002762,None,17.98460079099459,18.482831790999626,20.6148470830085,None,20.6148470830085,None,left,3.659076582000125,20.6148470830085,None,20.6148470830085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,24.79328149999492,24.989985457999865,24.992235665995395,25.182404040999245,25.194674915997894,25.390458291003597,25.396151124994503,25.58373387499887,25.58373387499887,25.777974291006103,25.796468915999867,25.99313762500242,25.99313762500242,None,24.465836582996417,24.954834916003165,26.998053999996046,None,26.998053999996046,None,left,0.735782083007507,26.998053999996046,None,26.998053999996046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,28.25828083300439,28.445243124995613,28.467531832997338,28.663435124995885,28.65862366600777,28.853199165998376,28.853199165998376,29.049568375005038,29.05413070799841,29.25255874999857,29.257500000006985,29.44689995799854,29.457114874996478,None,27.777659083003527,28.276566458007437,30.452958041001693,None,30.452958041001693,None,left,0.5657508739968762,30.452958041001693,None,30.452958041001693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9546896660031052,31.028027749998728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.028027749998728,None,237.3689325410087,237.5687259999977,237.5687259999977,237.77065191599831,237.77065191599831,237.9577872910013,237.97466345800785,238.15923891600687,238.17548791599984,238.36625554099737,238.36625554099737,238.56455587499659,238.5711460409948,None,236.89213733300858,237.38505341600103,239.57161454099696,None,239.57161454099696,None,left,0.6983167069993215,239.57161454099696,None,239.57161454099696,None,240.2879590000084,None,space,3.5998909570043907,240.2879590000084,None,,,,,,,,,,,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
badlands_113.jpg,badlands_113.jpg,badlands_225.jpg,left,mountain_151.jpg,highway_76.jpg,badlands_113.jpg,golf_course_221.jpg,bridge_136.jpg,playground_153.jpg,2,badlands_225.jpg,0,badlands,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.93515804100025,None,243.93515804100025,None,5.953156822810591,2.0521755829977337,243.93515804100025,None,243.93515804100025,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
badlands_222.jpg,badlands_222.jpg,badlands_34.jpg,left,highway_247.jpg,badlands_222.jpg,mountain_43.jpg,golf_course_333.jpg,bridge_142.jpg,playground_126.jpg,1,badlands_34.jpg,0,badlands,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.00263099999574,None,246.00263099999574,None,5.953156822810591,0.4431731250078883,246.00263099999574,None,246.00263099999574,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
highway_359.jpg,highway_359.jpg,highway_379.jpg,left,mountain_268.jpg,badlands_180.jpg,bridge_96.jpg,highway_359.jpg,playground_191.jpg,golf_course_67.jpg,3,highway_379.jpg,1,highway,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.4674420000083,None,246.4674420000083,None,5.953156822810591,0.13676962499448564,246.4674420000083,None,246.4674420000083,None,,,,,,,0,2023_Jun_18_1347,working_memory,2021.2.3,None,
