target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,background_4,background_5,target_index
golf_course_309.jpg,golf_course_16.jpg,0,golf_course_16.jpg,golf_course_309.jpg,right,golf,golf_course_309.jpg,playground_222.jpg,mountain_212.jpg,highway_274.jpg,bridge_63.jpg,badlands_138.jpg,0
highway_209.jpg,highway_314.jpg,0,highway_314.jpg,highway_209.jpg,right,highway,playground_36.jpg,badlands_170.jpg,bridge_164.jpg,highway_209.jpg,mountain_76.jpg,golf_course_305.jpg,3
highway_245.jpg,highway_206.jpg,1,highway_245.jpg,highway_206.jpg,left,highway,bridge_179.jpg,golf_course_238.jpg,mountain_176.jpg,playground_61.jpg,highway_245.jpg,badlands_164.jpg,4
mountain_232.jpg,mountain_54.jpg,1,mountain_54.jpg,mountain_232.jpg,right,mountain,bridge_124.jpg,mountain_232.jpg,highway_315.jpg,badlands_60.jpg,golf_course_212.jpg,playground_153.jpg,1
playground_257.jpg,playground_215.jpg,1,playground_215.jpg,playground_257.jpg,right,playground,highway_30.jpg,badlands_175.jpg,playground_257.jpg,mountain_29.jpg,golf_course_342.jpg,bridge_136.jpg,2
highway_273.jpg,highway_384.jpg,0,highway_273.jpg,highway_384.jpg,left,highway,golf_course_171.jpg,bridge_147.jpg,highway_273.jpg,badlands_67.jpg,mountain_151.jpg,playground_47.jpg,2
bridge_172.jpg,bridge_17.jpg,0,bridge_17.jpg,bridge_172.jpg,right,bridge,mountain_250.jpg,badlands_129.jpg,bridge_172.jpg,playground_16.jpg,golf_course_133.jpg,highway_3.jpg,2
playground_144.jpg,playground_137.jpg,0,playground_144.jpg,playground_137.jpg,left,playground,mountain_294.jpg,badlands_27.jpg,golf_course_144.jpg,playground_144.jpg,bridge_39.jpg,highway_383.jpg,3
badlands_21.jpg,badlands_1.jpg,0,badlands_1.jpg,badlands_21.jpg,right,badlands,mountain_268.jpg,highway_50.jpg,golf_course_265.jpg,playground_39.jpg,badlands_21.jpg,bridge_66.jpg,4
mountain_230.jpg,mountain_184.jpg,0,mountain_230.jpg,mountain_184.jpg,left,mountain,golf_course_307.jpg,highway_31.jpg,badlands_26.jpg,bridge_173.jpg,mountain_230.jpg,playground_63.jpg,4
bridge_202.jpg,bridge_38.jpg,1,bridge_38.jpg,bridge_202.jpg,right,bridge,highway_319.jpg,badlands_88.jpg,golf_course_138.jpg,mountain_187.jpg,bridge_202.jpg,playground_246.jpg,4
mountain_156.jpg,mountain_128.jpg,0,mountain_128.jpg,mountain_156.jpg,right,mountain,mountain_156.jpg,badlands_10.jpg,playground_191.jpg,bridge_45.jpg,golf_course_23.jpg,highway_141.jpg,0
mountain_222.jpg,mountain_244.jpg,0,mountain_222.jpg,mountain_244.jpg,left,mountain,playground_64.jpg,mountain_222.jpg,golf_course_282.jpg,bridge_102.jpg,highway_37.jpg,badlands_156.jpg,1
mountain_101.jpg,mountain_221.jpg,1,mountain_101.jpg,mountain_221.jpg,left,mountain,bridge_35.jpg,mountain_101.jpg,golf_course_252.jpg,highway_199.jpg,playground_126.jpg,badlands_180.jpg,1
mountain_57.jpg,mountain_193.jpg,0,mountain_193.jpg,mountain_57.jpg,right,mountain,badlands_104.jpg,bridge_234.jpg,highway_226.jpg,playground_176.jpg,mountain_57.jpg,golf_course_166.jpg,4
mountain_110.jpg,mountain_223.jpg,1,mountain_223.jpg,mountain_110.jpg,right,mountain,golf_course_61.jpg,badlands_9.jpg,highway_342.jpg,mountain_110.jpg,playground_84.jpg,bridge_156.jpg,3
playground_10.jpg,playground_122.jpg,0,playground_122.jpg,playground_10.jpg,right,playground,highway_265.jpg,badlands_120.jpg,bridge_64.jpg,golf_course_127.jpg,playground_10.jpg,mountain_89.jpg,4
playground_145.jpg,playground_229.jpg,0,playground_229.jpg,playground_145.jpg,right,playground,mountain_38.jpg,golf_course_176.jpg,playground_145.jpg,badlands_121.jpg,bridge_238.jpg,highway_102.jpg,2
highway_359.jpg,highway_389.jpg,0,highway_389.jpg,highway_359.jpg,right,highway,badlands_150.jpg,highway_359.jpg,playground_15.jpg,mountain_160.jpg,golf_course_194.jpg,bridge_169.jpg,1
bridge_65.jpg,bridge_181.jpg,0,bridge_181.jpg,bridge_65.jpg,right,bridge,bridge_65.jpg,badlands_46.jpg,playground_26.jpg,highway_246.jpg,golf_course_291.jpg,mountain_256.jpg,0
playground_240.jpg,playground_2.jpg,0,playground_2.jpg,playground_240.jpg,right,playground,highway_193.jpg,badlands_213.jpg,bridge_110.jpg,playground_240.jpg,mountain_32.jpg,golf_course_55.jpg,3
golf_course_87.jpg,golf_course_161.jpg,1,golf_course_161.jpg,golf_course_87.jpg,right,golf,bridge_4.jpg,highway_305.jpg,golf_course_87.jpg,playground_141.jpg,badlands_33.jpg,mountain_120.jpg,2
bridge_128.jpg,bridge_244.jpg,1,bridge_128.jpg,bridge_244.jpg,left,bridge,golf_course_105.jpg,mountain_102.jpg,highway_268.jpg,bridge_128.jpg,playground_110.jpg,badlands_174.jpg,3
golf_course_15.jpg,golf_course_113.jpg,0,golf_course_15.jpg,golf_course_113.jpg,left,golf,playground_181.jpg,bridge_86.jpg,golf_course_15.jpg,mountain_306.jpg,badlands_30.jpg,highway_399.jpg,2
highway_156.jpg,highway_293.jpg,1,highway_156.jpg,highway_293.jpg,left,highway,badlands_97.jpg,playground_74.jpg,mountain_43.jpg,highway_156.jpg,bridge_22.jpg,golf_course_253.jpg,3
playground_76.jpg,playground_22.jpg,0,playground_22.jpg,playground_76.jpg,right,playground,golf_course_316.jpg,badlands_171.jpg,highway_15.jpg,playground_76.jpg,mountain_34.jpg,bridge_144.jpg,3
golf_course_217.jpg,golf_course_35.jpg,0,golf_course_35.jpg,golf_course_217.jpg,right,golf,golf_course_217.jpg,playground_14.jpg,mountain_35.jpg,bridge_212.jpg,badlands_35.jpg,highway_178.jpg,0
badlands_113.jpg,badlands_203.jpg,1,badlands_113.jpg,badlands_203.jpg,left,badlands,playground_98.jpg,golf_course_288.jpg,highway_288.jpg,badlands_113.jpg,mountain_307.jpg,bridge_228.jpg,3
badlands_137.jpg,badlands_139.jpg,1,badlands_139.jpg,badlands_137.jpg,right,badlands,golf_course_164.jpg,bridge_133.jpg,mountain_206.jpg,playground_132.jpg,badlands_137.jpg,highway_17.jpg,4
badlands_221.jpg,badlands_207.jpg,1,badlands_221.jpg,badlands_207.jpg,left,badlands,golf_course_297.jpg,playground_103.jpg,badlands_221.jpg,mountain_190.jpg,bridge_158.jpg,highway_404.jpg,2
badlands_70.jpg,badlands_102.jpg,0,badlands_70.jpg,badlands_102.jpg,left,badlands,bridge_180.jpg,mountain_166.jpg,playground_118.jpg,badlands_70.jpg,golf_course_196.jpg,highway_247.jpg,3
