,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
0,4,0.0,flower1.jpg,,,,12.0,left,1.0,4.3243,0.0,flower1.jpg,flower1_pair.jpg,left,A12O0RRD0YT6AD
1,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.6145,1.0,flower2_pair.jpg,flower2.jpg,right,A12O0RRD0YT6AD
2,6,2.0,left.jpg,left,0.9783,left,14.0,left,1.0,1.2,2.0,flower3.jpg,flower3_pair.jpg,left,A12O0RRD0YT6AD
3,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.4454,3.0,flower4.jpg,flower4_pair.jpg,left,A12O0RRD0YT6AD
4,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.2864,4.0,flower5_pair.jpg,flower5.jpg,right,A12O0RRD0YT6AD
5,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.5927,5.0,flower6.jpg,flower6_pair.jpg,left,A12O0RRD0YT6AD
6,10,6.0,flower6.jpg,,,,,,,,,,,,A12O0RRD0YT6AD
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,5.6826,0.0,flower1.jpg,flower1_pair.jpg,left,A1S0QK9U7INTSX
8,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.9998,1.0,flower2_pair.jpg,flower2.jpg,right,A1S0QK9U7INTSX
9,6,2.0,left.jpg,left,1.4776,left,14.0,left,1.0,1.4339,2.0,flower3.jpg,flower3_pair.jpg,left,A1S0QK9U7INTSX
10,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.6481,3.0,flower4.jpg,flower4_pair.jpg,left,A1S0QK9U7INTSX
11,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.2342,4.0,flower5_pair.jpg,flower5.jpg,right,A1S0QK9U7INTSX
12,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.8681,5.0,flower6.jpg,flower6_pair.jpg,left,A1S0QK9U7INTSX
