,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,DOUBLE_BRESTED_CORMARANT_5.jpg,CHINESE_POND_HERON_2.jpg,3.0,,,,A37R0JYAB3QEX9
1,21,,1.0,1.0,OCELLATED_TURKEY_1.jpg,AMERICAN_PIPIT_1.jpg,2.0,,,,A37R0JYAB3QEX9
2,22,,1.0,2.0,CHUKAR_PARTRIDGE_5.jpg,OSTRICH_5.jpg,1.0,,,,A37R0JYAB3QEX9
3,23,,1.0,3.0,IVORY_GULL_1.jpg,FAIRY_TERN_4.jpg,3.0,,,,A37R0JYAB3QEX9
4,24,,1.0,4.0,BREWERS_BLACKBIRD_3.jpg,CAPE_LONGCLAW_2.jpg,3.0,,,,A37R0JYAB3QEX9
5,25,,1.0,5.0,RED_HEADED_WOODPECKER_5.jpg,CRIMSON_CHAT_3.jpg,2.0,,,,A37R0JYAB3QEX9
6,26,,1.0,6.0,OVENBIRD_5.jpg,FAIRY_PENGUIN_1.jpg,2.0,,,,A37R0JYAB3QEX9
7,27,right,1.0,7.0,right.jpg,,,right,0.7441,,A37R0JYAB3QEX9
8,28,,1.0,8.0,NORTHERN_JACANA_3.jpg,SCARLET_IBIS_4.jpg,3.0,,,,A37R0JYAB3QEX9
9,29,,1.0,9.0,CASPIAN_TERN_1.jpg,EUROPEAN_GOLDFINCH_4.jpg,2.0,,,,A37R0JYAB3QEX9
10,30,,1.0,10.0,MYNA_1.jpg,PARADISE_TANAGER_3.jpg,3.0,,,,A37R0JYAB3QEX9
11,31,,1.0,11.0,CERULEAN_WARBLER_1.jpg,AMERICAN_FLAMINGO_2.jpg,1.0,,,,A37R0JYAB3QEX9
12,32,,1.0,12.0,PEACOCK_3.jpg,CHATTERING_LORY_2.jpg,3.0,,,,A37R0JYAB3QEX9
13,33,,1.0,13.0,GOLDEN_CHEEKED_WARBLER_2.jpg,HOUSE_FINCH_2.jpg,2.0,,,,A37R0JYAB3QEX9
14,34,,1.0,14.0,BALI_STARLING_1.jpg,IBERIAN_MAGPIE_1.jpg,3.0,,,,A37R0JYAB3QEX9
15,35,,1.0,15.0,PARUS_MAJOR_1.jpg,PINK_ROBIN_3.jpg,3.0,,,,A37R0JYAB3QEX9
16,36,,1.0,16.0,WHITE_CHEEKED_TURACO_5.jpg,PYGMY_KINGFISHER_2.jpg,3.0,,,,A37R0JYAB3QEX9
17,37,,1.0,17.0,CRESTED_CARACARA_4.jpg,FAIRY_PENGUIN_5.jpg,1.0,,,,A37R0JYAB3QEX9
18,38,,1.0,18.0,INDIGO_BUNTING_1.jpg,NORTHERN_GANNET_1.jpg,2.0,,,,A37R0JYAB3QEX9
19,39,,1.0,19.0,PYGMY_KINGFISHER_5.jpg,MASKED_BOOBY_5.jpg,2.0,,,,A37R0JYAB3QEX9
20,40,,1.0,20.0,SCARLET_TANAGER_2.jpg,NORTHERN_GANNET_2.jpg,2.0,,,,A37R0JYAB3QEX9
21,41,,1.0,21.0,MAGPIE_GOOSE_5.jpg,OYSTER_CATCHER_3.jpg,3.0,,,,A37R0JYAB3QEX9
22,42,left,1.0,22.0,left.jpg,,,left,0.617,,A37R0JYAB3QEX9
23,43,,1.0,23.0,VERMILION_FLYCATHER_3.jpg,CALIFORNIA_GULL_1.jpg,2.0,,,,A37R0JYAB3QEX9
24,44,,1.0,24.0,ASIAN_CRESTED_IBIS_4.jpg,IVORY_GULL_2.jpg,3.0,,,,A37R0JYAB3QEX9
25,45,,1.0,25.0,GYRFALCON_1.jpg,CINNAMON_ATTILA_2.jpg,2.0,,,,A37R0JYAB3QEX9
26,46,,1.0,26.0,AFRICAN_PIED_HORNBILL_5.jpg,CAPUCHINBIRD_2.jpg,3.0,,,,A37R0JYAB3QEX9
