,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,AFRICAN_PIED_HORNBILL_5.jpg,KIWI_4.jpg,1.0,,,,A146QN6EU8LAEI
1,21,,1.0,1.0,AMERICAN_PIPIT_5.jpg,EMU_2.jpg,1.0,,,,A146QN6EU8LAEI
2,22,,1.0,2.0,CASSOWARY_1.jpg,ROSY_FACED_LOVEBIRD_4.jpg,1.0,,,,A146QN6EU8LAEI
3,23,,1.0,3.0,KILLDEAR_2.jpg,PEACOCK_5.jpg,1.0,,,,A146QN6EU8LAEI
4,24,,1.0,4.0,INDIGO_BUNTING_1.jpg,FRIGATE_4.jpg,1.0,,,,A146QN6EU8LAEI
5,25,,1.0,5.0,ASIAN_DOLLARD_BIRD_2.jpg,ALBATROSS_2.jpg,1.0,,,,A146QN6EU8LAEI
6,26,,1.0,6.0,INLAND_DOTTEREL_4.jpg,NICOBAR_PIGEON_4.jpg,2.0,,,,A146QN6EU8LAEI
7,27,,1.0,7.0,EUROPEAN_TURTLE_DOVE_3.jpg,PAINTED_BUNTING_3.jpg,2.0,,,,A146QN6EU8LAEI
8,28,,1.0,8.0,SPLENDID_WREN_1.jpg,DOUBLE_BRESTED_CORMARANT_1.jpg,2.0,,,,A146QN6EU8LAEI
9,29,right,1.0,9.0,right.jpg,,,right,1.3076,,A146QN6EU8LAEI
10,30,,1.0,10.0,STRIPPED_SWALLOW_1.jpg,DOUBLE_BRESTED_CORMARANT_4.jpg,1.0,,,,A146QN6EU8LAEI
11,31,,1.0,11.0,CHUKAR_PARTRIDGE_5.jpg,BLACK_THROATED_BUSHTIT_1.jpg,3.0,,,,A146QN6EU8LAEI
12,32,,1.0,12.0,PEACOCK_3.jpg,CHATTERING_LORY_2.jpg,3.0,,,,A146QN6EU8LAEI
13,33,,1.0,13.0,ECUADORIAN_HILLSTAR_5.jpg,SCARLET_IBIS_2.jpg,1.0,,,,A146QN6EU8LAEI
14,34,,1.0,14.0,DOUBLE_BRESTED_CORMARANT_5.jpg,EURASIAN_MAGPIE_4.jpg,2.0,,,,A146QN6EU8LAEI
15,35,,1.0,15.0,IVORY_GULL_3.jpg,FLAME_TANAGER_3.jpg,2.0,,,,A146QN6EU8LAEI
16,36,,1.0,16.0,CRESTED_NUTHATCH_2.jpg,AFRICAN_FIREFINCH_1.jpg,2.0,,,,A146QN6EU8LAEI
17,37,,1.0,17.0,MAGPIE_GOOSE_5.jpg,OYSTER_CATCHER_3.jpg,3.0,,,,A146QN6EU8LAEI
18,38,,1.0,18.0,PYGMY_KINGFISHER_5.jpg,DOUBLE_EYED_FIG_PARROT_4.jpg,3.0,,,,A146QN6EU8LAEI
19,39,,1.0,19.0,RUFOUS_KINGFISHER_1.jpg,SNOWY_OWL_5.jpg,1.0,,,,A146QN6EU8LAEI
20,40,,1.0,20.0,RED_HEADED_WOODPECKER_5.jpg,CRIMSON_CHAT_3.jpg,2.0,,,,A146QN6EU8LAEI
21,41,right,1.0,21.0,right.jpg,,,right,1.6722,,A146QN6EU8LAEI
22,42,,1.0,22.0,GREY_PLOVER_1.jpg,GOULDIAN_FINCH_4.jpg,2.0,,,,A146QN6EU8LAEI
23,43,,1.0,23.0,IVORY_GULL_1.jpg,FAIRY_TERN_4.jpg,3.0,,,,A146QN6EU8LAEI
24,44,,1.0,24.0,FLAME_BOWERBIRD_3.jpg,INDIAN_BUSTARD_2.jpg,1.0,,,,A146QN6EU8LAEI
25,45,,1.0,25.0,BALI_STARLING_1.jpg,PURPLE_FINCH_2.jpg,2.0,,,,A146QN6EU8LAEI
26,46,,1.0,26.0,PARUS_MAJOR_1.jpg,PINK_ROBIN_3.jpg,3.0,,,,A146QN6EU8LAEI
27,47,,1.0,27.0,BROWN_NOODY_3.jpg,PEACOCK_2.jpg,1.0,,,,A146QN6EU8LAEI
28,48,,1.0,28.0,OVENBIRD_5.jpg,SHORT_BILLED_DOWITCHER_5.jpg,3.0,,,,A146QN6EU8LAEI
29,49,,1.0,29.0,HAWAIIAN_GOOSE_4.jpg,CUBAN_TODY_3.jpg,1.0,,,,A146QN6EU8LAEI
30,50,,1.0,30.0,MALACHITE_KINGFISHER_2.jpg,GREEN_BROADBILL_5.jpg,3.0,,,,A146QN6EU8LAEI
31,51,,1.0,31.0,CERULEAN_WARBLER_1.jpg,AMERICAN_FLAMINGO_2.jpg,1.0,,,,A146QN6EU8LAEI
32,52,,1.0,32.0,GOLDEN_CHEEKED_WARBLER_2.jpg,HOUSE_FINCH_2.jpg,2.0,,,,A146QN6EU8LAEI
33,53,right,1.0,33.0,right.jpg,,,right,1.1141,,A146QN6EU8LAEI
34,54,,1.0,34.0,KAGU_5.jpg,DEMOISELLE_CRANE_1.jpg,3.0,,,,A146QN6EU8LAEI
35,55,,1.0,35.0,LITTLE_AUK_5.jpg,ORANGE_BRESTED_BUNTING_3.jpg,2.0,,,,A146QN6EU8LAEI
36,56,,1.0,36.0,MYNA_1.jpg,GREY_PLOVER_4.jpg,2.0,,,,A146QN6EU8LAEI
37,57,,1.0,37.0,SCARLET_TANAGER_2.jpg,BORNEAN_LEAFBIRD_1.jpg,3.0,,,,A146QN6EU8LAEI
38,58,,1.0,38.0,LESSER_ADJUTANT_4.jpg,RAINBOW_LORIKEET_5.jpg,2.0,,,,A146QN6EU8LAEI
39,59,,1.0,39.0,ASIAN_CRESTED_IBIS_4.jpg,IVORY_GULL_2.jpg,3.0,,,,A146QN6EU8LAEI
40,60,,1.0,40.0,RUBY_THROATED_HUMMINGBIRD_1.jpg,FRIGATE_1.jpg,3.0,,,,A146QN6EU8LAEI
41,61,right,1.0,41.0,right.jpg,,,right,1.1001,,A146QN6EU8LAEI
