,demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId
A146QN6EU8LAEI,1.9429,1.0,0.3333333333333333,2.727816666666667,3.069825,2.0438,1.3066,1.0,0.5666666666666667,3.104892727272727,3.648642307692308,5.385879411764706,3.5335055555555552,0.75,2.194715,0.5,3.721864705882353,0.45,5.0,True,True,True,True,True,True,True,A146QN6EU8LAEI
A1AMGHYG5PT0L2,0.5163,1.0,0.6666666666666666,1.2394666666666667,1.11445,1.301975,0.681775,0.8,0.4166666666666667,0.5999433333333334,0.5876857142857143,0.617104,0.41608999999999996,0.5,0.6589,0.35,0.72484,0.4,7.0,True,True,True,True,True,False,False,A1AMGHYG5PT0L2
A23KAJRDVCVGOE,0.4905,1.0,0.5,1.1744666666666665,1.1651333333333334,1.1838,0.66174,1.0,0.5833333333333334,1.0059933333333333,1.00734,1.0050314285714286,1.009715,0.55,0.87424,0.7,1.134025,0.5,6.0,True,True,True,True,True,True,True,A23KAJRDVCVGOE
A2541C8MY0BYV3,1.231,1.0,0.8333333333333334,1.2306666666666668,0.882,1.3004,0.5797999999999999,1.0,0.5166666666666667,1.0648333333333333,1.0569655172413794,1.0721935483870968,1.0683,0.7,1.0284,0.5,1.0977999999999999,0.35,7.0,True,True,True,True,True,True,True,A2541C8MY0BYV3
A2CZ5PS567SA10,1.0054,1.0,0.6666666666666666,2.2618499999999995,2.48415,2.1507,1.1326399999999999,1.0,0.6666666666666666,1.1500133333333333,1.43986,1.00509,1.371165,0.85,1.046325,0.6,1.03255,0.55,6.0,True,True,True,True,True,True,True,A2CZ5PS567SA10
A2DX27FIUVZYB5,0.8556,1.0,0.6666666666666666,1.9924,2.06485,1.956175,1.0386799999999998,1.0,0.48333333333333334,2.398575,2.431632258064516,2.3632379310344827,2.25254,0.4,2.48039,0.55,2.462795,0.5,2.0,True,True,True,True,True,True,True,A2DX27FIUVZYB5
A2LI71A9ZRA199,1.132,1.0,0.6666666666666666,1.4816833333333335,1.88145,1.2818,1.4058199999999998,1.0,0.48333333333333334,1.9056636363636366,3.293064516129032,3.594855172413793,1.8758421052631578,0.4,1.9256157894736843,0.7,1.9166941176470587,0.35,4.0,True,True,True,True,True,True,True,A2LI71A9ZRA199
A2OT9ZJC4MQBS8,1.2063,1.0,0.5,1.7639666666666667,1.9714999999999998,1.5564333333333333,1.19318,1.0,0.5166666666666667,1.9629183333333335,2.0165034483448276,1.9127903225161291,1.9672499999500002,0.5,1.9387100001,0.6,1.9827949999499999,0.45,4.0,True,True,True,True,True,True,True,A2OT9ZJC4MQBS8
A2VY5GKTXHLC8Q,2.3516,1.0,0.6666666666666666,1.4910666666666665,2.6867,0.89325,1.0388199999999999,1.0,0.5833333333333334,3.1773406779661015,3.0283480000000003,3.4881342857142856,3.211875,0.5,2.9715631578947366,0.55,3.338295,0.7,5.0,True,True,True,True,True,True,True,A2VY5GKTXHLC8Q
A3OUAR84WQO03Y,1.0185,1.0,0.6666666666666666,2.2891333333333335,2.11265,2.377375,1.0334599999999998,1.0,0.4666666666666667,2.568103333333333,2.689253125,2.4296464285714285,2.88472,0.4,2.2941849999999997,0.55,2.525405,0.45,2.0,True,True,True,True,True,True,True,A3OUAR84WQO03Y
A3QHZCELFJ3BSN,1.7955,1.0,0.5,3.618416666666667,4.505633333333333,2.7312,1.9123800000000002,1.0,0.55,1.0064627118644067,0.7809814814814815,15.436018181818183,0.96538,0.45,1.29164,0.6,0.749521052631579,0.6,58.0,True,True,True,False,True,True,True,A3QHZCELFJ3BSN
A9LSEP71DNP4O,0.5064,1.0,0.8333333333333334,1.2800166666666666,1.5922,1.2175799999999999,0.5294800000000001,1.0,0.55,1.4217133333333332,1.437762962962963,1.4085818181818184,1.3766349999999998,0.55,1.54095,0.5,1.347555,0.6,4.0,True,True,True,True,True,True,True,A9LSEP71DNP4O
ALCPF5NANBDSZ,0.4597,1.0,1.0,1.7863166666666668,,1.7863166666666668,0.49928,1.0,0.6,2.0285583333333337,1.9526083333333333,2.0791916666666665,1.97943,0.55,2.00413,0.6,2.102115,0.65,4.0,True,True,True,True,True,True,True,ALCPF5NANBDSZ
AUZP4FPD6UTNU,1.1614,1.0,1.0,1.9044999999999996,,1.9044999999999999,0.90158,1.0,0.5333333333333333,2.3969400000333336,2.3122428573571425,2.471049999875,2.05082000005,0.55,2.8480800001,0.4,2.29191999995,0.65,3.0,True,True,True,True,True,True,True,AUZP4FPD6UTNU
