target_image,pair,layer,correct
HAWAIIAN_GOOSE_4.jpg,WATTLED_LAPWING_3.jpg,3,
RUBY_THROATED_HUMMINGBIRD_1.jpg,VULTURINE_GUINEAFOWL_4.jpg,2,
LESSER_ADJUTANT_4.jpg,RAINBOW_LORIKEET_5.jpg,2,
STRIPPED_SWALLOW_1.jpg,DOUBLE_BRESTED_CORMARANT_4.jpg,1,
RUFOUS_KINGFISHER_1.jpg,HORNED_SUNGEM_4.jpg,3,
NORTHERN_JACANA_3.jpg,CRAB_PLOVER_3.jpg,2,
PEACOCK_3.jpg,CHATTERING_LORY_2.jpg,3,
AFRICAN_PIED_HORNBILL_5.jpg,CAPUCHINBIRD_2.jpg,3,
CASSOWARY_1.jpg,AFRICAN_OYSTER_CATCHER_2.jpg,3,
DOUBLE_BRESTED_CORMARANT_5.jpg,EURASIAN_MAGPIE_4.jpg,2,
left.jpg,,,left
RUBY_THROATED_HUMMINGBIRD_2.jpg,DUSKY_ROBIN_5.jpg,3,
OVENBIRD_5.jpg,MYNA_4.jpg,1,
ASIAN_DOLLARD_BIRD_2.jpg,VIOLET_GREEN_SWALLOW_4.jpg,3,
ECUADORIAN_HILLSTAR_5.jpg,SCARLET_IBIS_2.jpg,1,
CASPIAN_TERN_1.jpg,EUROPEAN_GOLDFINCH_4.jpg,2,
LARK_BUNTING_2.jpg,CACTUS_WREN_3.jpg,3,
MYNA_1.jpg,OSTRICH_3.jpg,1,
KAGU_5.jpg,ASHY_STORM_PETREL_1.jpg,2,
BALI_STARLING_1.jpg,IBERIAN_MAGPIE_1.jpg,3,
MAGPIE_GOOSE_5.jpg,OYSTER_CATCHER_3.jpg,3,
GREY_PLOVER_1.jpg,GOULDIAN_FINCH_4.jpg,2,
CRESTED_NUTHATCH_2.jpg,CANARY_1.jpg,3,
right.jpg,,,right
BROWN_THRASHER_3.jpg,DOUBLE_EYED_FIG_PARROT_3.jpg,1,
ARARIPE_MANAKIN_4.jpg,BLACK_VULTURE_1.jpg,2,
SHOEBILL_3.jpg,GILDED_FLICKER_5.jpg,2,
left.jpg,,,left
VERMILION_FLYCATHER_3.jpg,CALIFORNIA_GULL_1.jpg,2,
IVORY_GULL_1.jpg,WILSONS_BIRD_OF_PARADISE_4.jpg,1,
MALACHITE_KINGFISHER_2.jpg,AMERICAN_FLAMINGO_1.jpg,1,
RUBY_THROATED_HUMMINGBIRD_3.jpg,NORTHERN_SHOVELER_1.jpg,3,
SCARLET_TANAGER_2.jpg,NORTHERN_GANNET_2.jpg,2,
AMERICAN_PIPIT_5.jpg,EMU_2.jpg,1,
FLAME_BOWERBIRD_3.jpg,BROWN_THRASHER_4.jpg,2,
LITTLE_AUK_5.jpg,SANDHILL_CRANE_3.jpg,1,
CERULEAN_WARBLER_1.jpg,AMERICAN_FLAMINGO_2.jpg,1,
OCELLATED_TURKEY_1.jpg,AMERICAN_PIPIT_1.jpg,2,
PINK_ROBIN_4.jpg,SPOONBILL_3.jpg,1,
LESSER_ADJUTANT_5.jpg,GREEN_BROADBILL_4.jpg,1,
left.jpg,,,left
GOLDEN_CHLOROPHONIA_5.jpg,VERMILION_FLYCATHER_5.jpg,3,
EUROPEAN_TURTLE_DOVE_3.jpg,PAINTED_BUNTING_3.jpg,2,
CHUKAR_PARTRIDGE_5.jpg,OSTRICH_5.jpg,1,
SPLENDID_WREN_1.jpg,DOUBLE_BRESTED_CORMARANT_1.jpg,2,
BREWERS_BLACKBIRD_3.jpg,CAPE_LONGCLAW_2.jpg,3,
left.jpg,,,left
ASIAN_CRESTED_IBIS_4.jpg,CANARY_2.jpg,1,
CRESTED_CARACARA_4.jpg,TOUCHAN_4.jpg,3,
RED_HEADED_WOODPECKER_5.jpg,CRIMSON_CHAT_3.jpg,2,
TASMANIAN_HEN_5.jpg,GREEN_BROADBILL_1.jpg,1,
INLAND_DOTTEREL_4.jpg,NICOBAR_PIGEON_4.jpg,2,
INDIGO_BUNTING_1.jpg,DARWINS_FLYCATCHER_2.jpg,3,
GRAY_KINGBIRD_5.jpg,BALD_EAGLE_2.jpg,1,
ALPINE_CHOUGH_4.jpg,BOBOLINK_3.jpg,3,
WHITE_CHEEKED_TURACO_5.jpg,PYGMY_KINGFISHER_2.jpg,3,
IVORY_GULL_3.jpg,INDIGO_FLYCATCHER_2.jpg,1,
PYGMY_KINGFISHER_5.jpg,MASKED_BOOBY_5.jpg,2,
BROWN_NOODY_3.jpg,PEACOCK_2.jpg,1,
KILLDEAR_2.jpg,PEACOCK_5.jpg,1,
PARUS_MAJOR_1.jpg,CALIFORNIA_GULL_2.jpg,2,
INCA_TERN_4.jpg,BORNEAN_BRISTLEHEAD_5.jpg,3,
GYRFALCON_1.jpg,FAIRY_TERN_1.jpg,3,
GOLDEN_CHEEKED_WARBLER_2.jpg,HOUSE_FINCH_2.jpg,2,
EASTERN_TOWEE_2.jpg,SANDHILL_CRANE_2.jpg,1,
