demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy.1,demo_arrow_correct.1,encoding_arrow_accuracy.1,testing_longest_response_strike.1,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId,time_gap,worker_ID,batch_number
1.6953,1.0,0.8333333333333334,2.201833333333333,3.7117,1.89986,1.20072,1.0,0.7666666666666667,1.996455,2.0241714285714285,1.988019565217391,2.252405,0.85,2.047725,0.8,1.689235,0.65,4.0,True,True,True,True,True,True,True,A11F3MA5FWH6SJ,pilot_24_hours,A11F3MA5FWH6SJ,1
0.4941,1.0,0.6666666666666666,2.2773166666666667,2.5012,2.165375,0.55354,1.0,0.8333333333333334,2.0442383333333334,2.33526,1.986034,1.940875,0.65,2.122665,1.0,2.069175,0.85,5.0,True,True,True,True,True,True,True,A1DZMZTXWOM9MR,pilot_24_hours,A1DZMZTXWOM9MR,1
1.7127,1.0,1.0,2.733966666666667,,2.733966666666667,1.5300600000000002,1.0,0.9,2.0116,2.29335,1.9802944444444448,2.04413,1.0,2.0648600000000004,0.8,1.92581,0.9,6.0,True,True,True,True,True,True,True,A1FJGB5JLZ81XB,pilot_24_hours,A1FJGB5JLZ81XB,1
0.6385,1.0,0.8333333333333334,1.9159166666666667,2.7754,1.7440199999999997,0.6099600000000001,1.0,0.8333333333333334,1.8652766666666667,1.95412,1.847508,1.978915,0.75,1.78482,0.9,1.832095,0.85,5.0,True,True,True,True,True,True,True,A1OM5NWYYYJKQW,pilot_24_hours,A1OM5NWYYYJKQW,1
0.7481,1.0,0.8333333333333334,7.267866666666666,9.1037,6.9007000000000005,0.6519199999999999,1.0,0.8666666666666667,3.40275,3.8872125,3.328217307692308,3.025835,0.85,3.63058,0.85,3.551835,0.9,4.0,True,True,True,True,True,True,True,A1PHDT66U6IK4Q,pilot_24_hours,A1PHDT66U6IK4Q,1
1.0597,1.0,0.5,1.5519166666666668,1.2173,1.8865333333333332,0.879575,0.8,0.55,2.179628,5.824137037037037,4.566681818181818,2.1086125,0.75,2.0500000000000003,0.45,2.419573333333333,0.45,4.0,True,True,True,True,False,True,True,A1QT3YA7G8MO63,pilot_24_hours,A1QT3YA7G8MO63,1
0.6413,1.0,1.0,2.468866666666667,,2.4688666666666665,0.5956800000000001,1.0,0.95,2.849196610169492,5.251533333333334,2.953868421052632,2.531735,0.95,3.024775,0.95,2.9985473684210526,0.95,5.0,True,True,True,True,True,True,True,A1SNC8UL8YFRH5,pilot_24_hours,A1SNC8UL8YFRH5,1
1.7873,1.0,0.8333333333333334,1.854383333333333,1.6218,1.9009,1.7136400000000005,1.0,0.4,0.9912125,2.189186111111111,1.7977166666666669,0.7501,0.3,1.256275,0.45,0.91904,0.45,7.0,True,True,True,True,False,False,False,A1TKZIBGTP7FE8,pilot_24_hours,A1TKZIBGTP7FE8,1
0.697,1.0,1.0,2.4918333333333336,,2.4918333333333336,0.5902,1.0,0.8333333333333334,3.4555263157894744,6.3714,3.39154,2.5682222222222224,0.95,4.338150000000001,0.7,3.367052631578947,0.85,4.0,True,True,True,True,False,True,True,A25PFSORDO3SWQ,pilot_24_hours,A25PFSORDO3SWQ,1
0.543,1.0,1.0,1.553316666666667,,1.553316666666667,0.64668,1.0,0.8,2.459743333333334,3.2121083333333336,2.271652083333333,1.919185,0.85,2.397835,0.75,3.06221,0.8,6.0,True,True,True,True,True,True,True,A2IP3ZAFYGV8M9,pilot_24_hours,A2IP3ZAFYGV8M9,1
0.6492,1.0,1.0,2.7568,,2.7568,0.4975199999999999,1.0,0.85,3.395992,8.932177777777778,4.735721568627451,2.910815384615385,0.75,3.436135294117647,0.9,3.677235000000001,0.9,6.0,True,True,True,True,False,True,True,A2M183CETUMR96,pilot_24_hours,A2M183CETUMR96,1
0.5889,1.0,0.6666666666666666,2.188183333333333,1.493,2.535775,0.5161,0.8,0.7333333333333333,2.5766508771929826,6.455925000000001,4.265115909090909,2.2775894736842104,0.65,3.0485444444444445,0.75,2.436055,0.8,3.0,True,True,True,True,False,True,True,A2VLTSW6CXIUMR,pilot_24_hours,A2VLTSW6CXIUMR,1
0.881,1.0,0.5,2.537333333333333,2.273333333333333,2.801333333333333,0.8676,1.0,0.5666666666666667,2.029551724137931,4.448884615384616,2.122970588235294,1.8844736842105263,0.65,2.1107894736842105,0.4,2.0902000000000003,0.65,5.0,True,True,True,True,True,True,False,A2YVQKJX3FO6P,pilot_24_hours,A2YVQKJX3FO6P,1
1.9865,1.0,0.5,2.3860500001666667,2.732266667,2.0398333333333336,0.9650399998,1.0,0.4666666666666667,1.3869980392156864,4.62062187484375,7.244532143035714,1.5863166668888888,0.5,1.2744124998125,0.6,1.281917647,0.3,13.0,True,True,True,True,False,False,False,A39VAFCIGP83ER,pilot_24_hours,A39VAFCIGP83ER,1
1.053,1.0,0.6666666666666666,5.5995,10.525,3.13675,0.9212,1.0,0.5666666666666667,2.528883333333334,2.190961538461538,2.787294117647059,2.3605,0.55,2.2646,0.6,2.96155,0.55,3.0,True,True,True,True,True,True,False,A3ATB5GC4BQIH0,pilot_24_hours,A3ATB5GC4BQIH0,1
0.504,1.0,0.8333333333333334,2.0806666666666667,3.154,1.866,0.492,1.0,0.8833333333333333,1.7271666666666663,1.518571428571429,1.7547169811320755,1.58065,0.9,1.7725000000000002,1.0,1.82835,0.75,6.0,True,True,True,True,True,True,True,A3BU8UL4W258UU,pilot_24_hours,A3BU8UL4W258UU,1
0.4123,1.0,0.5,1.31945,1.4801333333333335,1.1587666666666667,0.53432,0.8,0.7,2.07295,2.138444444444444,2.0448809523809524,1.666555,0.8,2.488935,0.6,2.0633600000000003,0.7,6.0,True,True,True,True,True,True,True,A3CH1Z6J9R38G9,pilot_24_hours,A3CH1Z6J9R38G9,1
1.0667,1.0,0.8333333333333334,2.48665,1.6621,2.65156,0.7947999999999998,1.0,0.7,3.2961610169491524,3.560283333333333,3.3592190476190478,3.346635,0.85,3.184057894736842,0.55,3.352185,0.7,6.0,True,True,True,True,True,True,True,A3KP8KFGG6734Q,pilot_24_hours,A3KP8KFGG6734Q,1
0.922,1.0,0.3333333333333333,5.815333333333332,7.73375,1.9785,1.5374,1.0,0.4666666666666667,1.1865762711864405,1.16546875,3.284714285714286,1.59405,0.3,0.93055,0.75,1.027157894736842,0.35,11.0,False,True,True,True,True,False,True,A3SKE5B27HLVO6,pilot_24_hours,A3SKE5B27HLVO6,1
0.633,1.0,0.8333333333333334,2.78655,3.4356,2.65674,0.52586,1.0,0.8,2.8867583333333338,3.178275,2.8138791666666667,2.49867,0.8,2.9686250000000003,0.7,3.19298,0.9,8.0,True,True,True,True,True,True,True,A7VA2Y4H6U31O,pilot_24_hours,A7VA2Y4H6U31O,1
1.8896,1.0,0.1666666666666666,3.2579000006666665,3.2886400006,3.104200001,1.2565399996,1.0,0.9166666666666666,2.7702241380689654,3.6185600002,3.031076363763636,2.5879833333333333,1.0,2.98168500015,0.9,2.72278000025,0.85,6.0,False,True,True,True,True,True,True,A9YPM325MKYLO,pilot_24_hours,A9YPM325MKYLO,1
0.886,1.0,1.0,5.442833333333334,,5.442833333333334,0.6548,0.8,0.7666666666666667,4.622000000000001,11.6005,5.6435,5.164933333333334,0.7,3.767941176470589,0.9,5.047,0.7,4.0,True,True,True,True,False,True,True,AAF1SJ9FCBF75,pilot_24_hours,AAF1SJ9FCBF75,1
1.502,1.0,1.0,2.3935,,2.3935,1.4888,1.0,0.75,3.6269666666666662,4.0878,3.473355555555555,3.68735,0.8,3.22905,0.7,3.9645,0.75,5.0,True,True,True,True,True,True,True,ACGGIBC0P38HU,pilot_24_hours,ACGGIBC0P38HU,1
1.011,1.0,0.6666666666666666,2.207,2.594,2.0135,1.1552,1.0,0.5,0.1168833333333333,0.1882333333333333,0.0455333333333333,0.22355,0.55,0.0431,0.45,0.0839999999999999,0.5,3.0,True,True,True,True,True,False,False,AGZ3QJFK1BR8V,pilot_24_hours,AGZ3QJFK1BR8V,1
1.13,1.0,0.5,2.1936666666666667,2.670666666666667,1.7166666666666668,1.5746666666666669,0.6,0.4833333333333333,2.7780338983050843,2.802258064516129,3.989344827586207,2.73715,0.45,2.769157894736842,0.5,2.82735,0.5,4.0,True,True,False,True,True,True,False,ARR9GKAG3JFE5,pilot_24_hours,ARR9GKAG3JFE5,1
0.7595,1.0,0.8333333333333334,1.5482833333333332,1.3998,1.57798,0.56708,1.0,0.5833333333333334,1.0509183333333332,1.01758,1.074731428571429,1.016435,0.6,1.033115,0.6,1.103205,0.55,5.0,True,True,True,True,True,True,False,AXPZAP62ZYWP8,pilot_24_hours,AXPZAP62ZYWP8,1
0.9783,1.0,0.3333333333333333,1.9105500000000004,1.48475,2.76215,1.22572,1.0,0.5166666666666667,1.7146683334,1.9719689656206896,1.473967741967742,2.03035500005,0.45,1.597735,0.65,1.51591500015,0.45,38.0,False,True,True,False,True,True,False,A12O0RRD0YT6AD,pilot_one_week,A12O0RRD0YT6AD,1
