img_name,sub_folder,full_path_to_img,full_path_to_processed_img,full_path_to_features_VGG
ABBOTTS_BABBLER_1.jpg,,..\birds dataset validation set renamed\ABBOTTS_BABBLER_1.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BABBLER_1.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BABBLER_1.pkl
ABBOTTS_BABBLER_2.jpg,,..\birds dataset validation set renamed\ABBOTTS_BABBLER_2.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BABBLER_2.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BABBLER_2.pkl
ABBOTTS_BABBLER_3.jpg,,..\birds dataset validation set renamed\ABBOTTS_BABBLER_3.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BABBLER_3.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BABBLER_3.pkl
ABBOTTS_BABBLER_4.jpg,,..\birds dataset validation set renamed\ABBOTTS_BABBLER_4.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BABBLER_4.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BABBLER_4.pkl
ABBOTTS_BABBLER_5.jpg,,..\birds dataset validation set renamed\ABBOTTS_BABBLER_5.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BABBLER_5.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BABBLER_5.pkl
ABBOTTS_BOOBY_1.jpg,,..\birds dataset validation set renamed\ABBOTTS_BOOBY_1.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BOOBY_1.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BOOBY_1.pkl
ABBOTTS_BOOBY_2.jpg,,..\birds dataset validation set renamed\ABBOTTS_BOOBY_2.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BOOBY_2.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BOOBY_2.pkl
ABBOTTS_BOOBY_3.jpg,,..\birds dataset validation set renamed\ABBOTTS_BOOBY_3.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BOOBY_3.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BOOBY_3.pkl
ABBOTTS_BOOBY_4.jpg,,..\birds dataset validation set renamed\ABBOTTS_BOOBY_4.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BOOBY_4.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BOOBY_4.pkl
ABBOTTS_BOOBY_5.jpg,,..\birds dataset validation set renamed\ABBOTTS_BOOBY_5.jpg,..\birds dataset validation set renamed_processed_VGG\ABBOTTS_BOOBY_5.pt,..\birds dataset validation set renamed_features_VGG\ABBOTTS_BOOBY_5.pkl
ABYSSINIAN_GROUND_HORNBILL_1.jpg,,..\birds dataset validation set renamed\ABYSSINIAN_GROUND_HORNBILL_1.jpg,..\birds dataset validation set renamed_processed_VGG\ABYSSINIAN_GROUND_HORNBILL_1.pt,..\birds dataset validation set renamed_features_VGG\ABYSSINIAN_GROUND_HORNBILL_1.pkl
ABYSSINIAN_GROUND_HORNBILL_2.jpg,,..\birds dataset validation set renamed\ABYSSINIAN_GROUND_HORNBILL_2.jpg,..\birds dataset validation set renamed_processed_VGG\ABYSSINIAN_GROUND_HORNBILL_2.pt,..\birds dataset validation set renamed_features_VGG\ABYSSINIAN_GROUND_HORNBILL_2.pkl
ABYSSINIAN_GROUND_HORNBILL_3.jpg,,..\birds dataset validation set renamed\ABYSSINIAN_GROUND_HORNBILL_3.jpg,..\birds dataset validation set renamed_processed_VGG\ABYSSINIAN_GROUND_HORNBILL_3.pt,..\birds dataset validation set renamed_features_VGG\ABYSSINIAN_GROUND_HORNBILL_3.pkl
ABYSSINIAN_GROUND_HORNBILL_4.jpg,,..\birds dataset validation set renamed\ABYSSINIAN_GROUND_HORNBILL_4.jpg,..\birds dataset validation set renamed_processed_VGG\ABYSSINIAN_GROUND_HORNBILL_4.pt,..\birds dataset validation set renamed_features_VGG\ABYSSINIAN_GROUND_HORNBILL_4.pkl
ABYSSINIAN_GROUND_HORNBILL_5.jpg,,..\birds dataset validation set renamed\ABYSSINIAN_GROUND_HORNBILL_5.jpg,..\birds dataset validation set renamed_processed_VGG\ABYSSINIAN_GROUND_HORNBILL_5.pt,..\birds dataset validation set renamed_features_VGG\ABYSSINIAN_GROUND_HORNBILL_5.pkl
AFRICAN_CROWNED_CRANE_1.jpg,,..\birds dataset validation set renamed\AFRICAN_CROWNED_CRANE_1.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_CROWNED_CRANE_1.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_CROWNED_CRANE_1.pkl
AFRICAN_CROWNED_CRANE_2.jpg,,..\birds dataset validation set renamed\AFRICAN_CROWNED_CRANE_2.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_CROWNED_CRANE_2.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_CROWNED_CRANE_2.pkl
AFRICAN_CROWNED_CRANE_3.jpg,,..\birds dataset validation set renamed\AFRICAN_CROWNED_CRANE_3.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_CROWNED_CRANE_3.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_CROWNED_CRANE_3.pkl
AFRICAN_CROWNED_CRANE_4.jpg,,..\birds dataset validation set renamed\AFRICAN_CROWNED_CRANE_4.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_CROWNED_CRANE_4.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_CROWNED_CRANE_4.pkl
AFRICAN_CROWNED_CRANE_5.jpg,,..\birds dataset validation set renamed\AFRICAN_CROWNED_CRANE_5.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_CROWNED_CRANE_5.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_CROWNED_CRANE_5.pkl
AFRICAN_EMERALD_CUCKOO_1.jpg,,..\birds dataset validation set renamed\AFRICAN_EMERALD_CUCKOO_1.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_EMERALD_CUCKOO_1.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_EMERALD_CUCKOO_1.pkl
AFRICAN_EMERALD_CUCKOO_2.jpg,,..\birds dataset validation set renamed\AFRICAN_EMERALD_CUCKOO_2.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_EMERALD_CUCKOO_2.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_EMERALD_CUCKOO_2.pkl
AFRICAN_EMERALD_CUCKOO_3.jpg,,..\birds dataset validation set renamed\AFRICAN_EMERALD_CUCKOO_3.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_EMERALD_CUCKOO_3.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_EMERALD_CUCKOO_3.pkl
AFRICAN_EMERALD_CUCKOO_4.jpg,,..\birds dataset validation set renamed\AFRICAN_EMERALD_CUCKOO_4.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_EMERALD_CUCKOO_4.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_EMERALD_CUCKOO_4.pkl
AFRICAN_EMERALD_CUCKOO_5.jpg,,..\birds dataset validation set renamed\AFRICAN_EMERALD_CUCKOO_5.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_EMERALD_CUCKOO_5.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_EMERALD_CUCKOO_5.pkl
AFRICAN_FIREFINCH_1.jpg,,..\birds dataset validation set renamed\AFRICAN_FIREFINCH_1.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_FIREFINCH_1.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_FIREFINCH_1.pkl
AFRICAN_FIREFINCH_2.jpg,,..\birds dataset validation set renamed\AFRICAN_FIREFINCH_2.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_FIREFINCH_2.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_FIREFINCH_2.pkl
AFRICAN_FIREFINCH_3.jpg,,..\birds dataset validation set renamed\AFRICAN_FIREFINCH_3.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_FIREFINCH_3.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_FIREFINCH_3.pkl
AFRICAN_FIREFINCH_4.jpg,,..\birds dataset validation set renamed\AFRICAN_FIREFINCH_4.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_FIREFINCH_4.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_FIREFINCH_4.pkl
AFRICAN_FIREFINCH_5.jpg,,..\birds dataset validation set renamed\AFRICAN_FIREFINCH_5.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_FIREFINCH_5.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_FIREFINCH_5.pkl
AFRICAN_OYSTER_CATCHER_1.jpg,,..\birds dataset validation set renamed\AFRICAN_OYSTER_CATCHER_1.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_OYSTER_CATCHER_1.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_OYSTER_CATCHER_1.pkl
AFRICAN_OYSTER_CATCHER_2.jpg,,..\birds dataset validation set renamed\AFRICAN_OYSTER_CATCHER_2.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_OYSTER_CATCHER_2.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_OYSTER_CATCHER_2.pkl
AFRICAN_OYSTER_CATCHER_3.jpg,,..\birds dataset validation set renamed\AFRICAN_OYSTER_CATCHER_3.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_OYSTER_CATCHER_3.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_OYSTER_CATCHER_3.pkl
AFRICAN_OYSTER_CATCHER_4.jpg,,..\birds dataset validation set renamed\AFRICAN_OYSTER_CATCHER_4.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_OYSTER_CATCHER_4.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_OYSTER_CATCHER_4.pkl
AFRICAN_OYSTER_CATCHER_5.jpg,,..\birds dataset validation set renamed\AFRICAN_OYSTER_CATCHER_5.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_OYSTER_CATCHER_5.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_OYSTER_CATCHER_5.pkl
AFRICAN_PIED_HORNBILL_1.jpg,,..\birds dataset validation set renamed\AFRICAN_PIED_HORNBILL_1.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_PIED_HORNBILL_1.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_PIED_HORNBILL_1.pkl
AFRICAN_PIED_HORNBILL_2.jpg,,..\birds dataset validation set renamed\AFRICAN_PIED_HORNBILL_2.jpg,..\birds dataset validation set renamed_processed_VGG\AFRICAN_PIED_HORNBILL_2.pt,..\birds dataset validation set renamed_features_VGG\AFRICAN_PIED_HORNBILL_2.pkl
