button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[4.552999999999997],[4.553100000381505],A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,space,5.7457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,space,2.0329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,,,2,1,9.3596,0,0,0,0,1,AMERICAN_PIPIT_5.jpg,GREEN_MAGPIE_1.jpg,HEPATIC_TANAGER_5.jpg,LOGGERHEAD_SHRIKE_4.jpg,EMU_2.jpg,3,2,1,2,2,0,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,,,1,1,1.937599999,0,1,1,1,1,SPLENDID_WREN_1.jpg,DOUBLE_BRESTED_CORMARANT_1.jpg,BLACK_SWAN_2.jpg,CUBAN_TODY_4.jpg,PARAKETT__AKULET_3.jpg,2,3,1,2,1,1,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,,,3,1,2.2061,0,2,2,2,1,KILLDEAR_2.jpg,CAATINGA_CACHOLOTE_4.jpg,AZURE_TIT_5.jpg,ALEXANDRINE_PARAKEET_5.jpg,CHATTERING_LORY_1.jpg,3,1,2,2,3,2,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,,,3,1,1.703,0,3,3,3,1,LESSER_ADJUTANT_4.jpg,FAIRY_TERN_3.jpg,ALTAMIRA_YELLOWTHROAT_5.jpg,RAINBOW_LORIKEET_5.jpg,CRAB_PLOVER_4.jpg,1,2,3,3,3,3,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,,,3,1,3.0943,0,4,4,4,1,GOLDEN_CHEEKED_WARBLER_2.jpg,SPOONBILL_1.jpg,AMERICAN_FLAMINGO_3.jpg,WHITE_THROATED_BEE_EATER_1.jpg,RED_HEADED_DUCK_3.jpg,2,3,1,1,3,4,,,,,,,,,,,,
,,,A11W7YCD50IGHD,30,Male,5,2023-01-18_13h22.33.254,perception_pilot,2022.2.4,Win32,13.10650345,,,,,1,1,4.506099999,0,5,5,5,1,CRESTED_NUTHATCH_2.jpg,CANARY_1.jpg,VERMILION_FLYCATHER_4.jpg,AFRICAN_FIREFINCH_1.jpg,SCARLET_IBIS_3.jpg,3,2,1,3,1,5,,,,,,,,,,,,
