button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[32.43319999998806],[32.43330000001191],A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,space,16.2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,space,15.5366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,3,1,7.5533,0,0,0,0,1,PINK_ROBIN_4.jpg,COMMON_IORA_4.jpg,SPOONBILL_3.jpg,ALBATROSS_4.jpg,GREEN_MAGPIE_3.jpg,1,2,3,3,3,0,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,2,1,7.2302,0,1,1,1,1,IVORY_GULL_3.jpg,SNOWY_EGRET_4.jpg,INDIGO_FLYCATCHER_2.jpg,FAN_TAILED_WIDOW_1.jpg,FLAME_TANAGER_3.jpg,1,3,2,3,2,1,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,1,1,6.5761,0,2,2,2,1,left.png,left.png,right.png,left.png,up.png,,,,,1,2,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,1,0,8.7732,0,3,3,3,1,RUBY_THROATED_HUMMINGBIRD_3.jpg,MYNA_5.jpg,NORTHERN_SHOVELER_1.jpg,GOLDEN_EAGLE_2.jpg,WHITE_CHEEKED_TURACO_4.jpg,3,2,1,2,2,3,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,1,0,5.1619,0,4,4,4,1,LESSER_ADJUTANT_4.jpg,ALTAMIRA_YELLOWTHROAT_5.jpg,FAIRY_TERN_3.jpg,RAINBOW_LORIKEET_5.jpg,DOUBLE_EYED_FIG_PARROT_4.jpg,3,2,1,1,3,4,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,1,0,3.3754,0,5,5,5,1,BARRED_PUFFBIRD_3.jpg,NORTHERN_CARDINAL_5.jpg,VEERY_4.jpg,CAPPED_HERON_5.jpg,WHITE_CHEEKED_TURACO_2.jpg,3,2,1,2,2,5,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,1,0,5.384,0,6,6,6,1,NORTHERN_GANNET_2.jpg,PAINTED_BUNTING_5.jpg,MASKED_BOOBY_5.jpg,EASTERN_TOWEE_1.jpg,STRAWBERRY_FINCH_1.jpg,3,1,2,1,2,6,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,2,1,2.5645,0,7,7,7,1,OCELLATED_TURKEY_1.jpg,LARK_BUNTING_1.jpg,CHIPPING_SPARROW_1.jpg,AMERICAN_KESTREL_2.jpg,PURPLE_SWAMPHEN_4.jpg,1,2,3,2,2,7,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,2,0,3.0456,0,8,8,8,1,FLAME_BOWERBIRD_3.jpg,INDIAN_BUSTARD_2.jpg,SPOON_BILED_SANDPIPER_5.jpg,BROWN_THRASHER_4.jpg,QUETZAL_3.jpg,1,2,3,1,1,8,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,3,0,5.745,0,9,9,9,1,GYRFALCON_1.jpg,FAIRY_TERN_1.jpg,YELLOW_HEADED_BLACKBIRD_3.jpg,ASHY_STORM_PETREL_2.jpg,CINNAMON_ATTILA_2.jpg,3,1,2,3,1,9,,,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,,,,,,,,,,,,,,,,,,,,space,2.7793,,,,,,,,,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,,,,,,,,,RUFOUS_KINGFISHER_1.jpg,HORNED_SUNGEM_4.jpg,BLACK_VENTED_SHEARWATER_2.jpg,MAGPIE_GOOSE_3.jpg,GREEN_JAY_4.jpg,1,2,3,3,3,0,,,1,0,3.9978,0,0,0,0,1,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,,,,,,,,,STRIPPED_SWALLOW_1.jpg,EMPEROR_PENGUIN_5.jpg,GO_AWAY_BIRD_5.jpg,MAGPIE_GOOSE_4.jpg,BRANDT_CORMARANT_3.jpg,3,2,1,1,3,1,,,3,1,3.3292,0,1,1,1,1,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,,,,,,,,,AFRICAN_PIED_HORNBILL_5.jpg,KIWI_4.jpg,CAPUCHINBIRD_2.jpg,BORNEAN_PHEASANT_4.jpg,ALEXANDRINE_PARAKEET_1.jpg,3,1,2,1,2,2,,,2,1,1.4788,0,2,2,2,1,,
,,,A1G50D7L1GGZRU,33,malr,8,2023-01-18_14h03.12.231,perception_pilot,2022.2.4,Win32,9.748298922,,,,,,,,,,,,,RED_FACED_WARBLER_1.jpg,CAPE_GLOSSY_STARLING_2.jpg,EMU_5.jpg,CRESTED_OROPENDOLA_4.jpg,BLACK_VENTED_SHEARWATER_4.jpg,1,3,2,3,2,3,,,1,0,1.3864,0,3,3,3,1,,
