button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[62.840299999997],[62.840399999991064],A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,space,38.7626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,space,33.3972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,3,0,38.4485,0,0,0,0,1,INCA_TERN_4.jpg,ELLIOTS__PHEASANT_4.jpg,SMITHS_LONGSPUR_5.jpg,SNOWY_OWL_5.jpg,BORNEAN_BRISTLEHEAD_5.jpg,2,1,3,1,2,0,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,3,1,32.378,0,1,1,1,1,EUROPEAN_TURTLE_DOVE_3.jpg,TEAL_DUCK_2.jpg,PAINTED_BUNTING_3.jpg,MALABAR_HORNBILL_2.jpg,SNOWY_EGRET_3.jpg,2,3,1,1,3,1,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,1,1,43.1991,0,2,2,2,1,AFRICAN_PIED_HORNBILL_5.jpg,ALEXANDRINE_PARAKEET_1.jpg,INDIAN_PITTA_2.jpg,KIWI_4.jpg,CAPUCHINBIRD_2.jpg,2,1,3,2,1,2,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,3,1,82.4599,0,3,3,3,1,PYGMY_KINGFISHER_5.jpg,GRANDALA_2.jpg,GREAT_POTOO_3.jpg,NORTHERN_PARULA_5.jpg,MIKADO__PHEASANT_5.jpg,2,3,1,1,3,3,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,3,0,30.0852,0,4,4,4,1,GRAY_KINGBIRD_5.jpg,AFRICAN_FIREFINCH_3.jpg,EVENING_GROSBEAK_4.jpg,BALD_EAGLE_2.jpg,COCK_OF_THE__ROCK_4.jpg,3,1,2,3,1,4,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,2,1,10.5327,0,5,5,5,1,right.png,right.png,right.png,left.png,up.png,,,,,2,5,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,3,1,56.8658,0,6,6,6,1,WHITE_CHEEKED_TURACO_5.jpg,PYGMY_KINGFISHER_2.jpg,SNOWY_EGRET_1.jpg,CHINESE_POND_HERON_1.jpg,MALAGASY_WHITE_EYE_5.jpg,2,1,3,3,3,6,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,1,1,14.2068,0,7,7,7,1,RUBY_THROATED_HUMMINGBIRD_2.jpg,APAPANE_4.jpg,SCARLET_MACAW_3.jpg,DUSKY_ROBIN_5.jpg,GOLDEN_PARAKEET_2.jpg,2,3,1,2,1,7,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,3,1,16.4758,0,8,8,8,1,NORTHERN_JACANA_3.jpg,BAR-TAILED_GODWIT_3.jpg,REGENT_BOWERBIRD_5.jpg,BANANAQUIT_3.jpg,SHORT_BILLED_DOWITCHER_5.jpg,2,1,3,3,3,8,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,2,1,32.0976,0,9,9,9,1,TASMANIAN_HEN_5.jpg,AFRICAN_EMERALD_CUCKOO_5.jpg,BLACKBURNIAM_WARBLER_3.jpg,BORNEAN_PHEASANT_2.jpg,COPPERY_TAILED_COUCAL_1.jpg,1,2,3,2,2,9,,,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,,,,,,,,,,,,space,2.3599,,,,,,,,,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,RUFOUS_KINGFISHER_1.jpg,HORNED_SUNGEM_4.jpg,BLACK_VENTED_SHEARWATER_2.jpg,MAGPIE_GOOSE_3.jpg,GREEN_JAY_4.jpg,1,2,3,3,3,0,,,3,1,15.4042,0,0,0,0,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,CRESTED_CARACARA_4.jpg,TOUCHAN_4.jpg,CREAM_COLORED_WOODPECKER_1.jpg,BLUE_DACNIS_4.jpg,FAIRY_PENGUIN_5.jpg,3,2,1,3,1,1,,,1,1,29.4032,0,1,1,1,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,NORTHERN_GANNET_2.jpg,PAINTED_BUNTING_5.jpg,STRAWBERRY_FINCH_1.jpg,EASTERN_TOWEE_1.jpg,MASKED_BOOBY_5.jpg,2,1,3,1,2,2,,,1,0,18.7104,0,2,2,2,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,PEACOCK_3.jpg,ANIANIAU_2.jpg,STRAWBERRY_FINCH_4.jpg,IBERIAN_MAGPIE_2.jpg,ANDEAN_SISKIN_5.jpg,2,3,1,1,3,3,,,3,1,26.2036,0,3,3,3,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,SKUA_4.jpg,PARUS_MAJOR_2.jpg,ROADRUNNER_5.jpg,PURPLE_FINCH_4.jpg,SNOWY_EGRET_5.jpg,3,2,1,2,2,4,,,3,0,19.7954,0,4,4,4,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,CERULEAN_WARBLER_1.jpg,ORIENTAL_BAY_OWL_1.jpg,DALMATIAN_PELICAN_5.jpg,AMERICAN_FLAMINGO_5.jpg,BANANAQUIT_1.jpg,1,2,3,1,1,5,,,3,0,17.7717,0,5,5,5,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,LESSER_ADJUTANT_5.jpg,RED_HEADED_WOODPECKER_1.jpg,GAMBELS_QUAIL_1.jpg,CASPIAN_TERN_2.jpg,AMERICAN_GOLDFINCH_1.jpg,2,3,1,3,2,6,,,3,0,21.007,0,6,6,6,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,OVENBIRD_5.jpg,FAIRY_PENGUIN_1.jpg,ABBOTTS_BOOBY_2.jpg,PURPLE_FINCH_5.jpg,JABIRU_4.jpg,2,3,1,2,1,7,,,3,0,8.5978,0,7,7,7,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,CRESTED_NUTHATCH_2.jpg,CANARY_1.jpg,VERMILION_FLYCATHER_4.jpg,AFRICAN_FIREFINCH_1.jpg,SCARLET_IBIS_3.jpg,3,2,1,3,1,8,,,1,1,18.6821,0,8,8,8,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,ECUADORIAN_HILLSTAR_5.jpg,CRIMSON_SUNBIRD_5.jpg,BOBOLINK_5.jpg,SCARLET_IBIS_2.jpg,GREEN_BROADBILL_4.jpg,2,1,3,3,3,9,,,3,1,40.3608,0,9,9,9,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,GREY_PLOVER_1.jpg,AMETHYST_WOODSTAR_4.jpg,GOULDIAN_FINCH_4.jpg,HYACINTH_MACAW_3.jpg,BURCHELLS_COURSER_5.jpg,2,1,3,3,3,10,,,3,1,6.612,0,10,10,10,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,MYNA_1.jpg,SANDHILL_CRANE_4.jpg,PARADISE_TANAGER_3.jpg,OSTRICH_2.jpg,GREY_PLOVER_4.jpg,3,1,2,1,2,11,,,3,0,11.8179,0,11,11,11,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,BALI_STARLING_1.jpg,PURPLE_FINCH_2.jpg,CAPE_LONGCLAW_5.jpg,AMERICAN_PIPIT_1.jpg,IBERIAN_MAGPIE_1.jpg,1,2,3,2,2,12,,,3,0,8.8327,0,12,12,12,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,NORTHERN_JACANA_2.jpg,GREEN_BROADBILL_1.jpg,EMERALD_TANAGER_2.jpg,RED_FACED_CORMORANT_1.jpg,VULTURINE_GUINEAFOWL_5.jpg,1,3,2,1,1,13,,,1,1,15.051,0,13,13,13,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,ASIAN_CRESTED_IBIS_4.jpg,CANARY_2.jpg,GREAT_JACAMAR_4.jpg,OYSTER_CATCHER_2.jpg,IVORY_GULL_2.jpg,1,2,3,1,1,14,,,1,1,10.2213,0,14,14,14,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,BROWN_NOODY_3.jpg,KIWI_2.jpg,GUINEA_TURACO_5.jpg,SPANGLED_COTINGA_4.jpg,PEACOCK_5.jpg,3,2,1,1,3,15,,,1,0,40.338,0,15,15,15,1,,
,,,A1I7H6RDJS4EKN,67,Male,6,2023-01-18_08h02.21.211,perception_pilot,2022.2.4,MacIntel,19.99120387,,,,,,,,,,,,,KILLDEAR_2.jpg,CAATINGA_CACHOLOTE_4.jpg,CHATTERING_LORY_1.jpg,ALEXANDRINE_PARAKEET_5.jpg,AZURE_TIT_5.jpg,2,1,3,2,1,16,,,1,1,19.6766,0,16,16,16,1,,
