button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[77.01319999992847],[77.01319999992847],A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,space,29.3518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,space,19.2578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,,,1,0,13.5755,0,0,0,0,1,ASIAN_CRESTED_IBIS_4.jpg,OYSTER_CATCHER_2.jpg,IVORY_GULL_2.jpg,CANARY_2.jpg,AMERICAN_KESTREL_1.jpg,3,1,2,2,3,0,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,,,3,1,10.193,0,1,1,1,1,STRIPPED_SWALLOW_1.jpg,GO_AWAY_BIRD_5.jpg,EMPEROR_PENGUIN_5.jpg,MAGPIE_GOOSE_4.jpg,WHITE_THROATED_BEE_EATER_5.jpg,1,2,3,3,3,1,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,,,2,0,12.9164,0,2,2,2,1,left.png,left.png,right.png,up.png,left.png,,,,,1,2,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,,,1,1,9.4871,0,3,3,3,1,DOUBLE_BRESTED_CORMARANT_5.jpg,CHINESE_POND_HERON_2.jpg,ANHINGA_5.jpg,GILDED_FLICKER_2.jpg,EURASIAN_MAGPIE_4.jpg,3,1,2,3,1,3,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,,,3,1,14.6389,0,4,4,4,1,INDIGO_BUNTING_1.jpg,FRIGATE_4.jpg,SNOWY_PLOVER_1.jpg,DARWINS_FLYCATCHER_2.jpg,POMARINE_JAEGER_5.jpg,2,3,1,1,3,4,,,,,,,,,,,,
,,,A1XK98QJU92M4E,35,female,8,2023-01-18_14h18.56.870,perception_pilot,2022.2.4,Win32,2.309687522,,,,,3,0,14.5415,0,5,5,5,1,GRAY_KINGBIRD_5.jpg,BALD_EAGLE_2.jpg,PEACOCK_1.jpg,COCK_OF_THE__ROCK_4.jpg,AFRICAN_FIREFINCH_3.jpg,1,2,3,1,1,5,,,,,,,,,,,,
