button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[4.820999999999998],[4.820999999999998],A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,space,16.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,space,21.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,1,1,6.386,0,0,0,0,1,MYNA_1.jpg,SANDHILL_CRANE_4.jpg,OSTRICH_2.jpg,PARADISE_TANAGER_3.jpg,GREY_PLOVER_4.jpg,1,3,2,1,1,0,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,1,1,6.619,0,1,1,1,1,MALACHITE_KINGFISHER_2.jpg,INCA_TERN_2.jpg,COCKATOO_2.jpg,GREEN_BROADBILL_5.jpg,SKUA_3.jpg,2,3,1,2,1,1,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,1,1,6.357,0,2,2,2,1,GRAY_KINGBIRD_5.jpg,AFRICAN_FIREFINCH_3.jpg,EVENING_GROSBEAK_4.jpg,BALD_EAGLE_2.jpg,COCK_OF_THE__ROCK_4.jpg,3,1,2,3,1,2,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,2,1,5.348,0,3,3,3,1,GILA_WOODPECKER_3.jpg,SNOWY_OWL_4.jpg,BLACK_SWAN_3.jpg,ALEXANDRINE_PARAKEET_2.jpg,BLACK_VULTURE_3.jpg,1,2,3,2,2,3,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,1,1,3.096,0,4,4,4,1,CERULEAN_WARBLER_1.jpg,BANANAQUIT_1.jpg,CRESTED_OROPENDOLA_5.jpg,AMERICAN_FLAMINGO_5.jpg,ORIENTAL_BAY_OWL_1.jpg,3,2,1,3,1,4,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,1,1,2.622,0,5,5,5,1,left.png,left.png,right.png,up.png,left.png,,,,,1,5,,,,,,,,,,,,
,,,A2WDF40FA670T9,62,Male,8,2023-01-18_14h20.32.597,perception_pilot,2022.2.4,Linux x86_64,58.82352941,,,,,2,1,5.015,0,6,6,6,1,LESSER_ADJUTANT_4.jpg,RAINBOW_LORIKEET_5.jpg,FAIRY_TERN_3.jpg,CHATTERING_LORY_2.jpg,ALTAMIRA_YELLOWTHROAT_5.jpg,3,2,1,2,2,6,,,,,,,,,,,,
