button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[56.31600000000003],[56.31600000000003],A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,space,7.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,space,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,,,3,0,14.261,0,0,0,0,1,MALACHITE_KINGFISHER_2.jpg,GREEN_BROADBILL_5.jpg,JAVA_SPARROW_5.jpg,INCA_TERN_2.jpg,SKUA_3.jpg,3,2,1,3,1,0,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,,,2,1,9.622,0,1,1,1,1,ASIAN_CRESTED_IBIS_4.jpg,CANARY_2.jpg,IVORY_GULL_2.jpg,GREAT_JACAMAR_4.jpg,OYSTER_CATCHER_2.jpg,3,1,2,1,2,1,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,,,1,0,6.503,0,2,2,2,1,ALPINE_CHOUGH_4.jpg,BOBOLINK_3.jpg,EUROPEAN_GOLDFINCH_3.jpg,SNOWY_EGRET_2.jpg,UMBRELLA_BIRD_1.jpg,2,1,3,3,3,2,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,,,3,0,11.194,0,3,3,3,1,LARK_BUNTING_2.jpg,KING_VULTURE_3.jpg,CHARA_DE_COLLAR_4.jpg,EMU_3.jpg,CACTUS_WREN_3.jpg,2,1,3,2,1,3,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,,,1,1,24.326,0,4,4,4,1,RUFOUS_KINGFISHER_1.jpg,HORNED_SUNGEM_4.jpg,GREEN_JAY_4.jpg,BLACK_VENTED_SHEARWATER_2.jpg,MAGPIE_GOOSE_3.jpg,3,1,2,3,1,4,,,,,,,,,,,,
,,,A3QJ0LIK6SS3PG,47,Male,9,2023-01-18_14h56.43.714,perception_pilot,2022.2.4,Win32,5.454763645,,,,,1,1,3.215,0,5,5,5,1,RUBY_THROATED_HUMMINGBIRD_1.jpg,EURASIAN_GOLDEN_ORIOLE_5.jpg,BROWN_THRASHER_1.jpg,VULTURINE_GUINEAFOWL_4.jpg,FRIGATE_1.jpg,1,2,3,1,1,5,,,,,,,,,,,,
