button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[28.95400000000018],[28.95400000000018],A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,space,12.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,space,32.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,,,1,0,111.467,0,0,0,0,1,NORTHERN_JACANA_2.jpg,RED_FACED_CORMORANT_1.jpg,GREEN_BROADBILL_1.jpg,SCARLET_IBIS_4.jpg,VULTURINE_GUINEAFOWL_5.jpg,1,3,2,3,2,0,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,,,3,0,3.35,0,1,1,1,1,BROWN_NOODY_3.jpg,GUINEA_TURACO_5.jpg,UMBRELLA_BIRD_4.jpg,SPANGLED_COTINGA_4.jpg,KIWI_2.jpg,3,2,1,3,1,1,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,,,3,0,1.327,0,2,2,2,1,MYNA_1.jpg,SANDHILL_CRANE_4.jpg,OSTRICH_2.jpg,PARADISE_TANAGER_3.jpg,GREY_PLOVER_4.jpg,1,3,2,1,1,2,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,,,3,0,10.965,0,3,3,3,1,KAGU_5.jpg,ASHY_STORM_PETREL_1.jpg,EASTERN_MEADOWLARK_1.jpg,MANDRIN_DUCK_4.jpg,IMPERIAL_SHAQ_2.jpg,1,2,3,2,2,3,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,,,2,1,15.349,0,4,4,4,1,left.png,left.png,left.png,right.png,up.png,,,,,2,4,,,,,,,,,,,,
,,,A3T14CFDA1ONP3,58,Female,6,2023-01-18_14h28.58.201,perception_pilot,2022.2.4,Win32,3.000120005,,,,,3,0,0.691,0,5,5,5,1,SKUA_4.jpg,PARUS_MAJOR_2.jpg,ROADRUNNER_5.jpg,PURPLE_FINCH_4.jpg,SNOWY_EGRET_5.jpg,3,2,1,2,2,5,,,,,,,,,,,,
