button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[2.223100000381521],[2.22319999980931],A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,space,1.840400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,space,1.2718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,,,2,1,9.0262,0,0,0,0,1,LARK_BUNTING_2.jpg,KING_VULTURE_3.jpg,EMU_3.jpg,CHARA_DE_COLLAR_4.jpg,CACTUS_WREN_3.jpg,1,2,3,2,2,0,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,,,3,0,10.6287,0,1,1,1,1,ARARIPE_MANAKIN_4.jpg,BLACK_VULTURE_1.jpg,KIWI_3.jpg,UMBRELLA_BIRD_5.jpg,BORNEAN_LEAFBIRD_3.jpg,1,2,3,2,2,1,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,,,2,0,5.2614,0,2,2,2,1,BALI_STARLING_1.jpg,CAPE_LONGCLAW_5.jpg,OSTRICH_5.jpg,PURPLE_FINCH_2.jpg,IBERIAN_MAGPIE_1.jpg,1,2,3,1,1,2,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,,,2,1,8.5885,0,3,3,3,1,SHOEBILL_3.jpg,BALD_EAGLE_5.jpg,MALAGASY_WHITE_EYE_3.jpg,BALD_IBIS_3.jpg,GILDED_FLICKER_5.jpg,1,3,2,3,2,3,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,,,1,0,6.0358,0,4,4,4,1,BARRED_PUFFBIRD_3.jpg,VEERY_4.jpg,WHITE_CHEEKED_TURACO_2.jpg,NORTHERN_CARDINAL_5.jpg,RED_TAILED_THRUSH_2.jpg,1,2,3,3,3,4,,,,,,,,,,,,
,,,A47T7R7B44WFH,63,MALE,8,2023-01-18_13h29.27.451,perception_pilot,2022.2.4,Win32,11.03862415,,,,,3,1,4.5304,0,5,5,5,1,BROWN_THRASHER_3.jpg,BLACK_BAZA_4.jpg,DOUBLE_EYED_FIG_PARROT_3.jpg,OYSTER_CATCHER_4.jpg,CRESTED_KINGFISHER_3.jpg,1,2,3,3,3,5,,,,,,,,,,,,
