button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,demo_loop.thisRepN,demo_loop.thisTrialN,demo_loop.thisN,demo_loop.thisIndex,demo_loop.ran,target_image,target_match,option1,option2,option3,option1_layer,option2_layer,option3_layer,match_layer,correct_answer,trial_num,key_resp_15.keys,key_resp_15.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_end_2.keys,key_resp_end_2.rt
1,[13.713599999904659],[13.71369999980925],A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,space,3.6871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,space,1.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,2,1,4.5531,0,0,0,0,1,CRESTED_NUTHATCH_2.jpg,CANARY_1.jpg,AFRICAN_FIREFINCH_1.jpg,VERMILION_FLYCATHER_4.jpg,SCARLET_IBIS_3.jpg,2,3,1,3,2,0,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,1,1,0.8246,0,1,1,1,1,EUROPEAN_TURTLE_DOVE_3.jpg,PAINTED_BUNTING_3.jpg,CAPE_GLOSSY_STARLING_1.jpg,MALABAR_HORNBILL_2.jpg,TEAL_DUCK_2.jpg,2,3,1,2,1,1,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,3,0,1.3717,0,2,2,2,1,ASIAN_CRESTED_IBIS_4.jpg,OYSTER_CATCHER_2.jpg,AMERICAN_KESTREL_1.jpg,IVORY_GULL_2.jpg,CANARY_2.jpg,2,3,1,2,1,2,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,2,0,0.6831,0,3,3,3,1,left.png,left.png,left.png,up.png,right.png,,,,,3,3,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,1,0,0.7935,0,4,4,4,1,DOUBLE_BRESTED_CORMARANT_5.jpg,GILDED_FLICKER_2.jpg,CHINESE_POND_HERON_2.jpg,EURASIAN_MAGPIE_4.jpg,SNOWY_OWL_3.jpg,3,2,1,1,3,4,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,2,0,0.7997,0,5,5,5,1,TREE_SWALLOW_4.jpg,ROBIN_3.jpg,CALIFORNIA_GULL_1.jpg,RED_HEADED_DUCK_5.jpg,RED_FODY_3.jpg,2,1,3,2,1,5,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,2,0,0.8474,0,6,6,6,1,OVENBIRD_5.jpg,PURPLE_FINCH_5.jpg,FAIRY_PENGUIN_1.jpg,JABIRU_4.jpg,GILDED_FLICKER_1.jpg,2,1,3,3,3,6,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,1,0,0.8629,0,7,7,7,1,GOLDEN_CHLOROPHONIA_5.jpg,ROADRUNNER_2.jpg,VERMILION_FLYCATHER_5.jpg,WHIMBREL_1.jpg,COMMON_HOUSE_MARTIN_4.jpg,3,1,2,1,2,7,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,3,0,0.8396,0,8,8,8,1,RED_FACED_WARBLER_1.jpg,EMU_5.jpg,SPOONBILL_4.jpg,CAPE_GLOSSY_STARLING_2.jpg,BLACK_VENTED_SHEARWATER_4.jpg,1,3,2,1,1,8,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,2,1,0.7673,0,9,9,9,1,INLAND_DOTTEREL_4.jpg,CRESTED_KINGFISHER_1.jpg,NICOBAR_PIGEON_4.jpg,ANNAS_HUMMINGBIRD_2.jpg,JANDAYA_PARAKEET_5.jpg,2,3,1,3,2,9,,,,,,,,,,,,
,,,A8B41DKV45LO7,36,MALE,8,2023-01-18_13h27.36.574,perception_pilot,2022.2.4,Win32,8.072784223,,,,,,,,,,,,,,,,,,,,,,,,space,1.3288,,,,,,,,,,
