,target_image,layer1,layer2,layer3,layer1_2nd_best,layer2_2nd_best,layer3_2nd_best
0,AFRICAN_PIED_HORNBILL_5.jpg,KIWI_4.jpg,ALEXANDRINE_PARAKEET_1.jpg,CAPUCHINBIRD_2.jpg,BORNEAN_PHEASANT_4.jpg,INDIAN_PITTA_2.jpg,ECUADORIAN_HILLSTAR_3.jpg
1,ALPINE_CHOUGH_4.jpg,SNOWY_EGRET_2.jpg,EUROPEAN_GOLDFINCH_3.jpg,BOBOLINK_3.jpg,AMERICAN_FLAMINGO_2.jpg,HOUSE_FINCH_2.jpg,UMBRELLA_BIRD_1.jpg
2,AMERICAN_PIPIT_5.jpg,EMU_2.jpg,GREEN_MAGPIE_1.jpg,HEPATIC_TANAGER_5.jpg,PEACOCK_2.jpg,LOGGERHEAD_SHRIKE_4.jpg,AMERICAN_GOLDFINCH_5.jpg
3,ARARIPE_MANAKIN_4.jpg,KIWI_3.jpg,BLACK_VULTURE_1.jpg,BORNEAN_LEAFBIRD_3.jpg,GREAT_GRAY_OWL_4.jpg,UMBRELLA_BIRD_5.jpg,GUINEA_TURACO_3.jpg
4,ASIAN_CRESTED_IBIS_4.jpg,CANARY_2.jpg,OYSTER_CATCHER_2.jpg,IVORY_GULL_2.jpg,GREAT_JACAMAR_4.jpg,AMERICAN_KESTREL_1.jpg,CASPIAN_TERN_4.jpg
5,ASIAN_DOLLARD_BIRD_2.jpg,ALBATROSS_2.jpg,HAWAIIAN_GOOSE_1.jpg,VIOLET_GREEN_SWALLOW_4.jpg,OSTRICH_1.jpg,MCKAYS_BUNTING_1.jpg,VERMILION_FLYCATHER_1.jpg
6,BALI_STARLING_1.jpg,CAPE_LONGCLAW_5.jpg,PURPLE_FINCH_2.jpg,IBERIAN_MAGPIE_1.jpg,OSTRICH_5.jpg,AMERICAN_PIPIT_1.jpg,GRANDALA_5.jpg
7,BARRED_PUFFBIRD_3.jpg,WHITE_CHEEKED_TURACO_2.jpg,NORTHERN_CARDINAL_5.jpg,VEERY_4.jpg,CUBAN_TODY_3.jpg,CAPPED_HERON_5.jpg,RED_TAILED_THRUSH_2.jpg
8,BREWERS_BLACKBIRD_3.jpg,PEACOCK_4.jpg,GOLDEN_CHEEKED_WARBLER_3.jpg,CAPE_LONGCLAW_2.jpg,DOUBLE_EYED_FIG_PARROT_2.jpg,AMERICAN_AVOCET_5.jpg,AFRICAN_OYSTER_CATCHER_2.jpg
9,BROWN_NOODY_3.jpg,KIWI_2.jpg,SPANGLED_COTINGA_4.jpg,GUINEA_TURACO_5.jpg,PEACOCK_5.jpg,COMMON_IORA_3.jpg,UMBRELLA_BIRD_4.jpg
10,BROWN_THRASHER_3.jpg,DOUBLE_EYED_FIG_PARROT_3.jpg,OYSTER_CATCHER_4.jpg,BLACK_BAZA_4.jpg,RED_BEARDED_BEE_EATER_4.jpg,RED_HEADED_WOODPECKER_2.jpg,CRESTED_KINGFISHER_3.jpg
11,CASPIAN_TERN_1.jpg,BRANDT_CORMARANT_4.jpg,EUROPEAN_GOLDFINCH_4.jpg,COMMON_LOON_2.jpg,COMMON_POORWILL_4.jpg,AMERICAN_GOLDFINCH_3.jpg,MASKED_BOOBY_1.jpg
