button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,key_resp_end_2.keys,key_resp_end_2.rt
1,[3.0551999999880763],[3.055299999982111],A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,space,3.7561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,left,1,0,2,2,2,1,left.jpg,left,1.1815,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,left,1,3.1656,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,left,0,1.5177,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,left,1,1.2627,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,left,1,1.5139,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,right,1,1.7657,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,left,1,1.678,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,space,1.6094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2898635428-69104.jpg,2901943411-292945.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2874302418-65979.jpg,2238578544-111698.jpg,3,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,2449442529-124446.jpg,2460547536-274181.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,2864910426-287204.jpg,2874299429-139694.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,2898624426-291546.jpg,2981235446-294900.jpg,3,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,2449441881-272368.jpg,2883268412-365899.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,2446759803-49249.jpg,2446760601-272099.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,7,7,7,1,left.jpg,,,left,1.0231,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,2898633421-291973.jpg,2575118671-277663.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,2898618390-216538.jpg,2986449336-296644.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,10,1,2901939379-143479.jpg,2981240424-145794.jpg,3,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,11,11,1,2868474407-362883.jpg,2238516618-25604.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12,12,12,1,2883268471-290842.jpg,2883255450-215310.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,13,13,1,2238560245-182099.jpg,2549106624-127823.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,14,14,14,1,2868475410-213219.jpg,2901946465-218350.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15,15,15,1,2238481198-19822.jpg,2901946436-293242.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,16,16,1,2446758985-197609.jpg,2898624426-291544.jpg,3,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17,17,17,1,2512875899-126682.jpg,2460547536-274179.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,18,18,18,1,2460547467-349421.jpg,2898631394-142727.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,19,19,19,1,2452381505-199546.jpg,2994401319-148290.jpg,3,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,20,20,1,2575120738-55529.jpg,2898632385-217138.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21,21,21,1,2458347385-199723.jpg,2238480434-93829.jpg,1,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,22,22,22,1,left.jpg,,,left,1.1767,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,23,23,23,1,2883256307-365057.jpg,2864904453-63933.jpg,3,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,24,24,24,1,2981241414-145842.jpg,2874301404-139813.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,25,25,25,1,2964218374-144967.jpg,2981231446-294732.jpg,3,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,26,26,26,1,2901939379-143480.jpg,2981229442-369621.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27,27,27,1,2901948350-218459.jpg,2417208001-267065.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28,28,28,1,2883254439-140941.jpg,2898632385-217136.jpg,2,,,,,,
,,,A15B4KZ3S04HS8,25,Male,9,2022-10-30_10h08.24.730,memory_pilot_most_recent,2022.2.4,Win32,21.76325927,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,29,29,29,1,right.jpg,,,right,0.9446,,,,
