,demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId
A11EXIB1MVBZFJ,1.156,1.0,1.0,15.790666666666667,,15.790666666666667,1.1385999999999998,1.0,0.5166666666666667,2.0942413793103447,3.8998620689655175,12.155967741935486,2.2033684210526316,0.6,1.67195,0.5,2.429631578947369,0.45,4.0,True,True,True,True,True,True,False,A11EXIB1MVBZFJ
A1F9KLZGHE9DTA,0.5979,1.0,0.8333333333333334,1.38595,1.7404,1.31506,0.59792,1.0,0.5666666666666667,1.4185133333333333,1.469430769230769,1.3795764705882352,1.49978,0.65,1.293545,0.6,1.462215,0.45,6.0,True,True,True,True,True,True,False,A1F9KLZGHE9DTA
A1LCUPRZ0I8S3I,0.9871,1.0,1.0,2.1859333333333333,,2.1859333333333333,1.37952,1.0,0.6333333333333333,2.649913333333333,2.9843772727272726,2.4562763157894736,2.4478549999999997,0.75,2.726375,0.5,2.7755099999999997,0.65,4.0,True,True,True,True,True,True,True,A1LCUPRZ0I8S3I
A1OOCYEFLAJD98,0.5116,1.0,1.0,2.427583333333333,,2.427583333333333,0.6756200000000001,1.0,0.6833333333333333,2.3439525423728815,2.3649947368421054,4.215473170731708,2.1336649999999997,0.75,2.373321052631579,0.7,2.5263400000000003,0.6,4.0,True,True,True,True,True,True,True,A1OOCYEFLAJD98
A1U0FDPQ953KXX,1.1286,1.0,0.8333333333333334,5.252666666666666,3.3118,5.64084,1.3084,1.0,0.6833333333333333,2.785461016949153,2.953126315789474,3.233670731707317,2.93216,0.75,3.16509,0.6,2.2314315789473684,0.7,3.0,True,True,True,True,True,True,True,A1U0FDPQ953KXX
A2ASRB2MTHDHPD,1.2799,1.0,0.5,5.29365,4.709733333333333,5.877566666666667,1.6313,1.0,0.5,1.9911169491525424,3.284966666666667,1.7594833333333333,2.114545,0.7,1.7288684210526317,0.25,2.116825,0.55,9.0,True,True,True,True,True,True,False,A2ASRB2MTHDHPD
A2M183CETUMR96,0.5185,1.0,0.3333333333333333,5.864933333333334,3.14855,11.297699999999999,0.4824,1.0,0.9,3.0894631578947362,3.843116666666667,3.4683314814814814,2.94605,0.9,2.99661,0.9,3.3230684210526316,0.9,5.0,False,True,True,True,False,True,True,A2M183CETUMR96
A3JJXDML3XNSQP,1.862,1.0,0.8333333333333334,5.356999999999999,15.925,3.2434,1.3712,1.0,0.45,3.407035087719298,3.7550303030303027,6.430444444444445,3.2143157894736842,0.3,3.3248333333333333,0.45,3.6641,0.6,3.0,True,True,True,True,False,True,False,A3JJXDML3XNSQP
A3RDT5DH21PVAR,2.1221,1.0,0.6666666666666666,2.2080333333333333,1.7221000000000002,2.451,1.14476,0.8,0.4166666666666667,1.3989583333333333,1.1807,1.70452,1.312745,0.5,1.23408,0.35,1.6500499999999998,0.4,4.0,True,True,True,True,True,True,False,A3RDT5DH21PVAR
A3VHDQR8A9JJ4F,0.6487,1.0,0.8333333333333334,1.88865,1.8077,1.90484,0.62064,1.0,0.5833333333333334,1.2611066666666666,1.20786,1.2991400000000002,1.261695,0.6,1.359075,0.7,1.16255,0.45,7.0,True,True,True,True,True,True,False,A3VHDQR8A9JJ4F
A98E8M4QLI9RS,0.449,1.0,0.6666666666666666,1.3051666666666668,1.206,1.35475,0.5922,1.0,0.6,1.6223333333333332,1.542,1.675888888888889,1.7061499999999998,0.6,1.6751,0.55,1.48575,0.65,6.0,True,True,True,True,True,True,False,A98E8M4QLI9RS
AE33JO53WTHZQ,1.3502,1.0,0.6666666666666666,4.566183333333334,4.398,4.650275,1.1042,0.6,0.7,2.571715,2.5707,2.5721499999999997,2.428975,0.75,2.84418,0.75,2.4419899999999997,0.6,4.0,True,True,False,True,True,True,True,AE33JO53WTHZQ
AK4WAT44YKU7J,0.6394,1.0,0.6666666666666666,2.2396833333333337,2.5745,2.072275,0.52266,1.0,0.7833333333333333,2.4283183333333325,2.267330769230769,2.472846808510638,2.452395,0.7,2.254125,0.85,2.578435,0.8,7.0,True,True,True,True,True,True,True,AK4WAT44YKU7J
AMEBLCWTZKLS2,0.973,1.0,0.8333333333333334,1.663333333333333,1.395,1.717,1.0372,1.0,0.5833333333333334,2.287683333333333,2.4398,2.1790285714285718,2.1484,0.75,2.40965,0.55,2.305,0.45,3.0,True,True,True,True,True,True,True,AMEBLCWTZKLS2
ATA61WNUAP91U,1.3853,1.0,0.8333333333333334,2.3896833333333336,2.1828,2.43106,1.27288,1.0,0.65,2.5476733333333335,2.4307,2.6106589743589743,2.755065,0.8,2.3737850000000003,0.65,2.51417,0.5,5.0,True,True,True,True,True,True,True,ATA61WNUAP91U
