,demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId
A1D8EUOJW3MX7N,1.034200001,1.0,0.5,2.3006999998333337,2.746566666333333,1.8548333333333333,1.2235199998,1.0,0.5666666666666667,2.438222807122807,3.136157692384616,4.4015058824705875,2.0973300000000004,0.7,3.150511111166667,0.55,2.122257895,0.45,2.0,True,True,True,True,False,True,False,A1D8EUOJW3MX7N
A1HG8X94R5JJIX,1.1126,1.0,0.8333333333333334,2.5822833333333333,3.0407,2.4905999999999997,1.9878399999999998,1.0,0.95,4.492124137931034,8.982566666666665,16.383868421052632,4.9102444444444435,1.0,4.716055555555555,0.95,3.966809090909091,0.9,6.0,True,True,True,True,False,True,True,A1HG8X94R5JJIX
A1YZ0ETOCJO1B2,0.935,1.0,0.6666666666666666,2.6620500003333336,3.4689000000000005,2.2586250005,0.7199200001999999,1.0,0.65,2.47011999995,2.3230095238571433,2.549333333230769,2.2412300001000003,0.75,2.6823049999000004,0.55,2.4868249998500005,0.65,3.0,True,True,True,True,True,True,True,A1YZ0ETOCJO1B2
A20OEK6BVW13NV,0.2588,1.0,0.5,0.9833166666666666,0.7999,1.1667333333333332,0.6615200000000001,0.6,0.4666666666666667,1.2947283334500002,1.2713437501249996,1.3214535715357145,1.2523300001,0.45,1.3462100000500001,0.55,1.2856450002000002,0.4,7.0,True,True,False,True,True,True,False,A20OEK6BVW13NV
A21YNTPZSVT4QX,1.2685,1.0,1.0,2.64995,,2.64995,1.3142,0.8,0.6166666666666667,2.6442,2.9114,2.838778378378379,2.44548,0.85,2.915995,0.5,2.5672789473684214,0.5,4.0,True,True,True,True,True,True,True,A21YNTPZSVT4QX
A2AILDQQ4UTXD0,1.3034,1.0,0.6666666666666666,1.6445999999999998,2.49575,1.2190249999999998,0.80694,1.0,0.5333333333333333,0.2098,0.1910035714285714,0.22624687499999993,0.24664499999999995,0.45,0.17719000000000001,0.55,0.20556500000000005,0.6,2.0,True,True,True,True,True,False,False,A2AILDQQ4UTXD0
A2LKGF193ZR5JP,0.7911,1.0,0.8333333333333334,1.8726833333333335,2.5943,1.72836,0.5437799999999999,1.0,0.65,1.5695183333333333,1.5748380952380951,1.5666538461538464,1.5051849999999998,0.8,1.596475,0.55,1.6068950000000002,0.6,7.0,True,True,True,True,True,True,True,A2LKGF193ZR5JP
A2M3FPQF852HW4,0.381,1.0,0.6666666666666666,1.8317166666666667,1.6407,1.9272250000000002,0.38716,1.0,0.6666666666666666,1.5178316666666667,1.4923300000000004,1.5305825,1.498845,0.6,1.57153,0.55,1.48312,0.85,4.0,True,True,True,True,True,True,True,A2M3FPQF852HW4
A2NT3OQZUUZPEO,0.802,1.0,0.8333333333333334,2.798216666666667,5.4533,2.2672,0.68916,1.0,0.6666666666666666,3.082418333333334,3.1260850000000007,3.060585,3.139105,0.7,2.875395,0.7,3.232755,0.6,5.0,True,True,True,True,True,True,True,A2NT3OQZUUZPEO
A2OZN198ZV1VKK,0.8935,1.0,0.6666666666666666,1.791966666666667,1.8397999999999999,1.76805,0.5795600000000001,1.0,0.6666666666666666,1.829525,1.769255,1.8596599999999999,1.7072899999999998,0.7,1.55355,0.6,2.227735,0.7,3.0,True,True,True,True,True,True,True,A2OZN198ZV1VKK
A2V27A9GZA1NR2,0.7049,1.0,0.8333333333333334,2.080433333333333,3.087,1.87912,0.68898,1.0,0.55,1.0801406779661016,1.0509481481481482,1.3890121212121216,0.9530210526315789,0.5,1.16561,0.65,1.1154350000000002,0.5,2.0,True,True,True,True,True,True,False,A2V27A9GZA1NR2
A2VIKCIM9TZL22,0.5131,1.0,0.8333333333333334,1.3986666666666665,1.4063,1.39714,0.77838,1.0,0.5666666666666667,1.1042116666666668,1.176353846153846,1.049044117647059,1.1098150000000002,0.7,1.1056400000000002,0.45,1.0971800000000003,0.55,6.0,True,True,True,True,True,True,False,A2VIKCIM9TZL22
A2XFO0X6RCS98M,0.8007,1.0,1.0,1.29965,,1.29965,0.81678,1.0,0.5333333333333333,1.4039283333333332,1.3305214285714289,1.468159375,1.50124,0.6,1.3380249999999998,0.4,1.3725200000000002,0.6,4.0,True,True,True,True,True,True,False,A2XFO0X6RCS98M
A376AZWIBALRC,1.4149,1.0,0.8333333333333334,2.2040166666666665,2.0861,2.2276,1.4507599999999998,1.0,0.6166666666666667,2.8637508474576268,3.25945652173913,2.844278378378378,2.8053052631578947,0.75,2.90987,0.6,2.873155,0.5,9.0,True,True,True,True,True,True,True,A376AZWIBALRC
A3E3H1NCSN4DQK,1.363,1.0,0.8333333333333334,4.258166666666667,2.561,4.5976,1.9174,1.0,0.5833333333333334,4.368352941176471,6.728839999999999,6.148285714285714,4.045125,0.5,4.005941176470589,0.65,4.997944444444444,0.6,2.0,True,True,True,True,False,True,False,A3E3H1NCSN4DQK
A3MXI2O3JZ0TZH,0.653,1.0,0.8333333333333334,2.62975,1.785,2.7987,0.45654000000000006,1.0,0.5166666666666667,1.18634,1.3031896551724134,1.0770290322580647,1.4845050000000002,0.5,1.00625,0.4,1.068265,0.65,4.0,True,True,True,True,True,True,False,A3MXI2O3JZ0TZH
A3TACK9NUMFBZA,1.1617,1.0,0.6666666666666666,4.506483333333334,3.0984499999999997,5.210500000000001,0.79228,1.0,0.7,2.6826759259259263,13.593083333333336,4.917999999999999,2.167072222222222,0.8,2.968477777777778,0.65,2.9124777777777777,0.65,6.0,True,True,True,True,False,True,True,A3TACK9NUMFBZA
A5NE8TWS8ZV7B,0.633,1.0,1.0,1.2273333333333334,,1.2273333333333334,0.634,1.0,0.6333333333333333,1.56985,1.6676363636363634,1.5132368421052629,1.4305499999999998,0.75,1.6335500000000003,0.5,1.6454499999999999,0.65,6.0,True,True,True,True,True,True,True,A5NE8TWS8ZV7B
AAGENOEV955DM,0.9333,1.0,0.5,1.1507,1.1595,1.1419,0.96524,1.0,0.5,2.1767627118644066,2.346253333333333,2.3585833333333337,2.3663999999999996,0.4,2.078475,0.55,2.0806052631578953,0.55,4.0,True,True,True,True,True,True,False,AAGENOEV955DM
AUZP4FPD6UTNU,1.036599999,1.0,0.8333333333333334,1.6325166666666666,2.0956,1.5398999999999998,1.3617399998,1.0,0.6666666666666666,2.1116850000166663,1.8459749998999997,2.2445400000749993,2.3957249999499997,0.7,2.2200000000500006,0.7,1.7193300000500003,0.6,6.0,True,True,True,True,True,True,True,AUZP4FPD6UTNU
