,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
0,4,0.0,flower1.jpg,,,,12.0,right,0.0,1.9795,0.0,flower1.jpg,flower1_pair.jpg,left,A136K4YZY2OFTV
1,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.7516,1.0,flower2_pair.jpg,flower2.jpg,right,A136K4YZY2OFTV
2,6,2.0,left.jpg,left,0.5551,left,14.0,left,1.0,1.2935,2.0,flower3.jpg,flower3_pair.jpg,left,A136K4YZY2OFTV
3,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.459,3.0,flower4.jpg,flower4_pair.jpg,left,A136K4YZY2OFTV
4,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.5762,4.0,flower5_pair.jpg,flower5.jpg,right,A136K4YZY2OFTV
5,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.9971,5.0,flower6.jpg,flower6_pair.jpg,left,A136K4YZY2OFTV
6,10,6.0,flower6.jpg,,,,,,,,,,,,A136K4YZY2OFTV
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,10.9798,0.0,flower1.jpg,flower1_pair.jpg,left,A1FDK83WDHKO9S
8,5,1.0,flower2.jpg,,,,13.0,left,0.0,7.3092,1.0,flower2_pair.jpg,flower2.jpg,right,A1FDK83WDHKO9S
9,6,2.0,left.jpg,left,1.6842,left,14.0,right,0.0,2.0053,2.0,flower3.jpg,flower3_pair.jpg,left,A1FDK83WDHKO9S
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.3446,3.0,flower4.jpg,flower4_pair.jpg,left,A1FDK83WDHKO9S
11,8,4.0,flower4.jpg,,,,16.0,left,0.0,2.8243,4.0,flower5_pair.jpg,flower5.jpg,right,A1FDK83WDHKO9S
12,9,5.0,flower5.jpg,,,,17.0,right,0.0,3.1442,5.0,flower6.jpg,flower6_pair.jpg,left,A1FDK83WDHKO9S
13,10,6.0,flower6.jpg,,,,,,,,,,,,A1FDK83WDHKO9S
14,4,0.0,flower1.jpg,,,,12.0,left,1.0,9.8555,0.0,flower1.jpg,flower1_pair.jpg,left,A1FMVUYV72MUO3
15,5,1.0,flower2.jpg,,,,13.0,left,0.0,4.3865,1.0,flower2_pair.jpg,flower2.jpg,right,A1FMVUYV72MUO3
16,6,2.0,left.jpg,left,0.7591,left,14.0,left,1.0,3.7901,2.0,flower3.jpg,flower3_pair.jpg,left,A1FMVUYV72MUO3
17,7,3.0,flower3.jpg,,,,15.0,right,0.0,3.07,3.0,flower4.jpg,flower4_pair.jpg,left,A1FMVUYV72MUO3
18,8,4.0,flower4.jpg,,,,16.0,right,1.0,4.7601,4.0,flower5_pair.jpg,flower5.jpg,right,A1FMVUYV72MUO3
19,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.2776,5.0,flower6.jpg,flower6_pair.jpg,left,A1FMVUYV72MUO3
20,10,6.0,flower6.jpg,,,,,,,,,,,,A1FMVUYV72MUO3
21,4,0.0,flower1.jpg,,,,12.0,left,1.0,22.4418,0.0,flower1.jpg,flower1_pair.jpg,left,A1ILCIHMXPNTMT
22,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.1906,1.0,flower2_pair.jpg,flower2.jpg,right,A1ILCIHMXPNTMT
23,6,2.0,left.jpg,left,0.9044,left,14.0,right,0.0,1.1333,2.0,flower3.jpg,flower3_pair.jpg,left,A1ILCIHMXPNTMT
24,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.4118,3.0,flower4.jpg,flower4_pair.jpg,left,A1ILCIHMXPNTMT
25,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.5087,4.0,flower5_pair.jpg,flower5.jpg,right,A1ILCIHMXPNTMT
26,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.2581,5.0,flower6.jpg,flower6_pair.jpg,left,A1ILCIHMXPNTMT
27,10,6.0,flower6.jpg,,,,,,,,,,,,A1ILCIHMXPNTMT
28,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.768,0.0,flower1.jpg,flower1_pair.jpg,left,A2MV1R6YYOIO30
29,5,1.0,flower2.jpg,,,,13.0,right,1.0,1.803,1.0,flower2_pair.jpg,flower2.jpg,right,A2MV1R6YYOIO30
30,6,2.0,left.jpg,left,1.1574,left,14.0,left,1.0,2.0413,2.0,flower3.jpg,flower3_pair.jpg,left,A2MV1R6YYOIO30
31,7,3.0,flower3.jpg,,,,15.0,right,0.0,2.3027,3.0,flower4.jpg,flower4_pair.jpg,left,A2MV1R6YYOIO30
32,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.4973,4.0,flower5_pair.jpg,flower5.jpg,right,A2MV1R6YYOIO30
33,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.6332,5.0,flower6.jpg,flower6_pair.jpg,left,A2MV1R6YYOIO30
34,10,6.0,flower6.jpg,,,,,,,,,,,,A2MV1R6YYOIO30
35,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.802,0.0,flower1.jpg,flower1_pair.jpg,left,A2O70SKSNWL8LQ
36,5,1.0,flower2.jpg,,,,13.0,right,1.0,5.374,1.0,flower2_pair.jpg,flower2.jpg,right,A2O70SKSNWL8LQ
37,6,2.0,left.jpg,left,1.302,left,14.0,left,1.0,2.161,2.0,flower3.jpg,flower3_pair.jpg,left,A2O70SKSNWL8LQ
38,7,3.0,flower3.jpg,,,,15.0,left,1.0,3.229,3.0,flower4.jpg,flower4_pair.jpg,left,A2O70SKSNWL8LQ
39,8,4.0,flower4.jpg,,,,16.0,left,0.0,2.991,4.0,flower5_pair.jpg,flower5.jpg,right,A2O70SKSNWL8LQ
40,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.004,5.0,flower6.jpg,flower6_pair.jpg,left,A2O70SKSNWL8LQ
41,10,6.0,flower6.jpg,,,,,,,,,,,,A2O70SKSNWL8LQ
42,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.7609,0.0,flower1.jpg,flower1_pair.jpg,left,A2T5CROJ0FWIJY
