button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,key_resp_end_2.keys,key_resp_end_2.rt
1,[40.971999999999994],[40.9721000000001],A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,space,4.3013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,left,1,0,2,2,2,1,left.jpg,left,0.7878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,left,1,1.5557,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,right,1,1.4409,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,left,1,1.123,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,left,1,1.5163,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,right,1,1.0967,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,left,1,1.0987,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,space,1.9679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2238481198-19822.jpg,2901946436-293242.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,2901947423-70311.jpg,2238577590-185467.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,2446759347-347016.jpg,2901951350-218702.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,2898635428-69104.jpg,2898625336-291572.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,2898617468-68274.jpg,2964207374-144577.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,2460547467-349422.jpg,2898618440-216545.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,2460547508-51571.jpg,2460547291-274110.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,2592380177-354629.jpg,2512875587-350044.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,8,8,8,1,left.jpg,,,left,0.8598,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,2901952513-70703.jpg,2868469411-287540.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,10,1,2238560245-182099.jpg,2549106624-127823.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,11,11,1,2449441881-272368.jpg,2984615358-72439.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,12,12,12,1,2883268412-365898.jpg,2238436252-314037.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,13,13,1,2874302418-65979.jpg,2413147898-43548.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,14,14,14,1,2986451363-73599.jpg,2860302315-210704.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15,15,15,1,2452380832-348593.jpg,2238481813-19930.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,16,16,1,2964218374-144967.jpg,2883254439-140940.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17,17,17,1,2898635427-367120.jpg,2868479517-363220.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,18,18,18,1,2964223381-294447.jpg,2901941438-69836.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,19,19,19,1,2874302418-65978.jpg,2898626385-216899.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,20,20,1,2901941401-292798.jpg,2898618327-366317.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21,21,21,1,2452381505-199546.jpg,2901938432-367627.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,22,22,22,1,2874301407-363895.jpg,2901947323-70275.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,23,23,23,1,2883254439-140941.jpg,2981231446-294730.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,24,24,24,1,left.jpg,,,left,0.646,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,25,25,25,1,2868475410-213219.jpg,2868474407-362885.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,26,26,26,1,2901948350-218459.jpg,2417208001-267065.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,27,27,27,1,2901939379-143479.jpg,2446758985-197610.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28,28,28,1,2592379964-131054.jpg,2575963989-130576.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,29,29,29,1,2874307433-66280.jpg,2981246400-220365.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,30,30,30,1,2458347385-199723.jpg,2238480434-93829.jpg,1,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,31,31,31,1,right.jpg,,,right,0.5394,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,32,32,32,1,2449442529-124445.jpg,2898632385-217137.jpg,3,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,33,33,33,1,2981231403-71642.jpg,2981244403-72215.jpg,2,,,,,,,,,,,,,,,,
,,,A3QYA7EFCS7BA2,35,female,7,2022-10-19_09h04.54.524,memory_pilot_most_recent,2022.2.4,Win32,3.335145429,,,,,,,,,,,,,,,,,,,,,,,,,1,0,34,34,34,1,2449442529-124446.jpg,2446759803-49251.jpg,1,,,,,,,,,,,,,,,,
