demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,time_gap,worker_ID,batch_number
1.1815,1.0,0.8333333333333334,1.8172666666666668,1.5177,1.87718,1.0373199999999998,1.0,0.7,1.876377966101695,1.7635999999999998,2.1516690476190474,1.8465578947368424,0.85,1.623545,0.7,2.15754,0.55,4.0,pilot_24_hours,A15B4KZ3S04HS8,2
0.7157,1.0,0.8333333333333334,2.46855,2.6689,2.42848,0.5483,1.0,0.7333333333333333,2.8669933333333337,3.2954937500000003,2.7111750000000003,3.093245,0.65,2.8943450000000004,0.75,2.61339,0.8,4.0,pilot_24_hours,A1LA6CIGBNDOH9,2
0.5451,1.0,1.0,2.272116666666667,,2.272116666666667,0.6924599999999999,1.0,0.5833333333333334,3.183175,3.104924,3.239068571428572,3.3727400000000003,0.75,3.22052,0.45,2.956265,0.55,3.0,pilot_24_hours,A22HIX1M4QXZBB,2
0.5634,1.0,0.8333333333333334,1.7182333333333333,1.1813,1.82562,0.53968,1.0,0.6833333333333333,3.492061666666666,3.9444631578947367,3.282412195121952,3.84259,0.7,3.10209,0.6,3.531505,0.75,4.0,pilot_24_hours,A248QG4DPULP46,2
2.226,1.0,0.6666666666666666,3.350233333333333,2.205,3.92285,1.296075,0.8,0.7333333333333333,2.486233333333333,2.57861875,2.4526386363636363,2.50274,0.65,2.61658,0.7,2.33938,0.85,7.0,pilot_24_hours,A2J1DNVMJ56JG1,2
1.083,1.0,0.6666666666666666,2.974833333333333,4.3045,2.31,1.2064,1.0,0.6166666666666667,1.6603333333333334,1.654304347826087,1.664081081081081,1.6223500000000002,0.75,1.68695,0.45,1.6717,0.65,3.0,pilot_24_hours,A2J57IBR2XIWLS,2
0.8462,1.0,1.0,1.4143833333333335,,1.414383333333333,0.61976,1.0,0.6333333333333333,1.9887666666666663,2.128290909090909,1.907989473684211,1.967465,0.7,2.06996,0.6,1.928875,0.6,5.0,pilot_24_hours,A3MIDLO5S7FU06,2
1.2072,1.0,1.0,1.7601333335,,1.7601333335,1.0200200004000002,1.0,0.8333333333333334,1.859095,1.9628500003,1.83834399994,2.11878000005,0.95,1.65218999985,0.9,1.8063150001,0.65,5.0,pilot_24_hours,A3U0GQGAPN2DAV,2
0.6346,1.0,0.8333333333333334,2.05105,2.5105,1.95916,0.50546,1.0,0.7,1.3408833333333332,1.234611111111111,1.3864285714285711,1.654905,0.7,1.13924,0.8,1.228505,0.6,3.0,pilot_24_hours,A5P12YJP805RG,2
1.182,1.0,0.6666666666666666,3.093833333333333,3.603,2.83925,1.6408,1.0,0.6166666666666667,3.0171525423728807,3.0188260869565213,3.2557297297297296,3.155473684210526,0.65,2.91175,0.8,2.99115,0.4,4.0,pilot_24_hours,ASNNAP90D5R1Z,2
0.9871,1.0,1.0,2.1859333333333333,,2.1859333333333333,1.37952,1.0,0.6333333333333333,2.649913333333333,2.9843772727272726,2.4562763157894736,2.447855,0.75,2.726375,0.5,2.77551,0.65,4.0,pilot_24_hours,A1LCUPRZ0I8S3I,3
0.5116,1.0,1.0,2.427583333333333,,2.427583333333333,0.6756200000000001,1.0,0.6833333333333333,2.343952542372881,2.3649947368421054,4.215473170731708,2.133665,0.75,2.373321052631579,0.7,2.5263400000000003,0.6,4.0,pilot_24_hours,A1OOCYEFLAJD98,3
1.1286,1.0,0.8333333333333334,5.252666666666666,3.3118,5.64084,1.3084,1.0,0.6833333333333333,2.785461016949153,2.953126315789474,3.233670731707317,2.93216,0.75,3.16509,0.6,2.2314315789473684,0.7,3.0,pilot_24_hours,A1U0FDPQ953KXX,3
0.6394,1.0,0.6666666666666666,2.2396833333333337,2.5745,2.072275,0.52266,1.0,0.7833333333333333,2.4283183333333325,2.267330769230769,2.472846808510638,2.452395,0.7,2.254125,0.85,2.578435,0.8,7.0,pilot_24_hours,AK4WAT44YKU7J,3
0.973,1.0,0.8333333333333334,1.663333333333333,1.395,1.717,1.0372,1.0,0.5833333333333334,2.287683333333333,2.4398,2.179028571428572,2.1484,0.75,2.40965,0.55,2.305,0.45,3.0,pilot_24_hours,AMEBLCWTZKLS2,3
1.3853,1.0,0.8333333333333334,2.3896833333333336,2.1828,2.43106,1.27288,1.0,0.65,2.547673333333333,2.4307,2.6106589743589743,2.755065,0.8,2.3737850000000003,0.65,2.51417,0.5,5.0,pilot_24_hours,ATA61WNUAP91U,3
0.935,1.0,0.6666666666666666,2.6620500003333336,3.4689000000000005,2.2586250005,0.7199200001999999,1.0,0.65,2.47011999995,2.323009523857143,2.549333333230769,2.2412300001,0.75,2.6823049999,0.55,2.48682499985,0.65,3.0,pilot_one_week,A1YZ0ETOCJO1B2,1
1.2685,1.0,1.0,2.64995,,2.64995,1.3142,0.8,0.6166666666666667,2.6442,2.9114,2.8387783783783784,2.44548,0.85,2.915995,0.5,2.567278947368421,0.5,4.0,pilot_one_week,A21YNTPZSVT4QX,1
0.7911,1.0,0.8333333333333334,1.8726833333333333,2.5943,1.72836,0.5437799999999999,1.0,0.65,1.5695183333333331,1.5748380952380954,1.5666538461538462,1.505185,0.8,1.596475,0.55,1.6068950000000002,0.6,7.0,pilot_one_week,A2LKGF193ZR5JP,1
0.381,1.0,0.6666666666666666,1.8317166666666669,1.6407,1.927225,0.38716,1.0,0.6666666666666666,1.5178316666666667,1.49233,1.5305825,1.498845,0.6,1.57153,0.55,1.48312,0.85,4.0,pilot_one_week,A2M3FPQF852HW4,1
0.802,1.0,0.8333333333333334,2.798216666666667,5.4533,2.2672,0.68916,1.0,0.6666666666666666,3.082418333333334,3.126085,3.060585,3.139105,0.7,2.875395,0.7,3.232755,0.6,5.0,pilot_one_week,A2NT3OQZUUZPEO,1
0.8935,1.0,0.6666666666666666,1.791966666666667,1.8398,1.76805,0.5795600000000001,1.0,0.6666666666666666,1.829525,1.769255,1.85966,1.70729,0.7,1.55355,0.6,2.227735,0.7,3.0,pilot_one_week,A2OZN198ZV1VKK,1
