,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,subject
0,4,0.0,flower1.jpg,,,,12.0,right,0.0,3.546400002,0.0,flower1.jpg,flower1_pair.jpg,left,A10AKR84P1WXHL
1,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.4324,1.0,flower2_pair.jpg,flower2.jpg,right,A10AKR84P1WXHL
2,6,2.0,left.jpg,left,2.7489,left,14.0,right,0.0,1.505,2.0,flower3.jpg,flower3_pair.jpg,left,A10AKR84P1WXHL
3,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.1259,3.0,flower4.jpg,flower4_pair.jpg,left,A10AKR84P1WXHL
4,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.2276,4.0,flower5_pair.jpg,flower5.jpg,right,A10AKR84P1WXHL
5,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.1264,5.0,flower6.jpg,flower6_pair.jpg,left,A10AKR84P1WXHL
6,10,6.0,flower6.jpg,,,,,,,,,,,,A10AKR84P1WXHL
7,4,0.0,flower1.jpg,,,,12.0,left,1.0,1.5194,0.0,flower1.jpg,flower1_pair.jpg,left,A14OQ52EFQAN2W
8,5,1.0,flower2.jpg,,,,13.0,left,0.0,1.3293,1.0,flower2_pair.jpg,flower2.jpg,right,A14OQ52EFQAN2W
9,6,2.0,left.jpg,left,0.5228,left,14.0,left,1.0,1.3018,2.0,flower3.jpg,flower3_pair.jpg,left,A14OQ52EFQAN2W
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.2079,3.0,flower4.jpg,flower4_pair.jpg,left,A14OQ52EFQAN2W
11,8,4.0,flower4.jpg,,,,16.0,left,0.0,1.1679,4.0,flower5_pair.jpg,flower5.jpg,right,A14OQ52EFQAN2W
12,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.0059,5.0,flower6.jpg,flower6_pair.jpg,left,A14OQ52EFQAN2W
13,10,6.0,flower6.jpg,,,,,,,,,,,,A14OQ52EFQAN2W
14,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.277,0.0,flower1.jpg,flower1_pair.jpg,left,A15V2JYNSMUREO
15,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.293,1.0,flower2_pair.jpg,flower2.jpg,right,A15V2JYNSMUREO
16,6,2.0,left.jpg,left,1.055,left,14.0,left,1.0,1.474,2.0,flower3.jpg,flower3_pair.jpg,left,A15V2JYNSMUREO
17,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.123,3.0,flower4.jpg,flower4_pair.jpg,left,A15V2JYNSMUREO
18,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.176,4.0,flower5_pair.jpg,flower5.jpg,right,A15V2JYNSMUREO
19,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.669,5.0,flower6.jpg,flower6_pair.jpg,left,A15V2JYNSMUREO
20,10,6.0,flower6.jpg,,,,,,,,,,,,A15V2JYNSMUREO
21,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.542,0.0,flower1.jpg,flower1_pair.jpg,left,A1BM11Y4W27OUR
22,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.667,1.0,flower2_pair.jpg,flower2.jpg,right,A1BM11Y4W27OUR
23,6,2.0,left.jpg,left,0.959,left,14.0,left,1.0,2.836,2.0,flower3.jpg,flower3_pair.jpg,left,A1BM11Y4W27OUR
24,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.208,3.0,flower4.jpg,flower4_pair.jpg,left,A1BM11Y4W27OUR
25,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.395,4.0,flower5_pair.jpg,flower5.jpg,right,A1BM11Y4W27OUR
26,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.587,5.0,flower6.jpg,flower6_pair.jpg,left,A1BM11Y4W27OUR
27,10,6.0,flower6.jpg,,,,,,,,,,,,A1BM11Y4W27OUR
28,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.453,0.0,flower1.jpg,flower1_pair.jpg,left,A1C3IJCMZ66VD2
29,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.973,1.0,flower2_pair.jpg,flower2.jpg,right,A1C3IJCMZ66VD2
30,6,2.0,left.jpg,left,1.553,left,14.0,left,1.0,2.605,2.0,flower3.jpg,flower3_pair.jpg,left,A1C3IJCMZ66VD2
31,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.241,3.0,flower4.jpg,flower4_pair.jpg,left,A1C3IJCMZ66VD2
32,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.877,4.0,flower5_pair.jpg,flower5.jpg,right,A1C3IJCMZ66VD2
33,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.994,5.0,flower6.jpg,flower6_pair.jpg,left,A1C3IJCMZ66VD2
34,10,6.0,flower6.jpg,,,,,,,,,,,,A1C3IJCMZ66VD2
35,4,0.0,flower1.jpg,,,,12.0,left,1.0,7.1601,0.0,flower1.jpg,flower1_pair.jpg,left,A1C4TOGS0NS8K9
36,5,1.0,flower2.jpg,,,,13.0,right,1.0,3.182599998,1.0,flower2_pair.jpg,flower2.jpg,right,A1C4TOGS0NS8K9
37,6,2.0,left.jpg,left,1.649200001,left,14.0,left,1.0,2.3505,2.0,flower3.jpg,flower3_pair.jpg,left,A1C4TOGS0NS8K9
38,7,3.0,flower3.jpg,,,,15.0,left,1.0,2.124199999,3.0,flower4.jpg,flower4_pair.jpg,left,A1C4TOGS0NS8K9
39,8,4.0,flower4.jpg,,,,16.0,right,1.0,1.9731,4.0,flower5_pair.jpg,flower5.jpg,right,A1C4TOGS0NS8K9
40,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.899700001,5.0,flower6.jpg,flower6_pair.jpg,left,A1C4TOGS0NS8K9
41,10,6.0,flower6.jpg,,,,,,,,,,,,A1C4TOGS0NS8K9
42,4,0.0,flower1.jpg,,,,12.0,left,1.0,3.9021,0.0,flower1.jpg,flower1_pair.jpg,left,A1FJGB5JLZ81XB
43,5,1.0,flower2.jpg,,,,13.0,right,1.0,5.4149,1.0,flower2_pair.jpg,flower2.jpg,right,A1FJGB5JLZ81XB
44,6,2.0,left.jpg,left,1.8979,left,14.0,left,1.0,2.0315,2.0,flower3.jpg,flower3_pair.jpg,left,A1FJGB5JLZ81XB
45,7,3.0,flower3.jpg,,,,15.0,right,0.0,1.4572,3.0,flower4.jpg,flower4_pair.jpg,left,A1FJGB5JLZ81XB
46,8,4.0,flower4.jpg,,,,16.0,right,1.0,3.3666,4.0,flower5_pair.jpg,flower5.jpg,right,A1FJGB5JLZ81XB
47,9,5.0,flower5.jpg,,,,17.0,right,0.0,1.5089,5.0,flower6.jpg,flower6_pair.jpg,left,A1FJGB5JLZ81XB
48,10,6.0,flower6.jpg,,,,,,,,,,,,A1FJGB5JLZ81XB
49,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.615,0.0,flower1.jpg,flower1_pair.jpg,left,A1O7XFRTZ46PN5
50,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.635,1.0,flower2_pair.jpg,flower2.jpg,right,A1O7XFRTZ46PN5
51,6,2.0,left.jpg,left,1.565,left,14.0,left,1.0,1.697,2.0,flower3.jpg,flower3_pair.jpg,left,A1O7XFRTZ46PN5
52,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.98,3.0,flower4.jpg,flower4_pair.jpg,left,A1O7XFRTZ46PN5
53,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.602,4.0,flower5_pair.jpg,flower5.jpg,right,A1O7XFRTZ46PN5
54,9,5.0,flower5.jpg,,,,17.0,left,1.0,2.747,5.0,flower6.jpg,flower6_pair.jpg,left,A1O7XFRTZ46PN5
55,10,6.0,flower6.jpg,,,,,,,,,,,,A1O7XFRTZ46PN5
56,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.295,0.0,flower1.jpg,flower1_pair.jpg,left,A1OK06ZUFSY1C
57,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.62,1.0,flower2_pair.jpg,flower2.jpg,right,A1OK06ZUFSY1C
58,6,2.0,left.jpg,left,1.107,left,14.0,left,1.0,2.501,2.0,flower3.jpg,flower3_pair.jpg,left,A1OK06ZUFSY1C
