,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,2575964140-205050.jpg,2446760226-272005.jpg,3.0,,,,A10AKR84P1WXHL
1,21,,1.0,1.0,2238584869-113153.jpg,2981241419-145844.jpg,2.0,,,,A10AKR84P1WXHL
2,22,,1.0,2.0,2901939379-143479.jpg,2449443292-348022.jpg,2.0,,,,A10AKR84P1WXHL
3,23,,1.0,3.0,2452380166-273109.jpg,2238380901-236499.jpg,3.0,,,,A10AKR84P1WXHL
4,24,,1.0,4.0,2331570830-189984.jpg,2458348012-349114.jpg,3.0,,,,A10AKR84P1WXHL
5,25,,1.0,5.0,2898635427-367120.jpg,2901936309-143207.jpg,3.0,,,,A10AKR84P1WXHL
6,26,right,1.0,6.0,right.jpg,,,right,0.8689,,A10AKR84P1WXHL
7,27,,1.0,7.0,2964216465-219242.jpg,2512875796-274856.jpg,2.0,,,,A10AKR84P1WXHL
8,28,,1.0,8.0,2592380138-56727.jpg,2986419351-296471.jpg,1.0,,,,A10AKR84P1WXHL
9,29,,1.0,9.0,2238375302-311538.jpg,2592380255-205552.jpg,1.0,,,,A10AKR84P1WXHL
10,30,,1.0,10.0,2238429999-90218.jpg,2986448334-147157.jpg,1.0,,,,A10AKR84P1WXHL
11,31,,1.0,11.0,2274829821-263682.jpg,2862687442-360837.jpg,3.0,,,,A10AKR84P1WXHL
12,32,,1.0,12.0,2864906345-212360.jpg,2986397365-221133.jpg,1.0,,,,A10AKR84P1WXHL
13,33,,1.0,13.0,2446759803-49249.jpg,2238498786-244797.jpg,3.0,,,,A10AKR84P1WXHL
14,34,,1.0,14.0,2579432576-279079.jpg,2458348144-125787.jpg,3.0,,,,A10AKR84P1WXHL
15,35,,1.0,15.0,2238496457-319749.jpg,2238570142-333223.jpg,1.0,,,,A10AKR84P1WXHL
16,36,,1.0,16.0,2901938432-367627.jpg,2579432708-56394.jpg,1.0,,,,A10AKR84P1WXHL
17,37,,1.0,17.0,2238575092-334269.jpg,2592380285-205564.jpg,1.0,,,,A10AKR84P1WXHL
18,38,,1.0,18.0,2238129579-80916.jpg,2460547477-349426.jpg,1.0,,,,A10AKR84P1WXHL
19,39,,1.0,19.0,2238471391-240918.jpg,2868470400-212889.jpg,1.0,,,,A10AKR84P1WXHL
20,40,,1.0,20.0,2964224310-219527.jpg,2964213441-294073.jpg,2.0,,,,A10AKR84P1WXHL
21,41,,1.0,21.0,2883255450-215309.jpg,2238562336-256366.jpg,3.0,,,,A10AKR84P1WXHL
22,42,,1.0,22.0,2868485396-288511.jpg,2238380314-88261.jpg,3.0,,,,A10AKR84P1WXHL
23,43,,1.0,23.0,2238584018-38513.jpg,2898633321-291943.jpg,2.0,,,,A10AKR84P1WXHL
24,44,left,0.0,24.0,right.jpg,,,right,0.6106,,A10AKR84P1WXHL
25,45,,1.0,25.0,2883272438-68133.jpg,2901936369-143233.jpg,2.0,,,,A10AKR84P1WXHL
26,46,,1.0,26.0,2883254439-140940.jpg,2812983311-281946.jpg,3.0,,,,A10AKR84P1WXHL
27,47,left,1.0,27.0,left.jpg,,,left,1.127200001,,A10AKR84P1WXHL
28,48,,1.0,28.0,2446758985-197609.jpg,2984618344-146295.jpg,3.0,,,,A10AKR84P1WXHL
29,49,,1.0,29.0,2446760940-198145.jpg,2592380188-56743.jpg,2.0,,,,A10AKR84P1WXHL
30,50,,1.0,30.0,2986408352-371293.jpg,2446759580-197801.jpg,2.0,,,,A10AKR84P1WXHL
31,51,,1.0,31.0,2238499155-170911.jpg,2452380832-348593.jpg,2.0,,,,A10AKR84P1WXHL
32,52,,1.0,32.0,2449442529-124446.jpg,2238481610-168214.jpg,1.0,,,,A10AKR84P1WXHL
33,53,,1.0,33.0,2964218374-144968.jpg,2238411877-313125.jpg,1.0,,,,A10AKR84P1WXHL
34,54,,1.0,34.0,2898626385-216899.jpg,2449442365-198476.jpg,2.0,,,,A10AKR84P1WXHL
35,55,,1.0,35.0,2883254439-140941.jpg,2237965109-79314.jpg,2.0,,,,A10AKR84P1WXHL
36,56,,1.0,36.0,2862691449-137104.jpg,2986455341-296758.jpg,2.0,,,,A10AKR84P1WXHL
37,57,right,1.0,37.0,right.jpg,,,right,0.179700001,,A10AKR84P1WXHL
38,58,,1.0,38.0,2238126735-154721.jpg,2575122854-130480.jpg,2.0,,,,A10AKR84P1WXHL
39,59,,1.0,39.0,2964213381-294060.jpg,2238520921-248323.jpg,2.0,,,,A10AKR84P1WXHL
40,60,,1.0,40.0,2898617468-68274.jpg,2238585512-336576.jpg,2.0,,,,A10AKR84P1WXHL
41,61,,1.0,41.0,2898624426-291546.jpg,2986402377-371266.jpg,1.0,,,,A10AKR84P1WXHL
42,62,,1.0,42.0,2981231446-294731.jpg,2238568685-183597.jpg,2.0,,,,A10AKR84P1WXHL
43,63,,1.0,43.0,2446760524-123999.jpg,2446760621-272102.jpg,1.0,,,,A10AKR84P1WXHL
44,64,,1.0,44.0,2898632385-217138.jpg,2575120738-55529.jpg,1.0,,,,A10AKR84P1WXHL
45,65,,1.0,45.0,2238521193-26286.jpg,2825712309-134957.jpg,1.0,,,,A10AKR84P1WXHL
46,66,,1.0,46.0,2238550049-105691.jpg,2964219468-71238.jpg,3.0,,,,A10AKR84P1WXHL
47,67,,1.0,47.0,2901934573-69337.jpg,2901936407-367476.jpg,3.0,,,,A10AKR84P1WXHL
48,68,,1.0,48.0,2883255450-215311.jpg,2238481575-168208.jpg,1.0,,,,A10AKR84P1WXHL
