,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,2964218374-144968.jpg,2238521157-323782.jpg,2.0,,,,A10A7EZUXBD0II
1,21,,1.0,1.0,2986400320-221190.jpg,2238470979-92615.jpg,2.0,,,,A10A7EZUXBD0II
2,22,,1.0,2.0,2981231446-294731.jpg,2986450330-221526.jpg,1.0,,,,A10A7EZUXBD0II
3,23,,1.0,3.0,2238429999-90218.jpg,2901951459-144433.jpg,2.0,,,,A10A7EZUXBD0II
4,24,,1.0,4.0,2901934573-69337.jpg,2986401333-73218.jpg,1.0,,,,A10A7EZUXBD0II
5,25,,1.0,5.0,2898632385-217138.jpg,2460547992-349586.jpg,3.0,,,,A10A7EZUXBD0II
6,26,,1.0,6.0,2512876023-52283.jpg,2238576267-334532.jpg,3.0,,,,A10A7EZUXBD0II
7,27,,1.0,7.0,2864906345-212360.jpg,2994403305-222559.jpg,3.0,,,,A10A7EZUXBD0II
8,28,,1.0,8.0,2898633480-217190.jpg,2446760147-347245.jpg,1.0,,,,A10A7EZUXBD0II
9,29,,1.0,9.0,2862691449-137104.jpg,2238540598-30035.jpg,1.0,,,,A10A7EZUXBD0II
10,30,,1.0,10.0,2452380166-273109.jpg,2592379781-279345.jpg,2.0,,,,A10A7EZUXBD0II
11,31,,1.0,11.0,2238550049-105691.jpg,2238482972-317759.jpg,1.0,,,,A10A7EZUXBD0II
12,32,,1.0,12.0,2575964140-205050.jpg,2238482920-168428.jpg,1.0,,,,A10A7EZUXBD0II
13,33,left,1.0,13.0,left.jpg,,,left,1.8576,,A10A7EZUXBD0II
14,34,,1.0,14.0,2238584018-38513.jpg,2452381442-348755.jpg,3.0,,,,A10A7EZUXBD0II
15,35,,1.0,15.0,2964213381-294061.jpg,2981234334-145491.jpg,2.0,,,,A10A7EZUXBD0II
16,36,,1.0,16.0,2868485396-288511.jpg,2868472420-213024.jpg,2.0,,,,A10A7EZUXBD0II
17,37,,1.0,17.0,2964209380-218956.jpg,2898617396-291219.jpg,3.0,,,,A10A7EZUXBD0II
18,38,,1.0,18.0,2238471391-240918.jpg,2868470400-212889.jpg,1.0,,,,A10A7EZUXBD0II
19,39,,1.0,19.0,2898624426-291546.jpg,2864902304-137862.jpg,3.0,,,,A10A7EZUXBD0II
20,40,,1.0,20.0,2883272438-68133.jpg,2592380136-279476.jpg,3.0,,,,A10A7EZUXBD0II
21,41,,1.0,21.0,2898632385-217137.jpg,2238480803-19739.jpg,2.0,,,,A10A7EZUXBD0II
22,42,,1.0,22.0,2274829821-263682.jpg,2238570526-257884.jpg,1.0,,,,A10A7EZUXBD0II
23,43,,1.0,23.0,2331570830-189984.jpg,2449442529-124445.jpg,2.0,,,,A10A7EZUXBD0II
24,44,right,1.0,24.0,right.jpg,,,right,1.4208,,A10A7EZUXBD0II
25,45,,1.0,25.0,2964216465-219242.jpg,2592380049-131079.jpg,1.0,,,,A10A7EZUXBD0II
26,46,,1.0,26.0,2446760940-198145.jpg,2592380188-56743.jpg,2.0,,,,A10A7EZUXBD0II
27,47,,1.0,27.0,2238375302-311538.jpg,2592380255-205552.jpg,1.0,,,,A10A7EZUXBD0II
28,48,,1.0,28.0,2898617468-68274.jpg,2512875899-126682.jpg,1.0,,,,A10A7EZUXBD0II
29,49,right,1.0,29.0,right.jpg,,,right,1.3646,,A10A7EZUXBD0II
30,50,,1.0,30.0,2964213381-294060.jpg,2989724308-73930.jpg,3.0,,,,A10A7EZUXBD0II
31,51,,1.0,31.0,2238584869-113153.jpg,2986455373-73646.jpg,3.0,,,,A10A7EZUXBD0II
32,52,,1.0,32.0,2460547467-349421.jpg,2238470079-92499.jpg,2.0,,,,A10A7EZUXBD0II
33,53,,1.0,33.0,2868475410-213219.jpg,2238436851-238821.jpg,3.0,,,,A10A7EZUXBD0II
34,54,,1.0,34.0,2449442529-124446.jpg,2864911339-138231.jpg,3.0,,,,A10A7EZUXBD0II
35,55,,1.0,35.0,2883255450-215311.jpg,2238481575-168208.jpg,1.0,,,,A10A7EZUXBD0II
36,56,,1.0,36.0,2986408352-371293.jpg,2868488422-363713.jpg,1.0,,,,A10A7EZUXBD0II
37,57,,1.0,37.0,2898635427-367120.jpg,2901936309-143207.jpg,3.0,,,,A10A7EZUXBD0II
38,58,left,1.0,38.0,left.jpg,,,left,1.3544,,A10A7EZUXBD0II
39,59,,1.0,39.0,2592380138-56727.jpg,2238537701-251772.jpg,3.0,,,,A10A7EZUXBD0II
40,60,,1.0,40.0,2238516618-25604.jpg,2862686459-136888.jpg,2.0,,,,A10A7EZUXBD0II
41,61,,1.0,41.0,2964224310-219527.jpg,2238490590-169598.jpg,3.0,,,,A10A7EZUXBD0II
42,62,,1.0,42.0,2238129579-80916.jpg,2898618444-142233.jpg,2.0,,,,A10A7EZUXBD0II
43,63,,1.0,43.0,2238480434-93829.jpg,2592380255-205551.jpg,2.0,,,,A10A7EZUXBD0II
44,64,,1.0,44.0,2883254439-140941.jpg,2417207511-266975.jpg,3.0,,,,A10A7EZUXBD0II
45,65,,1.0,45.0,2883255450-215309.jpg,2868476439-138927.jpg,2.0,,,,A10A7EZUXBD0II
46,66,,1.0,46.0,2238496457-319749.jpg,2238570142-333223.jpg,1.0,,,,A10A7EZUXBD0II
47,67,,1.0,47.0,2901939379-143479.jpg,2986450334-147215.jpg,1.0,,,,A10A7EZUXBD0II
48,68,left,1.0,48.0,left.jpg,,,left,1.2367,,A10A7EZUXBD0II
49,69,,1.0,49.0,2883254439-140940.jpg,2452380166-273110.jpg,1.0,,,,A10A7EZUXBD0II
50,70,,1.0,50.0,2994405328-74628.jpg,2825702353-60662.jpg,2.0,,,,A10A7EZUXBD0II
51,71,,1.0,51.0,2238561223-33794.jpg,2883271323-68049.jpg,3.0,,,,A10A7EZUXBD0II
52,72,,1.0,52.0,2901941426-292805.jpg,2238510189-98616.jpg,2.0,,,,A10A7EZUXBD0II
53,73,,1.0,53.0,2901938432-367627.jpg,2856919327-359675.jpg,2.0,,,,A10A7EZUXBD0II
54,74,,1.0,54.0,2864909447-362146.jpg,2238555799-106905.jpg,2.0,,,,A10A7EZUXBD0II
55,75,,1.0,55.0,2446758985-197609.jpg,2635396318-58409.jpg,2.0,,,,A10A7EZUXBD0II
56,76,,1.0,56.0,2238521193-26286.jpg,2446760306-272024.jpg,3.0,,,,A10A7EZUXBD0II
57,77,,1.0,57.0,2625337302-355866.jpg,2598726160-205998.jpg,3.0,,,,A10A7EZUXBD0II
58,78,,1.0,58.0,2238126735-154721.jpg,2856919327-359676.jpg,1.0,,,,A10A7EZUXBD0II
59,79,,1.0,59.0,2238575092-334269.jpg,2964218374-144967.jpg,3.0,,,,A10A7EZUXBD0II
