,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target_image,pair,layer,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,2238126735-154721.jpg,2856919327-359676.jpg,1.0,,,,A87D3K9YVKTQ7
1,21,,1.0,1.0,2868475410-213219.jpg,2238216693-10721.jpg,1.0,,,,A87D3K9YVKTQ7
2,22,,1.0,2.0,2898624426-291546.jpg,2986402377-371266.jpg,1.0,,,,A87D3K9YVKTQ7
3,23,,1.0,3.0,2238561223-33794.jpg,2883271323-68049.jpg,3.0,,,,A87D3K9YVKTQ7
4,24,,1.0,4.0,2994405328-74628.jpg,2825702353-60662.jpg,2.0,,,,A87D3K9YVKTQ7
5,25,,1.0,5.0,2575964140-205050.jpg,2446760226-272005.jpg,3.0,,,,A87D3K9YVKTQ7
6,26,,1.0,6.0,2964224310-219527.jpg,2238490590-169598.jpg,3.0,,,,A87D3K9YVKTQ7
7,27,,1.0,7.0,2883254439-140940.jpg,2575121890-204630.jpg,2.0,,,,A87D3K9YVKTQ7
8,28,,1.0,8.0,2238584018-38513.jpg,2452381442-348755.jpg,3.0,,,,A87D3K9YVKTQ7
9,29,,1.0,9.0,2238521193-26286.jpg,2825712309-134957.jpg,1.0,,,,A87D3K9YVKTQ7
10,30,,1.0,10.0,2901934573-69337.jpg,2986401333-73218.jpg,1.0,,,,A87D3K9YVKTQ7
11,31,,1.0,11.0,2964218374-144968.jpg,2238525773-27014.jpg,3.0,,,,A87D3K9YVKTQ7
12,32,,1.0,12.0,2898632385-217137.jpg,2238480803-19739.jpg,2.0,,,,A87D3K9YVKTQ7
13,33,left,1.0,13.0,left.jpg,,,left,0.5774,,A87D3K9YVKTQ7
14,34,,1.0,14.0,2238129579-80916.jpg,2460547477-349426.jpg,1.0,,,,A87D3K9YVKTQ7
15,35,,1.0,15.0,2274829821-263682.jpg,2238570526-257884.jpg,1.0,,,,A87D3K9YVKTQ7
16,36,right,1.0,16.0,right.jpg,,,right,0.5652,,A87D3K9YVKTQ7
17,37,,1.0,17.0,2446758985-197609.jpg,2898633421-291973.jpg,1.0,,,,A87D3K9YVKTQ7
18,38,,1.0,18.0,2898632385-217138.jpg,2460547992-349586.jpg,3.0,,,,A87D3K9YVKTQ7
19,39,,1.0,19.0,2981231446-294731.jpg,2238568685-183597.jpg,2.0,,,,A87D3K9YVKTQ7
20,40,,1.0,20.0,2964216465-219242.jpg,2512875796-274856.jpg,2.0,,,,A87D3K9YVKTQ7
21,41,,1.0,21.0,2238516618-25604.jpg,2238470979-92618.jpg,3.0,,,,A87D3K9YVKTQ7
22,42,,1.0,22.0,2901941426-292805.jpg,2868488422-363715.jpg,1.0,,,,A87D3K9YVKTQ7
23,43,,1.0,23.0,2238471391-240918.jpg,2986399339-146857.jpg,3.0,,,,A87D3K9YVKTQ7
24,44,,1.0,24.0,2862691449-137104.jpg,2986455341-296758.jpg,2.0,,,,A87D3K9YVKTQ7
25,45,,1.0,25.0,2238375302-311538.jpg,2460547508-51571.jpg,3.0,,,,A87D3K9YVKTQ7
26,46,,1.0,26.0,2446760524-123999.jpg,2238539138-29878.jpg,3.0,,,,A87D3K9YVKTQ7
27,47,,1.0,27.0,2592380138-56727.jpg,2430664847-345753.jpg,2.0,,,,A87D3K9YVKTQ7
28,48,,1.0,28.0,2579432576-279079.jpg,2446760226-272006.jpg,2.0,,,,A87D3K9YVKTQ7
29,49,,1.0,29.0,2238480434-93829.jpg,2592380255-205551.jpg,2.0,,,,A87D3K9YVKTQ7
30,50,,1.0,30.0,2452380166-273109.jpg,2452380171-273112.jpg,1.0,,,,A87D3K9YVKTQ7
31,51,,1.0,31.0,2625337302-355866.jpg,2238478760-167789.jpg,2.0,,,,A87D3K9YVKTQ7
32,52,,1.0,32.0,2238429999-90218.jpg,2986448334-147157.jpg,1.0,,,,A87D3K9YVKTQ7
33,53,,1.0,33.0,2883255450-215309.jpg,2238562336-256366.jpg,3.0,,,,A87D3K9YVKTQ7
34,54,right,1.0,34.0,right.jpg,,,right,0.4665,,A87D3K9YVKTQ7
35,55,,1.0,35.0,2883272438-68133.jpg,2592380136-279476.jpg,3.0,,,,A87D3K9YVKTQ7
36,56,,1.0,36.0,2986400320-221190.jpg,2238538133-29662.jpg,3.0,,,,A87D3K9YVKTQ7
37,57,,1.0,37.0,2883254439-140941.jpg,2989724308-73928.jpg,1.0,,,,A87D3K9YVKTQ7
38,58,right,1.0,38.0,right.jpg,,,right,0.7315,,A87D3K9YVKTQ7
39,59,,1.0,39.0,2883255450-215311.jpg,2575964014-130589.jpg,3.0,,,,A87D3K9YVKTQ7
40,60,,1.0,40.0,2864909447-362146.jpg,2238555799-106905.jpg,2.0,,,,A87D3K9YVKTQ7
41,61,,1.0,41.0,2238575092-334269.jpg,2860304305-210777.jpg,2.0,,,,A87D3K9YVKTQ7
42,62,,1.0,42.0,2898626385-216899.jpg,2449442365-198476.jpg,2.0,,,,A87D3K9YVKTQ7
43,63,,1.0,43.0,2964213381-294060.jpg,2238520921-248323.jpg,2.0,,,,A87D3K9YVKTQ7
44,64,,1.0,44.0,2238584869-113153.jpg,2986455373-73646.jpg,3.0,,,,A87D3K9YVKTQ7
45,65,,1.0,45.0,2460547467-349421.jpg,2238554179-106663.jpg,3.0,,,,A87D3K9YVKTQ7
46,66,,1.0,46.0,2238499155-170911.jpg,2452380832-348593.jpg,2.0,,,,A87D3K9YVKTQ7
47,67,,1.0,47.0,2512876023-52283.jpg,2864908323-64106.jpg,1.0,,,,A87D3K9YVKTQ7
48,68,,1.0,48.0,2446759803-49249.jpg,2238468265-166556.jpg,2.0,,,,A87D3K9YVKTQ7
49,69,right,1.0,49.0,right.jpg,,,right,0.4623,,A87D3K9YVKTQ7
50,70,,1.0,50.0,2964209380-218956.jpg,2868488456-288710.jpg,1.0,,,,A87D3K9YVKTQ7
51,71,,1.0,51.0,2238550049-105691.jpg,2449443271-272729.jpg,2.0,,,,A87D3K9YVKTQ7
52,72,,1.0,52.0,2898635427-367120.jpg,2901936309-143207.jpg,3.0,,,,A87D3K9YVKTQ7
