,index,demo_encoding_loop.thisTrialN,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_encoding_response.keys,index,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_test_loop.thisTrialN,DemoImage1,DemoImage2,DemoCorrectTest,demo_bar_2.response,subject
0,4,0.0,flower1.jpg,,,,12.0,left,1.0,2.031,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A2NAKIXS3DVGAA
1,5,1.0,flower2.jpg,,,,13.0,right,1.0,4.592,1.0,flower2_pair.jpg,flower2.jpg,right,8.0,A2NAKIXS3DVGAA
2,6,2.0,left.jpg,left,0.893,left,14.0,left,1.0,1.201,2.0,flower3.jpg,flower3_pair.jpg,left,7.0,A2NAKIXS3DVGAA
3,7,3.0,flower3.jpg,,,,15.0,left,1.0,1.68,3.0,flower4.jpg,flower4_pair.jpg,left,8.0,A2NAKIXS3DVGAA
4,8,4.0,flower4.jpg,,,,16.0,right,1.0,2.112,4.0,flower5_pair.jpg,flower5.jpg,right,8.0,A2NAKIXS3DVGAA
5,9,5.0,flower5.jpg,,,,17.0,left,1.0,1.854,5.0,flower6.jpg,flower6_pair.jpg,left,7.0,A2NAKIXS3DVGAA
6,10,6.0,flower6.jpg,,,,,,,,,,,,,A2NAKIXS3DVGAA
7,4,0.0,flower1.jpg,,,,12.0,right,0.0,2.0975,0.0,flower1.jpg,flower1_pair.jpg,left,8.0,A27KTNOX292J1I
8,5,1.0,flower2.jpg,,,,13.0,right,1.0,2.297199999,1.0,flower2_pair.jpg,flower2.jpg,right,8.0,A27KTNOX292J1I
9,6,2.0,left.jpg,left,2.0955,left,14.0,right,0.0,1.7516,2.0,flower3.jpg,flower3_pair.jpg,left,2.0,A27KTNOX292J1I
10,7,3.0,flower3.jpg,,,,15.0,right,0.0,4.697800001,3.0,flower4.jpg,flower4_pair.jpg,left,4.0,A27KTNOX292J1I
11,8,4.0,flower4.jpg,,,,16.0,left,0.0,2.5219,4.0,flower5_pair.jpg,flower5.jpg,right,3.0,A27KTNOX292J1I
