,workID,Age,Gender,subject
0,A2CZ5PS567SA10,45,male,A2CZ5PS567SA10
1,A3AU8PZ6HHBCVT,32,Male,A3AU8PZ6HHBCVT
2,A2STRYBSFU7KCY,37,Female,A2STRYBSFU7KCY
3,A1969Q0R4Y0E3J,25,Female,A1969Q0R4Y0E3J
4,AF6DVGK1GTFER,35,male,AF6DVGK1GTFER
5,AC01SVLHOB6HN,30,female,AC01SVLHOB6HN
6,AW07POT8ABE05,25,female,AW07POT8ABE05
7,A1VJ4ZOXP9PUCP,33,female,A1VJ4ZOXP9PUCP
8,A2UWEAIX8UZXAQ,54,Female,A2UWEAIX8UZXAQ
9,A32X8WXMIV4KE8,54,Male,A32X8WXMIV4KE8
10,AJT7C07A187KA,35,female,AJT7C07A187KA
11,A237PUN7791D62,68,Male,A237PUN7791D62
12,A3SMMI1Z1558QE,35,male,A3SMMI1Z1558QE
13,A3LBMZYPY37NRW,36,male,A3LBMZYPY37NRW
14,A2TQ9IHDHCSQC8,33,Male,A2TQ9IHDHCSQC8
15,A3ATB5GC4BQIH0,30,Male,A3ATB5GC4BQIH0
16,A20ZFQ93DF0WA,25,MALE,A20ZFQ93DF0WA
17,A3D8YUG5D5I4ER,29,Male,A3D8YUG5D5I4ER
18,A3RK5N4X7J4JGK,39,Male,A3RK5N4X7J4JGK
19,A105M4JOZSR7E6,27,female,A105M4JOZSR7E6
20,A25PFSORDO3SWQ,35,male,A25PFSORDO3SWQ
21,A2P9XYDUCQBXWD,25,Female,A2P9XYDUCQBXWD
22,A151XA53WYXVD7,43,Male,A151XA53WYXVD7
23,A39XW0561NNM5C,27,Female,A39XW0561NNM5C
24,A2541C8MY0BYV3,35,Male,A2541C8MY0BYV3
