,index,test_encoding_response.keys,test_encoding_response.corr,trials.thisTrialN,target,correct,test_encoding_response.rt,key_resp_end.keys,subject
0,20,,1.0,0.0,badlands_70.jpg,,,,A105M4JOZSR7E6
1,21,,1.0,1.0,highway_394.jpg,,,,A105M4JOZSR7E6
2,22,,1.0,2.0,bridge_191.jpg,,,,A105M4JOZSR7E6
3,23,,1.0,3.0,bridge_250.jpg,,,,A105M4JOZSR7E6
4,24,,1.0,4.0,bridge_256.jpg,,,,A105M4JOZSR7E6
5,25,,1.0,5.0,bridge_146.jpg,,,,A105M4JOZSR7E6
6,26,,0.0,6.0,right.jpg,right,,,A105M4JOZSR7E6
7,27,,1.0,7.0,golf_course_87.jpg,,,,A105M4JOZSR7E6
8,28,,1.0,8.0,highway_177.jpg,,,,A105M4JOZSR7E6
9,29,,1.0,9.0,playground_144.jpg,,,,A105M4JOZSR7E6
10,30,,1.0,10.0,badlands_184.jpg,,,,A105M4JOZSR7E6
11,31,,1.0,11.0,highway_415.jpg,,,,A105M4JOZSR7E6
12,32,,1.0,12.0,playground_145.jpg,,,,A105M4JOZSR7E6
13,33,,1.0,13.0,badlands_52.jpg,,,,A105M4JOZSR7E6
14,34,,1.0,14.0,badlands_222.jpg,,,,A105M4JOZSR7E6
15,35,,1.0,15.0,highway_245.jpg,,,,A105M4JOZSR7E6
16,36,,1.0,16.0,mountain_110.jpg,,,,A105M4JOZSR7E6
17,37,,1.0,17.0,mountain_123.jpg,,,,A105M4JOZSR7E6
18,38,left,1.0,18.0,left.jpg,left,0.996,,A105M4JOZSR7E6
19,39,,1.0,19.0,mountain_57.jpg,,,,A105M4JOZSR7E6
20,40,,1.0,20.0,playground_60.jpg,,,,A105M4JOZSR7E6
21,41,,1.0,21.0,bridge_108.jpg,,,,A105M4JOZSR7E6
22,42,,1.0,22.0,mountain_101.jpg,,,,A105M4JOZSR7E6
23,43,,1.0,23.0,highway_359.jpg,,,,A105M4JOZSR7E6
24,44,,1.0,24.0,golf_course_15.jpg,,,,A105M4JOZSR7E6
25,45,,1.0,25.0,mountain_230.jpg,,,,A105M4JOZSR7E6
26,46,,1.0,26.0,playground_257.jpg,,,,A105M4JOZSR7E6
27,47,left,1.0,27.0,left.jpg,left,1.6066,,A105M4JOZSR7E6
28,48,,1.0,28.0,playground_240.jpg,,,,A105M4JOZSR7E6
29,49,,1.0,29.0,playground_76.jpg,,,,A105M4JOZSR7E6
30,50,,1.0,30.0,badlands_113.jpg,,,,A105M4JOZSR7E6
31,51,,1.0,31.0,highway_156.jpg,,,,A105M4JOZSR7E6
32,52,,1.0,32.0,badlands_24.jpg,,,,A105M4JOZSR7E6
33,53,,1.0,33.0,bridge_172.jpg,,,,A105M4JOZSR7E6
34,54,,1.0,34.0,playground_117.jpg,,,,A105M4JOZSR7E6
35,55,,1.0,35.0,bridge_91.jpg,,,,A105M4JOZSR7E6
36,56,,1.0,36.0,golf_course_331.jpg,,,,A105M4JOZSR7E6
37,57,,1.0,37.0,bridge_202.jpg,,,,A105M4JOZSR7E6
38,58,,1.0,38.0,mountain_156.jpg,,,,A105M4JOZSR7E6
39,59,,1.0,39.0,bridge_65.jpg,,,,A105M4JOZSR7E6
40,60,,1.0,40.0,playground_131.jpg,,,,A105M4JOZSR7E6
41,61,left,1.0,41.0,left.jpg,left,1.0932,,A105M4JOZSR7E6
42,62,,1.0,42.0,highway_209.jpg,,,,A105M4JOZSR7E6
43,63,,1.0,43.0,mountain_232.jpg,,,,A105M4JOZSR7E6
44,64,,1.0,44.0,golf_course_188.jpg,,,,A105M4JOZSR7E6
45,65,,1.0,45.0,badlands_221.jpg,,,,A105M4JOZSR7E6
46,66,,1.0,46.0,badlands_23.jpg,,,,A105M4JOZSR7E6
47,67,,1.0,47.0,badlands_137.jpg,,,,A105M4JOZSR7E6
48,68,,1.0,48.0,mountain_154.jpg,,,,A105M4JOZSR7E6
49,69,,1.0,49.0,highway_273.jpg,,,,A105M4JOZSR7E6
50,70,,1.0,50.0,mountain_222.jpg,,,,A105M4JOZSR7E6
51,71,,1.0,51.0,highway_93.jpg,,,,A105M4JOZSR7E6
52,72,,1.0,52.0,badlands_21.jpg,,,,A105M4JOZSR7E6
53,73,,0.0,53.0,left.jpg,left,,,A105M4JOZSR7E6
54,74,,1.0,54.0,golf_course_217.jpg,,,,A105M4JOZSR7E6
55,75,,1.0,55.0,golf_course_193.jpg,,,,A105M4JOZSR7E6
56,76,,1.0,56.0,golf_course_309.jpg,,,,A105M4JOZSR7E6
57,77,,1.0,57.0,bridge_128.jpg,,,,A105M4JOZSR7E6
58,78,,1.0,58.0,mountain_293.jpg,,,,A105M4JOZSR7E6
59,79,,1.0,59.0,playground_10.jpg,,,,A105M4JOZSR7E6
60,80,,1.0,60.0,golf_course_78.jpg,,,,A105M4JOZSR7E6
61,81,,1.0,61.0,golf_course_195.jpg,,,,A105M4JOZSR7E6
62,82,,1.0,62.0,golf_course_214.jpg,,,,A105M4JOZSR7E6
63,83,,1.0,63.0,playground_219.jpg,,,,A105M4JOZSR7E6
64,84,,1.0,64.0,highway_294.jpg,,,,A105M4JOZSR7E6
65,20,,1.0,0.0,playground_76.jpg,,,,A151XA53WYXVD7
66,21,,1.0,1.0,bridge_128.jpg,,,,A151XA53WYXVD7
67,22,,1.0,2.0,bridge_256.jpg,,,,A151XA53WYXVD7
68,23,,1.0,3.0,highway_93.jpg,,,,A151XA53WYXVD7
69,24,,1.0,4.0,mountain_222.jpg,,,,A151XA53WYXVD7
70,25,,1.0,5.0,badlands_137.jpg,,,,A151XA53WYXVD7
71,26,,1.0,6.0,playground_10.jpg,,,,A151XA53WYXVD7
72,27,,1.0,7.0,mountain_101.jpg,,,,A151XA53WYXVD7
73,28,right,1.0,8.0,right.jpg,right,1.547,,A151XA53WYXVD7
74,29,,1.0,9.0,mountain_110.jpg,,,,A151XA53WYXVD7
75,30,,1.0,10.0,golf_course_188.jpg,,,,A151XA53WYXVD7
76,31,,1.0,11.0,playground_60.jpg,,,,A151XA53WYXVD7
77,32,,1.0,12.0,playground_219.jpg,,,,A151XA53WYXVD7
78,33,,1.0,13.0,badlands_24.jpg,,,,A151XA53WYXVD7
79,34,,1.0,14.0,badlands_184.jpg,,,,A151XA53WYXVD7
80,35,,1.0,15.0,playground_257.jpg,,,,A151XA53WYXVD7
81,36,,1.0,16.0,bridge_108.jpg,,,,A151XA53WYXVD7
82,37,,1.0,17.0,mountain_57.jpg,,,,A151XA53WYXVD7
83,38,right,1.0,18.0,right.jpg,right,0.661,,A151XA53WYXVD7
84,39,,1.0,19.0,golf_course_78.jpg,,,,A151XA53WYXVD7
85,40,,1.0,20.0,badlands_70.jpg,,,,A151XA53WYXVD7
86,41,,1.0,21.0,highway_415.jpg,,,,A151XA53WYXVD7
87,42,,1.0,22.0,golf_course_87.jpg,,,,A151XA53WYXVD7
88,43,,1.0,23.0,badlands_113.jpg,,,,A151XA53WYXVD7
89,44,,1.0,24.0,highway_177.jpg,,,,A151XA53WYXVD7
90,45,,1.0,25.0,playground_131.jpg,,,,A151XA53WYXVD7
91,46,,1.0,26.0,badlands_21.jpg,,,,A151XA53WYXVD7
92,47,,1.0,27.0,mountain_123.jpg,,,,A151XA53WYXVD7
93,48,,1.0,28.0,playground_144.jpg,,,,A151XA53WYXVD7
94,49,,1.0,29.0,golf_course_193.jpg,,,,A151XA53WYXVD7
95,50,,1.0,30.0,golf_course_217.jpg,,,,A151XA53WYXVD7
96,51,left,1.0,31.0,left.jpg,left,0.779,,A151XA53WYXVD7
97,52,,1.0,32.0,badlands_52.jpg,,,,A151XA53WYXVD7
98,53,,1.0,33.0,bridge_250.jpg,,,,A151XA53WYXVD7
99,54,,1.0,34.0,badlands_222.jpg,,,,A151XA53WYXVD7
100,55,,1.0,35.0,badlands_221.jpg,,,,A151XA53WYXVD7
101,56,,1.0,36.0,bridge_191.jpg,,,,A151XA53WYXVD7
102,57,,1.0,37.0,playground_145.jpg,,,,A151XA53WYXVD7
103,58,,1.0,38.0,badlands_23.jpg,,,,A151XA53WYXVD7
104,59,,1.0,39.0,bridge_146.jpg,,,,A151XA53WYXVD7
105,60,,1.0,40.0,mountain_232.jpg,,,,A151XA53WYXVD7
106,61,,1.0,41.0,bridge_91.jpg,,,,A151XA53WYXVD7
107,62,,1.0,42.0,highway_273.jpg,,,,A151XA53WYXVD7
108,63,right,1.0,43.0,right.jpg,right,0.706,,A151XA53WYXVD7
109,64,,1.0,44.0,highway_294.jpg,,,,A151XA53WYXVD7
110,65,,1.0,45.0,golf_course_214.jpg,,,,A151XA53WYXVD7
111,66,,1.0,46.0,bridge_202.jpg,,,,A151XA53WYXVD7
112,67,,1.0,47.0,golf_course_331.jpg,,,,A151XA53WYXVD7
113,68,,1.0,48.0,mountain_154.jpg,,,,A151XA53WYXVD7
114,69,,1.0,49.0,golf_course_309.jpg,,,,A151XA53WYXVD7
115,70,left,1.0,50.0,left.jpg,left,1.729,,A151XA53WYXVD7
116,71,,1.0,51.0,highway_394.jpg,,,,A151XA53WYXVD7
117,72,,1.0,52.0,highway_156.jpg,,,,A151XA53WYXVD7
118,73,,1.0,53.0,mountain_230.jpg,,,,A151XA53WYXVD7
119,74,,1.0,54.0,mountain_293.jpg,,,,A151XA53WYXVD7
120,75,,1.0,55.0,mountain_156.jpg,,,,A151XA53WYXVD7
121,76,,1.0,56.0,highway_245.jpg,,,,A151XA53WYXVD7
122,77,,1.0,57.0,bridge_65.jpg,,,,A151XA53WYXVD7
123,78,,1.0,58.0,playground_117.jpg,,,,A151XA53WYXVD7
124,79,,1.0,59.0,golf_course_15.jpg,,,,A151XA53WYXVD7
125,80,,1.0,60.0,highway_359.jpg,,,,A151XA53WYXVD7
126,81,,1.0,61.0,playground_240.jpg,,,,A151XA53WYXVD7
127,82,,1.0,62.0,highway_209.jpg,,,,A151XA53WYXVD7
128,83,,1.0,63.0,bridge_172.jpg,,,,A151XA53WYXVD7
129,84,,1.0,64.0,golf_course_195.jpg,,,,A151XA53WYXVD7
130,20,,1.0,0.0,golf_course_309.jpg,,,,A1969Q0R4Y0E3J
131,21,,1.0,1.0,mountain_154.jpg,,,,A1969Q0R4Y0E3J
132,22,,1.0,2.0,playground_10.jpg,,,,A1969Q0R4Y0E3J
133,23,,1.0,3.0,playground_145.jpg,,,,A1969Q0R4Y0E3J
134,24,,1.0,4.0,badlands_24.jpg,,,,A1969Q0R4Y0E3J
135,25,,1.0,5.0,highway_177.jpg,,,,A1969Q0R4Y0E3J
136,26,left,1.0,6.0,left.jpg,left,0.5308,,A1969Q0R4Y0E3J
137,27,,1.0,7.0,golf_course_331.jpg,,,,A1969Q0R4Y0E3J
138,28,,1.0,8.0,playground_131.jpg,,,,A1969Q0R4Y0E3J
139,29,,1.0,9.0,mountain_222.jpg,,,,A1969Q0R4Y0E3J
140,30,,1.0,10.0,highway_294.jpg,,,,A1969Q0R4Y0E3J
141,31,,1.0,11.0,badlands_21.jpg,,,,A1969Q0R4Y0E3J
142,32,,1.0,12.0,badlands_184.jpg,,,,A1969Q0R4Y0E3J
143,33,,1.0,13.0,playground_144.jpg,,,,A1969Q0R4Y0E3J
144,34,,1.0,14.0,mountain_123.jpg,,,,A1969Q0R4Y0E3J
145,35,,1.0,15.0,bridge_191.jpg,,,,A1969Q0R4Y0E3J
146,36,,1.0,16.0,badlands_222.jpg,,,,A1969Q0R4Y0E3J
147,37,,1.0,17.0,badlands_137.jpg,,,,A1969Q0R4Y0E3J
148,38,,1.0,18.0,mountain_101.jpg,,,,A1969Q0R4Y0E3J
149,39,,1.0,19.0,bridge_146.jpg,,,,A1969Q0R4Y0E3J
150,40,,1.0,20.0,playground_240.jpg,,,,A1969Q0R4Y0E3J
151,41,right,1.0,21.0,right.jpg,right,0.579,,A1969Q0R4Y0E3J
152,42,,1.0,22.0,highway_273.jpg,,,,A1969Q0R4Y0E3J
153,43,,1.0,23.0,badlands_70.jpg,,,,A1969Q0R4Y0E3J
154,44,,1.0,24.0,mountain_57.jpg,,,,A1969Q0R4Y0E3J
155,45,,1.0,25.0,badlands_113.jpg,,,,A1969Q0R4Y0E3J
156,46,,1.0,26.0,highway_245.jpg,,,,A1969Q0R4Y0E3J
157,47,,1.0,27.0,golf_course_217.jpg,,,,A1969Q0R4Y0E3J
158,48,,1.0,28.0,bridge_108.jpg,,,,A1969Q0R4Y0E3J
159,49,,1.0,29.0,bridge_65.jpg,,,,A1969Q0R4Y0E3J
160,50,right,1.0,30.0,right.jpg,right,0.4549,,A1969Q0R4Y0E3J
161,51,,1.0,31.0,playground_257.jpg,,,,A1969Q0R4Y0E3J
162,52,,1.0,32.0,bridge_172.jpg,,,,A1969Q0R4Y0E3J
163,53,,1.0,33.0,bridge_256.jpg,,,,A1969Q0R4Y0E3J
164,54,,1.0,34.0,mountain_156.jpg,,,,A1969Q0R4Y0E3J
165,55,,1.0,35.0,bridge_128.jpg,,,,A1969Q0R4Y0E3J
166,56,,1.0,36.0,playground_60.jpg,,,,A1969Q0R4Y0E3J
167,57,,1.0,37.0,playground_76.jpg,,,,A1969Q0R4Y0E3J
168,58,,1.0,38.0,mountain_230.jpg,,,,A1969Q0R4Y0E3J
169,59,,1.0,39.0,golf_course_214.jpg,,,,A1969Q0R4Y0E3J
170,60,left,1.0,40.0,left.jpg,left,0.5096,,A1969Q0R4Y0E3J
171,61,,1.0,41.0,golf_course_195.jpg,,,,A1969Q0R4Y0E3J
172,62,,1.0,42.0,highway_359.jpg,,,,A1969Q0R4Y0E3J
173,63,,1.0,43.0,highway_156.jpg,,,,A1969Q0R4Y0E3J
174,64,,1.0,44.0,bridge_202.jpg,,,,A1969Q0R4Y0E3J
175,65,,1.0,45.0,golf_course_78.jpg,,,,A1969Q0R4Y0E3J
176,66,,1.0,46.0,badlands_221.jpg,,,,A1969Q0R4Y0E3J
177,67,,1.0,47.0,badlands_23.jpg,,,,A1969Q0R4Y0E3J
178,68,,1.0,48.0,bridge_91.jpg,,,,A1969Q0R4Y0E3J
179,69,,1.0,49.0,golf_course_193.jpg,,,,A1969Q0R4Y0E3J
180,70,,1.0,50.0,golf_course_188.jpg,,,,A1969Q0R4Y0E3J
181,71,,1.0,51.0,highway_93.jpg,,,,A1969Q0R4Y0E3J
182,72,left,1.0,52.0,left.jpg,left,0.4634,,A1969Q0R4Y0E3J
183,73,,1.0,53.0,highway_415.jpg,,,,A1969Q0R4Y0E3J
184,74,,1.0,54.0,highway_209.jpg,,,,A1969Q0R4Y0E3J
185,75,,1.0,55.0,mountain_293.jpg,,,,A1969Q0R4Y0E3J
186,76,,1.0,56.0,playground_219.jpg,,,,A1969Q0R4Y0E3J
187,77,,1.0,57.0,highway_394.jpg,,,,A1969Q0R4Y0E3J
188,78,,1.0,58.0,mountain_232.jpg,,,,A1969Q0R4Y0E3J
189,79,,1.0,59.0,golf_course_15.jpg,,,,A1969Q0R4Y0E3J
190,80,,1.0,60.0,playground_117.jpg,,,,A1969Q0R4Y0E3J
191,81,,1.0,61.0,mountain_110.jpg,,,,A1969Q0R4Y0E3J
192,82,,1.0,62.0,bridge_250.jpg,,,,A1969Q0R4Y0E3J
193,83,,1.0,63.0,badlands_52.jpg,,,,A1969Q0R4Y0E3J
194,84,,1.0,64.0,golf_course_87.jpg,,,,A1969Q0R4Y0E3J
195,20,,1.0,0.0,highway_93.jpg,,,,A1VJ4ZOXP9PUCP
196,21,,1.0,1.0,bridge_65.jpg,,,,A1VJ4ZOXP9PUCP
197,22,,1.0,2.0,golf_course_309.jpg,,,,A1VJ4ZOXP9PUCP
198,23,,1.0,3.0,golf_course_87.jpg,,,,A1VJ4ZOXP9PUCP
199,24,,1.0,4.0,highway_156.jpg,,,,A1VJ4ZOXP9PUCP
200,25,,1.0,5.0,bridge_146.jpg,,,,A1VJ4ZOXP9PUCP
201,26,,1.0,6.0,highway_177.jpg,,,,A1VJ4ZOXP9PUCP
202,27,,1.0,7.0,golf_course_15.jpg,,,,A1VJ4ZOXP9PUCP
203,28,,1.0,8.0,bridge_172.jpg,,,,A1VJ4ZOXP9PUCP
204,29,,1.0,9.0,bridge_191.jpg,,,,A1VJ4ZOXP9PUCP
205,30,,1.0,10.0,playground_76.jpg,,,,A1VJ4ZOXP9PUCP
206,31,,1.0,11.0,highway_245.jpg,,,,A1VJ4ZOXP9PUCP
207,32,,1.0,12.0,playground_131.jpg,,,,A1VJ4ZOXP9PUCP
208,33,,1.0,13.0,playground_60.jpg,,,,A1VJ4ZOXP9PUCP
209,34,left,1.0,14.0,left.jpg,left,0.7942,,A1VJ4ZOXP9PUCP
210,35,,1.0,15.0,mountain_123.jpg,,,,A1VJ4ZOXP9PUCP
211,36,,1.0,16.0,golf_course_217.jpg,,,,A1VJ4ZOXP9PUCP
212,37,,1.0,17.0,badlands_70.jpg,,,,A1VJ4ZOXP9PUCP
213,38,,1.0,18.0,highway_273.jpg,,,,A1VJ4ZOXP9PUCP
214,39,,1.0,19.0,badlands_21.jpg,,,,A1VJ4ZOXP9PUCP
215,40,,1.0,20.0,highway_394.jpg,,,,A1VJ4ZOXP9PUCP
216,41,,1.0,21.0,bridge_108.jpg,,,,A1VJ4ZOXP9PUCP
217,42,left,1.0,22.0,left.jpg,left,0.6913,,A1VJ4ZOXP9PUCP
218,43,,1.0,23.0,highway_294.jpg,,,,A1VJ4ZOXP9PUCP
219,44,,1.0,24.0,playground_117.jpg,,,,A1VJ4ZOXP9PUCP
220,45,,1.0,25.0,playground_10.jpg,,,,A1VJ4ZOXP9PUCP
221,46,,1.0,26.0,golf_course_195.jpg,,,,A1VJ4ZOXP9PUCP
222,47,,1.0,27.0,badlands_24.jpg,,,,A1VJ4ZOXP9PUCP
223,48,,1.0,28.0,playground_257.jpg,,,,A1VJ4ZOXP9PUCP
224,49,,1.0,29.0,badlands_23.jpg,,,,A1VJ4ZOXP9PUCP
225,50,,1.0,30.0,highway_209.jpg,,,,A1VJ4ZOXP9PUCP
226,51,,1.0,31.0,playground_144.jpg,,,,A1VJ4ZOXP9PUCP
227,52,right,1.0,32.0,right.jpg,right,0.7969,,A1VJ4ZOXP9PUCP
228,53,,1.0,33.0,golf_course_214.jpg,,,,A1VJ4ZOXP9PUCP
229,54,,1.0,34.0,mountain_110.jpg,,,,A1VJ4ZOXP9PUCP
230,55,,1.0,35.0,mountain_230.jpg,,,,A1VJ4ZOXP9PUCP
231,56,,1.0,36.0,mountain_101.jpg,,,,A1VJ4ZOXP9PUCP
232,57,,1.0,37.0,mountain_232.jpg,,,,A1VJ4ZOXP9PUCP
233,58,right,1.0,38.0,right.jpg,right,1.0987,,A1VJ4ZOXP9PUCP
234,59,,1.0,39.0,badlands_184.jpg,,,,A1VJ4ZOXP9PUCP
235,60,,1.0,40.0,mountain_222.jpg,,,,A1VJ4ZOXP9PUCP
236,61,,1.0,41.0,badlands_221.jpg,,,,A1VJ4ZOXP9PUCP
237,62,,1.0,42.0,mountain_293.jpg,,,,A1VJ4ZOXP9PUCP
238,63,,1.0,43.0,golf_course_331.jpg,,,,A1VJ4ZOXP9PUCP
239,64,,1.0,44.0,bridge_202.jpg,,,,A1VJ4ZOXP9PUCP
240,65,,1.0,45.0,highway_359.jpg,,,,A1VJ4ZOXP9PUCP
241,66,,1.0,46.0,mountain_156.jpg,,,,A1VJ4ZOXP9PUCP
242,67,,1.0,47.0,mountain_57.jpg,,,,A1VJ4ZOXP9PUCP
243,68,left,1.0,48.0,left.jpg,left,1.0013,,A1VJ4ZOXP9PUCP
244,69,,1.0,49.0,highway_415.jpg,,,,A1VJ4ZOXP9PUCP
245,70,,1.0,50.0,bridge_91.jpg,,,,A1VJ4ZOXP9PUCP
246,71,,1.0,51.0,playground_145.jpg,,,,A1VJ4ZOXP9PUCP
247,72,,1.0,52.0,golf_course_193.jpg,,,,A1VJ4ZOXP9PUCP
248,73,,1.0,53.0,golf_course_78.jpg,,,,A1VJ4ZOXP9PUCP
249,74,,1.0,54.0,golf_course_188.jpg,,,,A1VJ4ZOXP9PUCP
250,75,,1.0,55.0,mountain_154.jpg,,,,A1VJ4ZOXP9PUCP
251,76,,1.0,56.0,badlands_113.jpg,,,,A1VJ4ZOXP9PUCP
252,77,,1.0,57.0,playground_219.jpg,,,,A1VJ4ZOXP9PUCP
253,78,,1.0,58.0,badlands_137.jpg,,,,A1VJ4ZOXP9PUCP
254,79,,1.0,59.0,bridge_250.jpg,,,,A1VJ4ZOXP9PUCP
255,80,,1.0,60.0,badlands_52.jpg,,,,A1VJ4ZOXP9PUCP
256,81,,1.0,61.0,badlands_222.jpg,,,,A1VJ4ZOXP9PUCP
257,82,,1.0,62.0,bridge_256.jpg,,,,A1VJ4ZOXP9PUCP
258,83,,1.0,63.0,playground_240.jpg,,,,A1VJ4ZOXP9PUCP
259,84,,1.0,64.0,bridge_128.jpg,,,,A1VJ4ZOXP9PUCP
260,20,,1.0,0.0,highway_394.jpg,,,,A20ZFQ93DF0WA
261,21,,1.0,1.0,badlands_52.jpg,,,,A20ZFQ93DF0WA
262,22,,1.0,2.0,highway_245.jpg,,,,A20ZFQ93DF0WA
263,23,,1.0,3.0,mountain_222.jpg,,,,A20ZFQ93DF0WA
