,demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_rating_varience,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_rating_varience,testing_rating_mean,testing_layer_1_rating,testing_layer_3_rating,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId
A2CZ5PS567SA10,1.1577,1.0,0.3333333333333333,3.4134333333333338,0.6324555320336759,3.667225,2.90585,1.19606,1.0,0.6833333333333333,3.2443298245614036,0.7997174642327565,5.933333333333334,5.966666666666667,5.9,6.046610526315789,3.3533829268292683,3.3480206896551725,0.8,3.136935714285714,0.5666666666666667,9.0,True,True,True,True,True,True,True,A2CZ5PS567SA10
A3AU8PZ6HHBCVT,0.7025,1.0,0.8333333333333334,2.7763500000000003,1.505545305418162,1.9741,2.9368,0.734,1.0,0.7333333333333333,2.5998586206896555,1.720924728424795,3.7666666666666666,3.1,4.433333333333334,5.10746875,3.0560727272727273,2.9795344827586203,0.8333333333333334,2.2201827586206897,0.6333333333333333,8.0,True,True,True,True,True,True,True,A3AU8PZ6HHBCVT
A2STRYBSFU7KCY,2.138,1.0,0.6666666666666666,5.506166666666666,1.4719601443879746,4.742,5.88825,1.25775,0.8,0.7,4.132944444444444,1.1304716279920144,6.9,6.8,7.0,4.591055555555555,6.471285714285714,4.063615384615384,0.7666666666666667,4.197321428571429,0.6333333333333333,4.0,True,True,True,True,False,True,True,A2STRYBSFU7KCY
A1969Q0R4Y0E3J,0.6609,1.0,0.6666666666666666,3.215016666666667,1.9407902170679516,3.9561,2.844475,0.50754,1.0,0.7166666666666667,2.518233898305085,2.3142887035523096,4.0,3.3666666666666667,4.633333333333334,3.2607117647058823,2.4322465116279073,2.392665517241379,0.7333333333333333,2.639616666666667,0.7,7.0,True,True,True,True,True,True,True,A1969Q0R4Y0E3J
AF6DVGK1GTFER,1.9588,1.0,0.3333333333333333,3.129483333333333,0.8366600265340756,3.41865,2.55115,1.41112,1.0,0.4666666666666667,1.8677220338983054,1.473973836286281,6.616666666666666,6.366666666666666,6.866666666666666,1.868284375,2.3148785714285713,1.9327466666666666,0.5,1.8004551724137932,0.43333333333333335,59.0,True,True,True,False,True,True,False,AF6DVGK1GTFER
AC01SVLHOB6HN,1.8872,1.0,0.3333333333333333,8.007983333333334,0.5477225575051661,10.105075,3.8138,1.63578,0.8,0.6833333333333333,3.433837930948276,0.7476894729916951,6.983333333333333,6.966666666666667,7.0,3.518073684105263,3.8555829267560977,2.9442142856785716,0.7,3.8908199998666664,0.6666666666666666,5.0,True,True,True,True,True,True,True,AC01SVLHOB6HN
AW07POT8ABE05,0.9797,1.0,0.5,2.4459833333333334,0.5163977794943223,2.1325333333333334,2.7594333333333334,1.33458,1.0,0.6666666666666666,1.8865183333333335,1.228084724436991,5.683333333333334,5.833333333333333,5.533333333333333,1.9279699999999997,1.8657925,1.9887866666666667,0.6666666666666666,1.78425,0.6666666666666666,5.0,True,True,True,True,True,True,True,AW07POT8ABE05
A1VJ4ZOXP9PUCP,0.6974,1.0,1.0,1.9913999999999998,0.752772652709081,,1.9913999999999998,0.8764800000000001,1.0,0.6833333333333333,2.0227199999999996,1.7482840659175625,5.166666666666667,4.4,5.933333333333334,2.201378947368421,1.9399268292682925,1.8417966666666667,0.7666666666666667,2.2036433333333334,0.6,4.0,True,True,True,True,True,True,True,A1VJ4ZOXP9PUCP
A2UWEAIX8UZXAQ,1.0604,1.0,0.6666666666666666,1.9108833333333333,0.752772652709081,2.26925,1.7317,0.55488,1.0,0.8833333333333333,3.9397166666666665,2.103199069913168,6.683333333333334,6.8,6.566666666666666,4.281585714285714,3.8945641509433964,3.7114666666666665,0.9333333333333333,4.167966666666667,0.8333333333333334,7.0,True,True,True,True,True,True,True,A2UWEAIX8UZXAQ
A32X8WXMIV4KE8,0.967,1.0,0.5,5.386,0.6324555320336759,5.518000000000001,5.2540000000000004,1.0788,1.0,0.7,4.0264999999999995,1.6954575403667413,6.2,6.533333333333333,5.866666666666666,4.209833333333333,3.9479285714285712,3.8601,0.7333333333333333,4.1929,0.6666666666666666,6.0,True,True,True,True,True,True,True,A32X8WXMIV4KE8
AJT7C07A187KA,1.0819,1.0,0.8333333333333334,7.095,0.752772652709081,17.5932,4.99536,1.29034,1.0,0.6,3.2345764705882356,1.122446883219744,6.166666666666667,6.3,6.033333333333333,24.0235,7.006466666666666,3.5571115384615384,0.6,2.89914,0.6,5.0,True,True,True,True,False,True,False,AJT7C07A187KA
A237PUN7791D62,0.5593,1.0,0.5,5.564149999999999,2.280350850198276,5.355933333333334,5.772366666666667,0.59406,1.0,0.8,4.1352633333333335,1.7093957699447733,5.6,5.4,5.8,4.682216666666666,3.9985250000000003,4.09625,0.7666666666666667,4.174276666666667,0.8333333333333334,5.0,True,True,True,True,True,True,True,A237PUN7791D62
A3SMMI1Z1558QE,1.6929,1.0,0.3333333333333333,2.4309833333333333,0.6324555320336759,2.8635,1.56595,1.893475,0.8,0.5666666666666667,1.439633333333333,0.6552698154756148,2.6666666666666665,2.6,2.7333333333333334,1.5635653846153845,1.3448617647058823,1.5161766666666667,0.5,1.36309,0.6333333333333333,59.0,True,True,True,False,True,True,False,A3SMMI1Z1558QE
A3LBMZYPY37NRW,1.8669,1.0,0.6666666666666666,3.1401166666666662,1.505545305418162,2.3638500000000002,3.52825,1.6377199999999998,1.0,0.5166666666666667,2.272042372881356,1.0591276657841484,7.383333333333334,7.166666666666667,7.6,2.2016241379310344,2.9958806451612903,2.3791133333333336,0.5,2.1612793103448276,0.5333333333333333,4.0,True,True,True,True,True,True,False,A3LBMZYPY37NRW
A2TQ9IHDHCSQC8,1.688,1.0,0.6666666666666666,2.8729999999999998,0.8944271909999159,3.674,2.4725,1.1346,1.0,0.7333333333333333,2.750457627118644,1.0484047607545863,7.45,7.466666666666667,7.433333333333334,5.086875,2.6566136363636366,2.571833333333333,0.7666666666666667,2.935241379310345,0.7,3.0,True,True,True,True,True,True,True,A2TQ9IHDHCSQC8
A3ATB5GC4BQIH0,1.101,1.0,0.8333333333333334,4.6788333333333325,1.4719601443879746,5.753,4.464,0.8628,1.0,0.6666666666666666,3.3708813559322035,0.9295828600965653,6.983333333333333,6.833333333333333,7.133333333333334,3.82485,3.49115,3.370862068965517,0.6333333333333333,3.3709,0.7,5.0,True,True,True,True,True,True,True,A3ATB5GC4BQIH0
A20ZFQ93DF0WA,0.9519,1.0,0.8333333333333334,2.4390500000000004,0.752772652709081,2.2399,2.4788799999999998,1.1472,1.0,0.6166666666666667,1.5801483333333333,0.7385663314751766,6.616666666666666,6.833333333333333,6.4,1.5381173913043478,1.6062756756756758,1.7232166666666666,0.6666666666666666,1.4370800000000001,0.5666666666666667,6.0,True,True,True,True,True,True,True,A20ZFQ93DF0WA
A3D8YUG5D5I4ER,0.898,1.0,0.6666666666666666,2.9644999999999997,0.752772652709081,2.859,3.0172499999999998,1.0145,0.8,0.43333333333333335,1.7610344827586204,0.6057632809459259,7.35,7.5,7.2,2.5581176470588236,2.335730769230769,1.7414333333333334,0.36666666666666664,1.7820357142857142,0.5,6.0,True,True,True,True,True,True,False,A3D8YUG5D5I4ER
A3RK5N4X7J4JGK,1.195,1.0,1.0,2.1956666666666664,2.065591117977289,,2.1956666666666664,1.06975,0.8,0.5,1.6334833333333332,1.6820756615186623,5.466666666666667,5.633333333333334,5.3,1.6102999999999998,1.6566666666666665,1.7279666666666667,0.5,1.5390000000000001,0.5,9.0,True,True,True,True,True,True,False,A3RK5N4X7J4JGK
A105M4JOZSR7E6,0.911,1.0,0.5,6.535333333333333,1.2110601416389966,4.0493999999999994,9.021266666666667,1.2319333333333333,0.6,0.5166666666666667,2.061501754385965,1.1060950807609697,4.883333333333334,4.666666666666667,5.1,2.43381724137931,4.533658064516128,2.0867185185185186,0.5333333333333333,2.038806666666667,0.5,4.0,True,True,False,True,True,True,False,A105M4JOZSR7E6
A25PFSORDO3SWQ,0.719,1.0,1.0,4.016,1.4719601443879746,,4.016,0.5923999999999999,1.0,0.85,4.588072727272727,1.610260181805209,3.4833333333333334,3.2,3.7666666666666666,6.142666666666667,4.994039215686274,4.552185185185185,0.8,4.622678571428572,0.9,4.0,True,True,True,True,True,True,True,A25PFSORDO3SWQ
A2P9XYDUCQBXWD,1.979,1.0,0.3333333333333333,7.840183333333333,1.4719601443879744,8.719425,6.0817,1.6640599999999999,1.0,0.5833333333333334,1.3097525423728815,2.53093850528102,7.366666666666666,6.733333333333333,8.0,1.10022,2.3309085714285716,1.5108413793103448,0.6333333333333333,1.1153666666666666,0.5333333333333333,58.0,True,True,True,False,True,True,False,A2P9XYDUCQBXWD
A151XA53WYXVD7,1.164,1.0,0.6666666666666666,4.281333333333333,0.5163977794943223,3.4405,4.7017500000000005,1.0844,1.0,0.7,2.7923793103448276,1.9560134714681727,5.733333333333333,5.066666666666666,6.4,2.8119444444444444,3.3204761904761906,2.8262666666666667,0.7666666666666667,2.7560714285714285,0.6333333333333333,7.0,True,True,True,True,True,True,True,A151XA53WYXVD7
A39XW0561NNM5C,2.3984,1.0,1.0,5.997299999999999,0.408248290463863,,5.997299999999999,1.2974333333333332,0.6,0.5666666666666667,1.1561033333333337,0.45441960250548485,7.716666666666667,7.7,7.733333333333333,0.922,1.3351235294117647,1.2865900000000001,0.5666666666666667,1.0256166666666666,0.5666666666666667,41.0,True,True,False,False,True,False,False,A39XW0561NNM5C
A2541C8MY0BYV3,1.031,1.0,0.5,7.465833333333333,1.1690451944500122,10.431666666666667,4.5,0.5184,1.0,0.5666666666666667,2.2536166666666664,1.551379921559174,4.0,3.966666666666667,4.033333333333333,2.155692307692308,2.3285,2.2048,0.6,2.3024333333333336,0.5333333333333333,5.0,True,True,True,True,True,True,False,A2541C8MY0BYV3
