button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[10.457999999999998],[10.457999999999998],A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,space,3.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,left,1,0,2,2,2,1,left.jpg,left,0.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,left,1,1.427,3,3.771,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,right,1,2.345,5,2.002,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,left,1,2.372,3,1.869,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,left,1,2.051,4,1.253,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,right,1,1.612,6,1.869,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,left,1,3.177,4,1.403,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,space,1.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,highway_156.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,mountain_232.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,playground_60.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,mountain_156.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,mountain_123.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,badlands_221.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,highway_294.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,bridge_65.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,mountain_57.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,playground_131.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,10,1,golf_course_87.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,11,11,11,1,golf_course_195.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,left,1,0,12,12,12,1,left.jpg,,left,0.626,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,13,13,13,1,playground_76.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,14,14,14,1,badlands_21.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,15,15,15,1,golf_course_15.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,16,16,16,1,mountain_222.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,17,17,17,1,highway_93.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,18,18,18,1,bridge_172.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,19,19,19,1,playground_219.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,20,20,20,1,bridge_202.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,21,21,21,1,golf_course_214.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,22,22,22,1,golf_course_309.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,23,23,23,1,bridge_146.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,24,24,24,1,right.jpg,,right,0.633,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,25,25,25,1,mountain_293.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,26,26,26,1,golf_course_217.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,27,27,27,1,right.jpg,,right,0.597,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,28,28,28,1,badlands_52.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,29,29,29,1,bridge_256.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,30,30,30,1,highway_209.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31,31,31,1,highway_273.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,32,32,32,1,badlands_184.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,33,33,33,1,bridge_108.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,34,34,34,1,bridge_91.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,35,35,35,1,golf_course_78.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,36,36,36,1,bridge_250.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,right,1,0,37,37,37,1,right.jpg,,right,0.604,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,38,38,38,1,badlands_137.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,39,39,39,1,badlands_23.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,40,40,40,1,bridge_191.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,41,41,41,1,golf_course_193.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,42,42,42,1,mountain_110.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,43,43,43,1,highway_177.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A1J7C4V2AZSHQX,38,Male,7.5,03-29-2023_11h45.48.960,memory_pilot_most_recent,2022.2.4,MacIntel,61.65228113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,44,44,44,1,playground_145.jpg,playground,,,,,,,,,,,,,,,,,,,
