button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[18.591499999999996],[18.591499999999996],A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,space,6.7178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,left,1,0,2,2,2,1,left.jpg,left,1.0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,right,0,2.6057,8,5.9592,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,left,0,2.8199,8,2.2101,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,left,1,4.179,8,1.5187,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,left,1,2.64,8,1.3168,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,right,1,2.5133,8,1.1492,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,left,1,1.5352,8,1.9682,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,space,1.9321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,highway_245.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,badlands_222.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,highway_209.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,badlands_23.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,badlands_70.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,bridge_65.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,golf_course_214.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,mountain_232.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,playground_144.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,golf_course_309.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A2615YW1YERQBO,57,,8,2023-03-29_10h23.42.984,memory_pilot_most_recent,2022.2.4,Win32,6.001356307,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,10,10,10,1,mountain_57.jpg,mountain,,,,,,,,,,,,,,,,,,,
