button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[8.739099999964239],[8.739099999964239],A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,space,4.6402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,left,1,0,2,2,2,1,left.jpg,left,0.4559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,right,0,2.1496,7,2.6138,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,left,0,2.7411,7,1.6062,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,right,0,2.2378,2,1.2041,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,left,1,1.2889,6,1.1751,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,right,1,1.1316,6,0.7052,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,left,1,0.6633,3,0.9071,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,space,2.5831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,playground_219.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,highway_177.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,badlands_221.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,mountain_293.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A28HB7240OFGEW,26,male,8,2023-03-29_11h54.58.898,memory_pilot_most_recent,2022.2.4,Win32,143.9677512,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,playground_117.jpg,playground,,,,,,,,,,,,,,,,,,,
