button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[3.7656000001430527],[3.7656000001430527],A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,space,14.8682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,left,1,0,2,2,2,1,left.jpg,left,0.9618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,left,1,7.9976,7,3.6403,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,left,0,5.0018,7,2.4512,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,left,1,3.045,6,3.5287,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,left,1,3.2048,7,2.6801,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,right,1,2.4657,8,1.949,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,left,1,1.9162,8,1.7797,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,space,2.5033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,badlands_184.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,badlands_113.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,highway_156.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,golf_course_15.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,mountain_230.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,highway_394.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,golf_course_188.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,mountain_57.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A3S10MQO4RXHM8,25,Male,8,2023-03-29_12h00.05.172,memory_pilot_most_recent,2022.2.4,Win32,20.9793144,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,golf_course_217.jpg,golf,,,,,,,,,,,,,,,,,,,
