button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[6.098200000047676],[6.098200000047676],A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,space,5.6479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,left,1,0,2,2,2,1,left.jpg,left,0.8996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,right,0,2.101,5,6.9879,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,left,0,2.7359,4,2.6923,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,left,1,1.7326,2,3.2044,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,right,0,2.5646,5,2.6908,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,right,1,2.1344,4,1.9574,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,right,0,1.3651,4,4.4578,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,space,2.8244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,mountain_57.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,highway_359.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,highway_415.jpg,highway,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,bridge_172.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,4,4,1,playground_117.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,5,5,5,1,golf_course_195.jpg,golf,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,6,6,1,bridge_65.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,7,7,7,1,bridge_146.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,8,8,1,mountain_230.jpg,mountain,,,,,,,,,,,,,,,,,,,
,,,A3V2XCDF45VN9X,46,male,7,03-29-2023_11h06.14.116,memory_pilot_most_recent,2022.2.4,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,9,9,9,1,badlands_23.jpg,badlands,,,,,,,,,,,,,,,,,,,
