button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[9.749599999999987],[9.749599999999987],AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,space,5.3968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,left,1,0,2,2,2,1,left.jpg,left,0.6833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,right,0,4.6201,4,7.527,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,left,0,2.7454,4,1.43,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,left,1,2.1732,1,3.5934,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,right,0,2.8992,6,1.7154,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,right,1,2.4124,4,2.1824,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,left,1,1.313,3,1.7361,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,space,2.8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AEK2SAEL9GG39,41,Male,9,2023-03-29_11h35.31.074,memory_pilot_most_recent,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,playground_117.jpg,playground,,,,,,,,,,,,,,,,,,,
