button.numClicks,button.timesOn,button.timesOff,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,space_key_responce.keys,space_key_responce.rt,demo_encoding_response.keys,demo_encoding_response.corr,demo_encoding_loop.thisRepN,demo_encoding_loop.thisTrialN,demo_encoding_loop.thisN,demo_encoding_loop.thisIndex,demo_encoding_loop.ran,DemoImage,DemoCorrect,demo_encoding_response.rt,demo_test_response.keys,demo_test_response.corr,demo_test_response.rt,demo_bar_2.response,demo_bar_2.rt,demo_test_loop.thisRepN,demo_test_loop.thisTrialN,demo_test_loop.thisN,demo_test_loop.thisIndex,demo_test_loop.ran,DemoImage1,DemoImage2,DemoCorrectTest,test_encoding_response.keys,test_encoding_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target,category,correct,test_encoding_response.rt,key_resp_end.keys,key_resp_end.rt,test_test_response.keys,test_test_response.corr,test_test_response.rt,bar_2.response,bar_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,image1,image2,layer,key_resp_end_2.keys,key_resp_end_2.rt
1,[19.090099999994067],[19.09019999998813],AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,space,220.6395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,1,0,0,0,0,1,flower1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,1,0,1,1,1,1,flower2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,left,1,0,2,2,2,1,left.jpg,left,0.8088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,1,0,3,3,3,1,flower3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,1,0,4,4,4,1,flower4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,1,0,5,5,5,1,flower5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,1,0,6,6,6,1,flower6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,right,0,7.077,6,6.4244,0,0,0,0,1,flower1.jpg,flower1_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,right,1,3.7038,6,3.5758,0,1,1,1,1,flower2_pair.jpg,flower2.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,left,1,2.5046,5,2.0255,0,2,2,2,1,flower3.jpg,flower3_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,left,1,2.6634,7,7.8083,0,3,3,3,1,flower4.jpg,flower4_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,right,1,2.6238,5,2.2136,0,4,4,4,1,flower5_pair.jpg,flower5.jpg,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,left,1,3.9878,3,1.8425,0,5,5,5,1,flower6.jpg,flower6_pair.jpg,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,space,10.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,bridge_128.jpg,bridge,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,badlands_221.jpg,badlands,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,2,2,1,playground_60.jpg,playground,,,,,,,,,,,,,,,,,,,
,,,AGILQEFEPEK7N,33,Male,8,2023-03-29_11h18.43.922,memory_pilot_most_recent,2022.2.4,Win32,60.12506013,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,3,3,1,badlands_70.jpg,badlands,,,,,,,,,,,,,,,,,,,
