target,category,correct
bridge_65.jpg,bridge,
mountain_110.jpg,mountain,
badlands_184.jpg,badlands,
bridge_202.jpg,bridge,
mountain_57.jpg,mountain,
highway_394.jpg,highway,
bridge_108.jpg,bridge,
highway_415.jpg,highway,
badlands_221.jpg,badlands,
mountain_154.jpg,mountain,
bridge_191.jpg,bridge,
right.jpg,,right
highway_177.jpg,highway,
golf_course_78.jpg,golf,
playground_60.jpg,playground,
mountain_123.jpg,mountain,
playground_219.jpg,playground,
highway_273.jpg,highway,
mountain_156.jpg,mountain,
left.jpg,,left
highway_156.jpg,highway,
bridge_172.jpg,bridge,
bridge_256.jpg,bridge,
golf_course_15.jpg,golf,
golf_course_195.jpg,golf,
highway_245.jpg,highway,
golf_course_309.jpg,golf,
badlands_137.jpg,badlands,
badlands_113.jpg,badlands,
bridge_91.jpg,bridge,
left.jpg,,left
badlands_21.jpg,badlands,
playground_144.jpg,playground,
highway_93.jpg,highway,
mountain_293.jpg,mountain,
playground_76.jpg,playground,
golf_course_331.jpg,golf,
bridge_146.jpg,bridge,
right.jpg,,right
mountain_101.jpg,mountain,
playground_117.jpg,playground,
golf_course_87.jpg,golf,
golf_course_193.jpg,golf,
badlands_222.jpg,badlands,
highway_359.jpg,highway,
badlands_52.jpg,badlands,
playground_131.jpg,playground,
right.jpg,,right
mountain_232.jpg,mountain,
highway_209.jpg,highway,
playground_10.jpg,playground,
badlands_24.jpg,badlands,
bridge_250.jpg,bridge,
playground_240.jpg,playground,
golf_course_217.jpg,golf,
playground_257.jpg,playground,
bridge_128.jpg,bridge,
badlands_23.jpg,badlands,
highway_294.jpg,highway,
mountain_230.jpg,mountain,
golf_course_214.jpg,golf,
badlands_70.jpg,badlands,
golf_course_188.jpg,golf,
mountain_222.jpg,mountain,
playground_145.jpg,playground,
