image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,model,category1,category2
badlands_0.pkl,badlands_1.pkl,0.41081217,0.35570621,0.2752828,0.2187243,0.11739326,0.31758228,0.33144966,VGG,badlands,badlands
badlands_0.pkl,badlands_10.pkl,0.4552461,0.35863698,0.24366999,0.21181011,0.2716146,0.54676926,0.56364995,VGG,badlands,badlands
badlands_0.pkl,badlands_100.pkl,0.50476384,0.35704643,0.2852092,0.30159163,0.30683607,0.5742535,0.62483644,VGG,badlands,badlands
badlands_0.pkl,badlands_101.pkl,0.22686636,0.20731032,0.1853802,0.16325697,0.18564638,0.47736177,0.4979429,VGG,badlands,badlands
badlands_0.pkl,badlands_102.pkl,0.5332793,0.39704245,0.3010299,0.3254246,0.338092,0.5948467,0.59806335,VGG,badlands,badlands
badlands_0.pkl,badlands_103.pkl,0.34991005,0.32718623,0.26523623,0.27143264,0.28339595,0.617857,0.7174013,VGG,badlands,badlands
badlands_0.pkl,badlands_104.pkl,0.39925653,0.34435263,0.2665944,0.25633478,0.2017845,0.3960997,0.40999895,VGG,badlands,badlands
badlands_0.pkl,badlands_105.pkl,0.54357547,0.41354495,0.3294922,0.34698027,0.46306178,0.74418443,0.7785526,VGG,badlands,badlands
badlands_0.pkl,badlands_106.pkl,0.43522924,0.33572447,0.24549553,0.22556685,0.25866473,0.52680385,0.59967184,VGG,badlands,badlands
badlands_0.pkl,badlands_107.pkl,0.37897056,0.31173083,0.22508869,0.19813874,0.16944186,0.38221002,0.4310174,VGG,badlands,badlands
badlands_0.pkl,badlands_108.pkl,0.5322644,0.40371805,0.30353552,0.2881042,0.27617136,0.5851336,0.68606806,VGG,badlands,badlands
badlands_0.pkl,badlands_109.pkl,0.4751981,0.40682977,0.33093077,0.37142792,0.36795264,0.6175759,0.6720561,VGG,badlands,badlands
badlands_0.pkl,badlands_11.pkl,0.45407602,0.3542794,0.2694418,0.23654585,0.2787831,0.48658594,0.5134543,VGG,badlands,badlands
badlands_0.pkl,badlands_110.pkl,0.49125415,0.3755386,0.27843043,0.2851988,0.3621822,0.66679347,0.7211082,VGG,badlands,badlands
badlands_0.pkl,badlands_111.pkl,0.44363898,0.35641685,0.2678666,0.23615965,0.24616276,0.5162415,0.5540113,VGG,badlands,badlands
badlands_0.pkl,badlands_112.pkl,0.45206618,0.37957686,0.29033098,0.29171026,0.30699694,0.57807,0.6286738,VGG,badlands,badlands
badlands_0.pkl,badlands_113.pkl,0.5374792,0.40317142,0.30125314,0.32400382,0.41886348,0.6657215,0.6810052,VGG,badlands,badlands
badlands_0.pkl,badlands_114.pkl,0.532315,0.39787027,0.2985955,0.326187,0.41450226,0.6965823,0.7555155,VGG,badlands,badlands
badlands_0.pkl,badlands_115.pkl,0.5429499,0.37508595,0.28234214,0.2761246,0.25743756,0.60612947,0.6368378,VGG,badlands,badlands
badlands_0.pkl,badlands_116.pkl,0.43842173,0.36580256,0.27104524,0.26584497,0.2454978,0.5399844,0.66245097,VGG,badlands,badlands
badlands_0.pkl,badlands_117.pkl,0.42849803,0.35954064,0.27326694,0.22071697,0.23180205,0.53095734,0.53949463,VGG,badlands,badlands
badlands_0.pkl,badlands_118.pkl,0.42568663,0.3421664,0.27074552,0.27856708,0.36870167,0.6352918,0.6588052,VGG,badlands,badlands
badlands_0.pkl,badlands_119.pkl,0.40958792,0.34451234,0.24946544,0.22560348,0.27563724,0.5526318,0.6220752,VGG,badlands,badlands
badlands_0.pkl,badlands_12.pkl,0.5245409,0.36842185,0.27194023,0.25633326,0.2624612,0.47867978,0.5149905,VGG,badlands,badlands
badlands_0.pkl,badlands_120.pkl,0.428218,0.352994,0.26611197,0.27033162,0.41439557,0.67550886,0.70322275,VGG,badlands,badlands
badlands_0.pkl,badlands_121.pkl,0.41704598,0.36064225,0.28141895,0.22985056,0.2236484,0.55174834,0.64419943,VGG,badlands,badlands
badlands_0.pkl,badlands_122.pkl,0.542019,0.39187735,0.29781598,0.30676,0.40272638,0.6764937,0.6543762,VGG,badlands,badlands
badlands_0.pkl,badlands_123.pkl,0.49194562,0.40836185,0.33689794,0.4010204,0.55720294,0.7588965,0.7809642,VGG,badlands,badlands
badlands_0.pkl,badlands_124.pkl,0.49910557,0.3759976,0.292746,0.2953183,0.34296367,0.6030413,0.60320115,VGG,badlands,badlands
badlands_0.pkl,badlands_125.pkl,0.4752633,0.35253635,0.2560645,0.2471875,0.3321374,0.61594117,0.6694472,VGG,badlands,badlands
badlands_0.pkl,badlands_126.pkl,0.4842887,0.3711823,0.3067256,0.30743447,0.34845003,0.6247838,0.7068843,VGG,badlands,badlands
badlands_0.pkl,badlands_127.pkl,0.46922743,0.3774747,0.3009464,0.32693774,0.44879365,0.6705863,0.65346944,VGG,badlands,badlands
badlands_0.pkl,badlands_128.pkl,0.48729968,0.36601222,0.29390526,0.2993724,0.3279933,0.60014355,0.6374415,VGG,badlands,badlands
badlands_0.pkl,badlands_129.pkl,0.38905206,0.3214994,0.25542498,0.23220628,0.24411853,0.5511841,0.65408087,VGG,badlands,badlands
badlands_0.pkl,badlands_13.pkl,0.5035213,0.4159369,0.32914367,0.3393297,0.3302225,0.5439222,0.5672068,VGG,badlands,badlands
badlands_0.pkl,badlands_130.pkl,0.45085287,0.34694123,0.2684883,0.24836598,0.31061262,0.64513445,0.6930653,VGG,badlands,badlands
badlands_0.pkl,badlands_131.pkl,0.3671045,0.35890517,0.27184856,0.2154274,0.19523272,0.45988184,0.4982493,VGG,badlands,badlands
badlands_0.pkl,badlands_132.pkl,0.46204823,0.3444686,0.2539156,0.24856083,0.31464458,0.56579995,0.57984126,VGG,badlands,badlands
badlands_0.pkl,badlands_133.pkl,0.44821766,0.37241054,0.27709457,0.2410964,0.18690385,0.5723734,0.64151806,VGG,badlands,badlands
badlands_0.pkl,badlands_134.pkl,0.47103137,0.3893838,0.2993685,0.30719605,0.35251096,0.60989636,0.6518012,VGG,badlands,badlands
badlands_0.pkl,badlands_135.pkl,0.42188758,0.34105504,0.29021198,0.3344785,0.39927244,0.60135067,0.6177361,VGG,badlands,badlands
badlands_0.pkl,badlands_136.pkl,0.47046363,0.38093194,0.29473773,0.29931706,0.34883377,0.62288976,0.6528625,VGG,badlands,badlands
badlands_0.pkl,badlands_137.pkl,0.49488735,0.3424,0.24813351,0.23727006,0.26823467,0.5429531,0.57486594,VGG,badlands,badlands
badlands_0.pkl,badlands_138.pkl,0.4699459,0.37331352,0.29667038,0.29570687,0.33688673,0.5976278,0.6679542,VGG,badlands,badlands
badlands_0.pkl,badlands_139.pkl,0.3833668,0.32885718,0.2582224,0.2566557,0.24618974,0.5361617,0.59734553,VGG,badlands,badlands
badlands_0.pkl,badlands_14.pkl,0.48392817,0.3816244,0.2870878,0.2630776,0.31745976,0.58773494,0.61961305,VGG,badlands,badlands
badlands_0.pkl,badlands_140.pkl,0.4263082,0.37658542,0.30374834,0.36725163,0.47703552,0.68485427,0.68704367,VGG,badlands,badlands
badlands_0.pkl,badlands_141.pkl,0.39816326,0.3362381,0.25694978,0.17889343,0.10418348,0.32959446,0.33067468,VGG,badlands,badlands
badlands_0.pkl,badlands_142.pkl,0.4653134,0.37172568,0.29678926,0.33899194,0.4669801,0.7364404,0.7310818,VGG,badlands,badlands
badlands_0.pkl,badlands_143.pkl,0.5064238,0.39475107,0.30440527,0.3113585,0.34732106,0.65277296,0.67950904,VGG,badlands,badlands
badlands_0.pkl,badlands_144.pkl,0.51111007,0.39081848,0.30764472,0.3424306,0.3718313,0.6106698,0.6272132,VGG,badlands,badlands
badlands_0.pkl,badlands_145.pkl,0.4129978,0.33073306,0.25672072,0.22649224,0.22384289,0.50391257,0.5892042,VGG,badlands,badlands
badlands_0.pkl,badlands_146.pkl,0.5040171,0.40537655,0.31326997,0.31700182,0.39479315,0.6394172,0.62970674,VGG,badlands,badlands
badlands_0.pkl,badlands_147.pkl,0.44619536,0.36046183,0.2900181,0.27935892,0.3255699,0.5796095,0.62886685,VGG,badlands,badlands
badlands_0.pkl,badlands_148.pkl,0.40138024,0.34492248,0.26162943,0.24832135,0.2712624,0.54000056,0.57416284,VGG,badlands,badlands
badlands_0.pkl,badlands_149.pkl,0.50002986,0.3910721,0.30240953,0.28870082,0.38754022,0.67750984,0.7238451,VGG,badlands,badlands
badlands_0.pkl,badlands_15.pkl,0.5253314,0.3858328,0.28524843,0.2952622,0.39192444,0.6973727,0.7546617,VGG,badlands,badlands
