,demo_loops.thisTrialN,target,image1,image2,correct,demo_test_key_resp.rt,demo_test_key_resp.keys,subject
0,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,7.5268,left,A382IYPJDT9UV6
1,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,9.1271,left,A382IYPJDT9UV6
2,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.4909,left,A382IYPJDT9UV6
3,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,10.7934,right,A2KLIBLDVDV144
4,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,10.1937,left,A2KLIBLDVDV144
5,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.9602,left,A2KLIBLDVDV144
6,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,4.8,left,A16DFVQYKDHTON
7,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,9.5499,left,A16DFVQYKDHTON
8,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.5936,right,A16DFVQYKDHTON
9,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,2.0259,left,A11MOA9HW11EP1
10,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,1.7986,left,A11MOA9HW11EP1
11,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,1.3369,right,A11MOA9HW11EP1
12,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,4.3042,right,A19GPBWE8CBCOL
13,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,2.8691,left,A19GPBWE8CBCOL
14,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.8546,right,A19GPBWE8CBCOL
15,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,8.4954,left,A2DGBPX9UOQC54
16,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,6.1472,right,A2DGBPX9UOQC54
17,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.4098,left,A2DGBPX9UOQC54
18,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,10.4678,right,A15SB9KAGZMJ4G
19,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,3.2709,left,A15SB9KAGZMJ4G
20,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,2.3186,right,A15SB9KAGZMJ4G
21,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,7.6329,left,A2PFYG0OUMVITX
22,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,11.1706,left,A2PFYG0OUMVITX
23,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,10.3578,right,A2PFYG0OUMVITX
24,0.0,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,15.5177,left,A2KRPK3GQR0GA9
25,1.0,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,0.3637,right,A2KRPK3GQR0GA9
26,2.0,fence1.jpg,fence1.jpg,fence2.jpg,left,0.5558,right,A2KRPK3GQR0GA9
