key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,54.9363,left,4.8,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,,,,,,,,,,,,,,,,,,,,,
,,,left,9.5499,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,,,,,,,,,,,,,,,,,,,,,
,,,right,2.5936,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_214.jpg,golf_course_214.jpg,golf_course_317.jpg,left,highway_193.jpg,golf_course_214.jpg,mountain_302.jpg,playground_37.jpg,bridge_228.jpg,badlands_213.jpg,1,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,space,2.3815,left,3.7807,0,0,0,0,1,golf_course_317.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,playground_240.jpg,playground_40.jpg,playground_240.jpg,right,highway_78.jpg,badlands_36.jpg,golf_course_179.jpg,bridge_64.jpg,playground_240.jpg,mountain_228.jpg,4,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,right,3.5982,0,1,1,1,1,playground_40.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_359.jpg,highway_359.jpg,highway_389.jpg,left,mountain_277.jpg,highway_359.jpg,playground_7.jpg,golf_course_55.jpg,badlands_26.jpg,bridge_190.jpg,1,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,2.5807,0,2,2,2,1,highway_389.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_21.jpg,badlands_21.jpg,badlands_1.jpg,left,mountain_253.jpg,highway_308.jpg,bridge_52.jpg,badlands_21.jpg,playground_118.jpg,golf_course_72.jpg,3,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,1.8547,0,3,3,3,1,badlands_1.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_87.jpg,left,mountain_22.jpg,golf_course_196.jpg,playground_49.jpg,highway_177.jpg,badlands_80.jpg,bridge_68.jpg,3,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,right,1.9863,0,4,4,4,1,highway_87.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_53.jpg,badlands_24.jpg,right,playground_141.jpg,mountain_152.jpg,badlands_24.jpg,golf_course_174.jpg,highway_42.jpg,bridge_87.jpg,2,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,1.6631,0,5,5,5,1,badlands_53.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_123.jpg,mountain_94.jpg,left,bridge_224.jpg,playground_110.jpg,golf_course_328.jpg,mountain_123.jpg,highway_107.jpg,badlands_30.jpg,3,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,2.744,0,6,6,6,1,mountain_94.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_63.jpg,badlands_52.jpg,right,badlands_52.jpg,bridge_142.jpg,golf_course_0.jpg,playground_39.jpg,mountain_306.jpg,highway_354.jpg,0,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,right,1.3331,0,7,7,7,1,badlands_63.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,playground_145.jpg,playground_145.jpg,playground_242.jpg,left,playground_145.jpg,mountain_180.jpg,golf_course_307.jpg,bridge_133.jpg,badlands_44.jpg,highway_178.jpg,0,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,right,1.7761,0,8,8,8,1,playground_242.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_394.jpg,highway_406.jpg,left,playground_33.jpg,highway_394.jpg,badlands_128.jpg,bridge_179.jpg,golf_course_116.jpg,mountain_212.jpg,1,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,right,1.4264,0,9,9,9,1,highway_406.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_144.jpg,playground_137.jpg,left,golf_course_202.jpg,mountain_151.jpg,highway_290.jpg,playground_144.jpg,bridge_120.jpg,badlands_211.jpg,3,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,3.8245,0,10,10,10,1,playground_137.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_331.jpg,golf_course_114.jpg,golf_course_331.jpg,right,playground_140.jpg,golf_course_331.jpg,highway_265.jpg,mountain_169.jpg,badlands_122.jpg,bridge_193.jpg,1,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,right,1.7976,0,11,11,11,1,golf_course_114.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_21.jpg,playground_219.jpg,right,bridge_158.jpg,highway_274.jpg,mountain_198.jpg,badlands_183.jpg,playground_219.jpg,golf_course_212.jpg,4,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,right,3.0113,0,12,12,12,1,playground_21.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_87.jpg,golf_course_130.jpg,left,mountain_309.jpg,playground_68.jpg,highway_102.jpg,golf_course_87.jpg,bridge_24.jpg,badlands_174.jpg,3,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,1.9131,0,13,13,13,1,golf_course_130.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_157.jpg,left,highway_15.jpg,mountain_110.jpg,playground_14.jpg,bridge_180.jpg,golf_course_291.jpg,badlands_150.jpg,1,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,1.9641,0,14,14,14,1,mountain_157.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_22.jpg,playground_76.jpg,right,badlands_129.jpg,golf_course_41.jpg,bridge_35.jpg,highway_36.jpg,playground_76.jpg,mountain_126.jpg,4,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,right,2.0391,0,15,15,15,1,playground_22.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_146.jpg,bridge_27.jpg,left,mountain_76.jpg,highway_58.jpg,golf_course_342.jpg,badlands_104.jpg,bridge_146.jpg,playground_42.jpg,4,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,2.4695,0,16,16,16,1,bridge_27.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_134.jpg,left,playground_227.jpg,mountain_19.jpg,golf_course_71.jpg,highway_245.jpg,bridge_1.jpg,badlands_47.jpg,3,A16DFVQYKDHTON,35,male,8,2023-06-20_07h03.58.028,working,2022.2.4,Win32,12.72507476,,,left,2.1433,0,17,17,17,1,highway_134.jpg,0,highway,,,,,,,,,,,
