key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,35.942,left,15.5177,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,
,,,right,0.3637,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,
,,,right,0.5558,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_204.jpg,highway_394.jpg,right,highway_394.jpg,golf_course_221.jpg,badlands_152.jpg,playground_63.jpg,mountain_309.jpg,bridge_133.jpg,0,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,space,2.9458,right,0.0987,0,0,0,0,1,highway_204.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_117.jpg,playground_127.jpg,left,golf_course_166.jpg,badlands_16.jpg,mountain_306.jpg,playground_117.jpg,bridge_62.jpg,highway_50.jpg,3,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,left,0.2201,0,1,1,1,1,playground_127.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_97.jpg,golf_course_15.jpg,right,bridge_4.jpg,mountain_192.jpg,golf_course_15.jpg,badlands_60.jpg,highway_33.jpg,playground_241.jpg,2,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,left,0.001,0,2,2,2,1,golf_course_97.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_21.jpg,playground_219.jpg,right,mountain_33.jpg,badlands_26.jpg,bridge_124.jpg,playground_219.jpg,golf_course_59.jpg,highway_37.jpg,3,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,left,0.0094,0,3,3,3,1,playground_21.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,badlands_21.jpg,badlands_1.jpg,badlands_21.jpg,right,bridge_190.jpg,mountain_198.jpg,golf_course_105.jpg,highway_199.jpg,badlands_21.jpg,playground_55.jpg,4,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,left,0.0012,0,4,4,4,1,badlands_1.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_232.jpg,mountain_232.jpg,mountain_54.jpg,left,playground_16.jpg,badlands_36.jpg,mountain_232.jpg,highway_290.jpg,golf_course_61.jpg,bridge_96.jpg,2,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,left,0.0891,0,5,5,5,1,mountain_54.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_202.jpg,bridge_38.jpg,left,highway_42.jpg,mountain_256.jpg,golf_course_333.jpg,bridge_202.jpg,playground_227.jpg,badlands_33.jpg,3,A2KRPK3GQR0GA9,37,Male,8,2023-06-20_07h04.21.472,working,2022.2.4,Linux x86_64,60.0060006,,,right,0.0121,0,6,6,6,1,bridge_38.jpg,1,bridge,,,,,,,,,,,
