key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,2.6276,left,7.6329,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,,,,,,,,,,,,,,,,,,,,,
,,,left,11.1706,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,,,,,,,,,,,,,,,,,,,,,
,,,right,10.3578,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_60.jpg,playground_268.jpg,left,highway_265.jpg,mountain_137.jpg,bridge_204.jpg,playground_60.jpg,golf_course_265.jpg,badlands_180.jpg,3,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,space,13.2272,right,10.2498,0,0,0,0,1,playground_268.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_219.jpg,playground_205.jpg,left,badlands_59.jpg,playground_219.jpg,golf_course_342.jpg,bridge_96.jpg,highway_365.jpg,mountain_151.jpg,1,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,right,3.4629,0,1,1,1,1,playground_205.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_123.jpg,mountain_189.jpg,left,highway_274.jpg,badlands_104.jpg,mountain_123.jpg,playground_26.jpg,bridge_158.jpg,golf_course_297.jpg,2,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,left,3.9135,0,2,2,2,1,mountain_189.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_369.jpg,highway_93.jpg,right,playground_83.jpg,bridge_180.jpg,badlands_54.jpg,mountain_249.jpg,highway_93.jpg,golf_course_291.jpg,4,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,left,7.0981,0,3,3,3,1,highway_369.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_97.jpg,mountain_230.jpg,right,playground_6.jpg,golf_course_179.jpg,mountain_230.jpg,highway_313.jpg,badlands_26.jpg,bridge_224.jpg,2,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,left,2.4424,0,4,4,4,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_134.jpg,left,highway_101.jpg,golf_course_78.jpg,bridge_112.jpg,mountain_143.jpg,playground_248.jpg,badlands_80.jpg,1,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,right,2.0051,0,5,5,5,1,golf_course_134.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,mountain_57.jpg,mountain_193.jpg,mountain_57.jpg,right,mountain_57.jpg,golf_course_196.jpg,highway_288.jpg,playground_165.jpg,badlands_35.jpg,bridge_234.jpg,0,A2PFYG0OUMVITX,35,MALE,8,2023-06-20_05h04.38.893,working,2022.2.4,Win32,9.651298582,,,right,1.9977,0,6,6,6,1,mountain_193.jpg,0,mountain,,,,,,,,,,,
