key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,13.783,left,12.736,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.114,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.827,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_278.jpg,left,bridge_87.jpg,golf_course_238.jpg,playground_36.jpg,highway_177.jpg,badlands_59.jpg,mountain_89.jpg,3,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,space,3.655,right,3.198,0,0,0,0,1,highway_278.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_131.jpg,mountain_154.jpg,right,playground_14.jpg,golf_course_166.jpg,badlands_104.jpg,highway_102.jpg,mountain_154.jpg,bridge_96.jpg,4,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,right,1.539,0,1,1,1,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_219.jpg,playground_21.jpg,left,mountain_251.jpg,golf_course_105.jpg,playground_219.jpg,badlands_85.jpg,bridge_72.jpg,highway_319.jpg,2,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,left,1.653,0,2,2,2,1,playground_21.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_188.jpg,golf_course_160.jpg,left,highway_15.jpg,golf_course_188.jpg,playground_181.jpg,bridge_106.jpg,mountain_253.jpg,badlands_214.jpg,1,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,left,1.441,0,3,3,3,1,golf_course_160.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_101.jpg,mountain_221.jpg,left,highway_265.jpg,mountain_101.jpg,badlands_215.jpg,playground_30.jpg,golf_course_291.jpg,bridge_22.jpg,1,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,left,1.315,0,4,4,4,1,mountain_221.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_123.jpg,golf_course_193.jpg,right,playground_258.jpg,golf_course_193.jpg,bridge_167.jpg,mountain_228.jpg,badlands_36.jpg,highway_37.jpg,1,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,right,1.861,0,5,5,5,1,golf_course_123.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_137.jpg,playground_144.jpg,right,golf_course_179.jpg,playground_144.jpg,bridge_158.jpg,mountain_19.jpg,highway_90.jpg,badlands_55.jpg,1,A1AD2BDQYTTJIL,22,Male,6,2023-06-21_11h04.05.205,working,2022.2.4,Win32,8,,,right,1.459,0,6,6,6,1,playground_137.jpg,0,playground,,,,,,,,,,,
