key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,5.1914,right,0.8973,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.5404,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.4449,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_214.jpg,golf_course_214.jpg,golf_course_312.jpg,left,badlands_54.jpg,mountain_180.jpg,highway_101.jpg,bridge_266.jpg,golf_course_214.jpg,playground_246.jpg,4,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,space,2.602,right,2.0543,0,0,0,0,1,golf_course_312.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_23.jpg,badlands_114.jpg,left,mountain_256.jpg,highway_30.jpg,golf_course_212.jpg,badlands_23.jpg,bridge_112.jpg,playground_184.jpg,3,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,right,1.2477,0,1,1,1,1,badlands_114.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_87.jpg,golf_course_161.jpg,left,golf_course_87.jpg,bridge_144.jpg,highway_268.jpg,playground_181.jpg,badlands_213.jpg,mountain_192.jpg,0,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,left,2.2226,0,2,2,2,1,golf_course_161.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,bridge_65.jpg,bridge_65.jpg,bridge_60.jpg,left,mountain_41.jpg,golf_course_221.jpg,bridge_65.jpg,badlands_35.jpg,highway_313.jpg,playground_83.jpg,2,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,left,1.7959,0,3,3,3,1,bridge_60.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_12.jpg,playground_10.jpg,right,badlands_227.jpg,highway_37.jpg,playground_10.jpg,mountain_32.jpg,bridge_66.jpg,golf_course_71.jpg,2,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,left,1.3588,0,4,4,4,1,playground_12.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_172.jpg,bridge_17.jpg,left,mountain_249.jpg,bridge_172.jpg,highway_319.jpg,badlands_219.jpg,playground_191.jpg,golf_course_72.jpg,1,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,right,2.3636,0,5,5,5,1,bridge_17.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_203.jpg,highway_294.jpg,right,highway_294.jpg,bridge_96.jpg,golf_course_308.jpg,badlands_214.jpg,mountain_251.jpg,playground_61.jpg,0,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,left,0.8759,0,6,6,6,1,highway_203.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_184.jpg,badlands_228.jpg,left,golf_course_226.jpg,highway_399.jpg,playground_30.jpg,badlands_184.jpg,bridge_63.jpg,mountain_76.jpg,3,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,right,1.0405,0,7,7,7,1,badlands_228.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_94.jpg,badlands_52.jpg,right,highway_141.jpg,mountain_35.jpg,golf_course_179.jpg,playground_49.jpg,badlands_52.jpg,bridge_218.jpg,4,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,right,1.3365,0,8,8,8,1,badlands_94.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_16.jpg,golf_course_309.jpg,right,golf_course_309.jpg,playground_39.jpg,highway_90.jpg,mountain_206.jpg,badlands_128.jpg,bridge_156.jpg,0,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,right,1.2469,0,9,9,9,1,golf_course_16.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_206.jpg,left,mountain_309.jpg,playground_248.jpg,highway_245.jpg,badlands_85.jpg,golf_course_202.jpg,bridge_228.jpg,2,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,right,1.18,0,10,10,10,1,highway_206.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_137.jpg,playground_144.jpg,right,bridge_212.jpg,playground_144.jpg,highway_288.jpg,mountain_29.jpg,badlands_104.jpg,golf_course_144.jpg,1,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,right,0.9572,0,11,11,11,1,playground_137.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_415.jpg,highway_60.jpg,left,golf_course_333.jpg,playground_176.jpg,bridge_143.jpg,highway_415.jpg,mountain_143.jpg,badlands_120.jpg,3,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,left,1.0135,0,12,12,12,1,highway_60.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_215.jpg,playground_257.jpg,right,highway_172.jpg,badlands_30.jpg,golf_course_105.jpg,mountain_294.jpg,playground_257.jpg,bridge_118.jpg,4,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,right,0.8837,0,13,13,13,1,playground_215.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_184.jpg,mountain_230.jpg,right,mountain_230.jpg,bridge_133.jpg,badlands_80.jpg,playground_124.jpg,highway_154.jpg,golf_course_300.jpg,0,A20BNAQO1XQDRG,48,male,8,2023-06-21_12h49.20.066,working,2022.2.4,Win32,8.064646204,,,left,0.5001,0,14,14,14,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
