key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,11.956,right,3.2189,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.8832,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.6993,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_278.jpg,highway_177.jpg,right,highway_177.jpg,golf_course_202.jpg,badlands_227.jpg,mountain_251.jpg,playground_103.jpg,bridge_238.jpg,0,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,space,5.7279,right,1.8077,0,0,0,0,1,highway_278.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_257.jpg,playground_215.jpg,left,playground_257.jpg,golf_course_269.jpg,mountain_268.jpg,highway_31.jpg,bridge_147.jpg,badlands_201.jpg,0,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,left,3.3593,0,1,1,1,1,playground_215.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,badlands_221.jpg,badlands_115.jpg,badlands_221.jpg,right,badlands_221.jpg,playground_241.jpg,golf_course_194.jpg,mountain_198.jpg,highway_29.jpg,bridge_112.jpg,0,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,right,1.8295,0,2,2,2,1,badlands_115.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_144.jpg,playground_65.jpg,left,golf_course_3.jpg,bridge_120.jpg,highway_154.jpg,playground_144.jpg,mountain_22.jpg,badlands_47.jpg,3,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,left,0.987,0,3,3,3,1,playground_65.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_331.jpg,golf_course_114.jpg,golf_course_331.jpg,right,mountain_169.jpg,badlands_217.jpg,golf_course_331.jpg,playground_195.jpg,highway_308.jpg,bridge_136.jpg,2,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,right,1.4243,0,4,4,4,1,golf_course_114.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_134.jpg,left,golf_course_78.jpg,badlands_216.jpg,mountain_51.jpg,highway_141.jpg,playground_126.jpg,bridge_193.jpg,0,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,left,2.5979,0,5,5,5,1,golf_course_134.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,mountain_57.jpg,mountain_57.jpg,mountain_138.jpg,left,highway_9.jpg,mountain_57.jpg,bridge_102.jpg,badlands_97.jpg,golf_course_305.jpg,playground_191.jpg,1,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,left,1.2539,0,6,6,6,1,mountain_138.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,highway_156.jpg,highway_160.jpg,highway_156.jpg,right,badlands_219.jpg,golf_course_328.jpg,highway_156.jpg,bridge_79.jpg,mountain_41.jpg,playground_141.jpg,2,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,right,1.6041,0,7,7,7,1,highway_160.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_95.jpg,mountain_154.jpg,right,playground_83.jpg,highway_193.jpg,badlands_173.jpg,golf_course_0.jpg,mountain_154.jpg,bridge_133.jpg,4,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,right,1.4782,0,8,8,8,1,mountain_95.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_121.jpg,bridge_146.jpg,right,badlands_138.jpg,golf_course_174.jpg,highway_191.jpg,bridge_146.jpg,mountain_43.jpg,playground_14.jpg,3,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,right,1.1907,0,9,9,9,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_223.jpg,left,playground_74.jpg,bridge_124.jpg,golf_course_241.jpg,mountain_110.jpg,badlands_79.jpg,highway_290.jpg,3,A2JDYN6QM8M5UN,29,Male,7.5,2023-06-21_09h52.34.925,working,2022.2.4,Win32,60.01680471,,,left,1.6346,0,10,10,10,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
