key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,49.578,right,10.37,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,,,,,,,,,,,,,,,,,,,,,
,,,right,2.716,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.665,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_12.jpg,left,badlands_120.jpg,highway_251.jpg,mountain_199.jpg,bridge_52.jpg,playground_10.jpg,golf_course_241.jpg,4,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,space,8.347,left,1.838,0,0,0,0,1,playground_12.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_156.jpg,highway_160.jpg,highway_156.jpg,right,playground_248.jpg,bridge_155.jpg,highway_156.jpg,mountain_62.jpg,badlands_47.jpg,golf_course_164.jpg,2,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,right,1.782,0,1,1,1,1,highway_160.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_202.jpg,bridge_31.jpg,left,golf_course_300.jpg,mountain_187.jpg,bridge_202.jpg,playground_78.jpg,badlands_156.jpg,highway_102.jpg,2,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,right,2.297,0,2,2,2,1,bridge_31.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_97.jpg,golf_course_15.jpg,right,mountain_309.jpg,bridge_20.jpg,golf_course_15.jpg,highway_290.jpg,playground_84.jpg,badlands_180.jpg,2,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,left,2.064,0,3,3,3,1,golf_course_97.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_134.jpg,left,playground_176.jpg,highway_245.jpg,mountain_35.jpg,badlands_9.jpg,golf_course_166.jpg,bridge_74.jpg,1,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,left,2.245,0,4,4,4,1,highway_134.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_65.jpg,bridge_181.jpg,bridge_65.jpg,right,badlands_16.jpg,highway_265.jpg,mountain_302.jpg,bridge_65.jpg,playground_195.jpg,golf_course_137.jpg,3,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,right,1.792,0,5,5,5,1,bridge_181.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_123.jpg,mountain_94.jpg,left,badlands_27.jpg,bridge_96.jpg,mountain_123.jpg,golf_course_226.jpg,playground_37.jpg,highway_342.jpg,2,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,left,2.095,0,6,6,6,1,mountain_94.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_294.jpg,highway_203.jpg,left,playground_162.jpg,highway_294.jpg,bridge_87.jpg,badlands_54.jpg,golf_course_212.jpg,mountain_180.jpg,1,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,right,2.33,0,7,7,7,1,highway_203.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_163.jpg,bridge_172.jpg,right,mountain_204.jpg,bridge_172.jpg,playground_74.jpg,highway_90.jpg,golf_course_328.jpg,badlands_129.jpg,1,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,left,1.298,0,8,8,8,1,bridge_163.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_209.jpg,highway_314.jpg,left,mountain_45.jpg,golf_course_219.jpg,bridge_140.jpg,badlands_216.jpg,highway_209.jpg,playground_39.jpg,4,A3VVCPYZROGGJZ,59,male,7,2023-06-21_10h41.52.315,working,2022.2.4,Win32,62.5,,,left,1.996,0,9,9,9,1,highway_314.jpg,0,highway,,,,,,,,,,,
