key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,11.7454,right,11.961,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.8227,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,,,,,,,,,,,,,,,,,,,,,
,,,left,3.2059,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bridge_108.jpg,bridge_108.jpg,bridge_116.jpg,left,highway_81.jpg,playground_49.jpg,mountain_202.jpg,bridge_108.jpg,golf_course_181.jpg,badlands_97.jpg,3,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,space,7.1664,left,1.246,0,0,0,0,1,bridge_116.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_293.jpg,mountain_72.jpg,left,mountain_293.jpg,bridge_76.jpg,highway_58.jpg,badlands_200.jpg,golf_course_138.jpg,playground_120.jpg,0,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,right,1.5917,0,1,1,1,1,mountain_72.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_206.jpg,highway_245.jpg,right,mountain_233.jpg,badlands_180.jpg,playground_15.jpg,golf_course_282.jpg,highway_245.jpg,bridge_197.jpg,4,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,left,3.8886,0,2,2,2,1,highway_206.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_63.jpg,badlands_52.jpg,right,mountain_206.jpg,badlands_52.jpg,playground_154.jpg,golf_course_269.jpg,bridge_124.jpg,highway_15.jpg,1,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,right,2.8493,0,3,3,3,1,badlands_63.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_102.jpg,badlands_70.jpg,right,playground_184.jpg,bridge_167.jpg,highway_274.jpg,mountain_38.jpg,badlands_70.jpg,golf_course_196.jpg,4,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,right,1.7004,0,4,4,4,1,badlands_102.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_93.jpg,highway_85.jpg,left,highway_93.jpg,playground_204.jpg,golf_course_305.jpg,bridge_66.jpg,badlands_16.jpg,mountain_43.jpg,0,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,right,2.0054,0,5,5,5,1,highway_85.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_130.jpg,golf_course_87.jpg,right,bridge_228.jpg,golf_course_87.jpg,highway_354.jpg,playground_26.jpg,badlands_170.jpg,mountain_41.jpg,1,ATW1TNWB1PVDQ,25,Male,8,2023-06-21_18h27.36.721,working,2022.2.4,Win32,9.534433607,,,right,1.0963,0,6,6,6,1,golf_course_130.jpg,0,golf,,,,,,,,,,,
