,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject,csv_path,demo_demo_accuracy,longest_response_strike,not_too_slow,not_too_Fast,0,1,2,qualified_binom,UPDATE-completed working memory test
0,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,3ZOTGHDK5OHR1EY5KOQGGCEE9B8OSJ,A245B3Q3BILZCL,Submitted,Sun Jun 25 10:21:37 PDT 2023,Sun Jun 25 10:39:20 PDT 2023,Sun Jul 02 10:39:20 PDT 2023,,,,1063,0% (0/0),0% (0/0),0% (0/0),tchcugsi,x,,A245B3Q3BILZCL_2023-06-25_13h28.32.072.csv,True,True,True,False,False,False,False,False,1
1,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,3UNH76FOCYB0XXP26E3S6UDAVVXYMY,A3KXQT51DR0ZS4,Submitted,Sun Jun 25 10:18:22 PDT 2023,Sun Jun 25 10:41:03 PDT 2023,Sun Jul 02 10:41:03 PDT 2023,,,,1361,0% (0/0),0% (0/0),0% (0/0),tchcugsi,x,,A3KXQT51DR0ZS4_2023-06-25_13h27.44.064.csv,True,True,True,True,False,False,False,False,1
2,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,3SPJ0334279AWPJH3HQ0Q2LTR12YJU,A2JGO9YCQFQ8CF,Submitted,Sun Jun 25 07:20:53 PDT 2023,Sun Jun 25 07:48:50 PDT 2023,Sun Jul 02 07:48:50 PDT 2023,,,,1677,0% (0/0),0% (0/0),0% (0/0),tchcugsi,x,,A2JGO9YCQFQ8CF_2023-06-25_10h33.02.330.csv,True,True,True,True,True,False,True,True,1
3,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,39KFRKBFIT1OX0AEJUI5YY2FQVCYOD,A12NDIK7C4TFPC,Submitted,Sun Jun 25 07:20:53 PDT 2023,Sun Jun 25 07:52:13 PDT 2023,Sun Jul 02 07:52:13 PDT 2023,,,,1880,50% (1/2),0% (0/0),0% (0/0),tchcugsi,x,,A12NDIK7C4TFPC_2023-06-25_10h33.00.478.csv,True,True,True,True,True,False,True,True,1
4,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,3CFJTT4SXZWVMU3AYQF01OMWAN5I72,A15QJT0CC8ADG,Submitted,Sun Jun 25 07:20:53 PDT 2023,Sun Jun 25 07:52:14 PDT 2023,Sun Jul 02 07:52:14 PDT 2023,,,,1881,0% (0/0),0% (0/0),0% (0/0),tchcugsi,x,,A15QJT0CC8ADG_2023-06-25_10h39.57.321.csv,True,True,True,False,False,False,False,False,1
5,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,3IO1LGZLKF3JTODS6UYHILSMCGG86L,AM38L58BYJEO3,Submitted,Sun Jun 25 07:20:52 PDT 2023,Sun Jun 25 07:53:02 PDT 2023,Sun Jul 02 07:53:02 PDT 2023,,,,1930,0% (0/0),0% (0/0),0% (0/0),tchcugsi,x,,AM38L58BYJEO3_2023-06-25_07h30.31.878.csv,True,True,True,True,True,False,True,True,1
6,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,3S0TNUHWKZOIEXS7GH6VOR2ET238DD,A1Y3JL53XAO7QV,Submitted,Sun Jun 25 10:21:06 PDT 2023,Sun Jun 25 10:55:12 PDT 2023,Sun Jul 02 10:55:12 PDT 2023,,,,2046,100% (1/1),0% (0/0),0% (0/0),tchcugsi,x,,A1Y3JL53XAO7QV_2023-06-25_13h44.01.167.csv,True,True,True,True,False,False,False,False,1
7,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,33FBRBDW6U5895MTGLBK4LKW82R8CD,A3E8GACA13UD1X,Submitted,Sun Jun 25 07:20:53 PDT 2023,Sun Jun 25 07:58:07 PDT 2023,Sun Jul 02 07:58:07 PDT 2023,,,,2234,100% (1/1),0% (0/0),0% (0/0),tchcugsi,x,,A3E8GACA13UD1X_2023-06-25_10h39.59.076.csv,True,True,True,False,False,False,False,False,1
8,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,3Z3ZLGNNSO0Q29Q69MHJX912WV03QL,AVX0V2ZLYQW3M,Submitted,Sun Jun 25 10:21:16 PDT 2023,Sun Jun 25 10:59:33 PDT 2023,Sun Jul 02 10:59:33 PDT 2023,,,,2297,100% (2/2),0% (0/0),0% (0/0),tchcugsi,,no results file was found on pavlovia servers,,,,,,,,,,1
9,3E24UO25R4WJSW2EN9ICRNMV6TRO6K,3OLW3VWEQ09BVTIEBFXG7SS5N4N24Z,Multi category working memory test,A short memory task in which you will be shown images and be asked to recognize them and then rate their similarity,"memory task, visual, encoding, similarity rating",$1.50,Sun Jun 25 07:20:38 PDT 2023,20,BatchId:5097255;OriginalHitTemplateId:920937340;,10800,604800,Sun Jul 02 07:20:38 PDT 2023,,,36U2A8VAG75579PZL2QCRHL66Q2YKT,A34ZJFQ9UCP1CR,Submitted,Sun Jun 25 10:21:26 PDT 2023,Sun Jun 25 10:59:47 PDT 2023,Sun Jul 02 10:59:47 PDT 2023,,,,2301,0% (0/0),0% (0/0),0% (0/0),tchcugsi,x,,A34ZJFQ9UCP1CR_2023-06-25_23h14.33.698.csv,True,True,True,True,False,False,False,False,1
