key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,20.17,left,1.249,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,
,,,right,2.686,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.436,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_223.jpg,left,bridge_76.jpg,highway_246.jpg,mountain_110.jpg,playground_118.jpg,badlands_125.jpg,golf_course_61.jpg,2,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,space,4.903,right,1.229,0,0,0,0,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_12.jpg,left,mountain_45.jpg,playground_10.jpg,highway_90.jpg,golf_course_3.jpg,bridge_45.jpg,badlands_201.jpg,1,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,left,2.104,0,1,1,1,1,playground_12.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_167.jpg,playground_117.jpg,right,badlands_217.jpg,bridge_1.jpg,highway_36.jpg,playground_117.jpg,golf_course_176.jpg,mountain_33.jpg,3,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,right,1.457,0,2,2,2,1,playground_167.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_394.jpg,highway_204.jpg,left,badlands_216.jpg,golf_course_328.jpg,mountain_206.jpg,bridge_126.jpg,highway_394.jpg,playground_227.jpg,4,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,left,1.278,0,3,3,3,1,highway_204.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_24.jpg,badlands_3.jpg,left,playground_249.jpg,golf_course_291.jpg,mountain_41.jpg,badlands_24.jpg,highway_404.jpg,bridge_20.jpg,3,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,left,2.351,0,4,4,4,1,badlands_3.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_268.jpg,playground_60.jpg,right,mountain_76.jpg,golf_course_116.jpg,badlands_227.jpg,playground_60.jpg,bridge_22.jpg,highway_58.jpg,3,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,right,2.324,0,5,5,5,1,playground_268.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_134.jpg,golf_course_78.jpg,right,mountain_187.jpg,golf_course_78.jpg,bridge_266.jpg,playground_84.jpg,highway_29.jpg,badlands_121.jpg,1,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,right,1.621,0,6,6,6,1,golf_course_134.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_215.jpg,playground_257.jpg,right,mountain_302.jpg,playground_257.jpg,highway_148.jpg,golf_course_194.jpg,bridge_86.jpg,badlands_9.jpg,1,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,left,1.801,0,7,7,7,1,playground_215.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,badlands_21.jpg,badlands_21.jpg,badlands_98.jpg,left,bridge_238.jpg,badlands_21.jpg,highway_154.jpg,mountain_152.jpg,golf_course_202.jpg,playground_124.jpg,1,A1Y3JL53XAO7QV,29,Male,8,2023-06-25_13h44.01.167,working,2022.2.4,Win32,10.66666667,,,left,2.51,0,8,8,8,1,badlands_98.jpg,1,badlands,,,,,,,,,,,
