key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,19.6158,right,7.7536,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,,,,,,,,,,,,,,,,,,,,,
,,,right,7.4798,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,,,,,,,,,,,,,,,,,,,,,
,,,left,10.159,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_134.jpg,left,golf_course_78.jpg,highway_30.jpg,badlands_81.jpg,bridge_147.jpg,mountain_176.jpg,playground_124.jpg,0,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,space,11.0873,left,29.043,0,0,0,0,1,golf_course_134.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_137.jpg,badlands_139.jpg,left,bridge_164.jpg,highway_33.jpg,playground_249.jpg,golf_course_174.jpg,badlands_137.jpg,mountain_137.jpg,4,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,left,7.0753,0,1,1,1,1,badlands_139.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_103.jpg,badlands_184.jpg,right,bridge_142.jpg,mountain_250.jpg,highway_178.jpg,badlands_184.jpg,golf_course_120.jpg,playground_15.jpg,3,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,right,6.2009,0,2,2,2,1,badlands_103.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_123.jpg,golf_course_193.jpg,right,mountain_187.jpg,highway_148.jpg,bridge_254.jpg,golf_course_193.jpg,badlands_121.jpg,playground_33.jpg,3,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,right,23.2045,0,3,3,3,1,golf_course_123.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_232.jpg,mountain_232.jpg,mountain_54.jpg,left,mountain_232.jpg,playground_30.jpg,golf_course_199.jpg,highway_53.jpg,badlands_215.jpg,bridge_106.jpg,0,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,left,18.3285,0,4,4,4,1,mountain_54.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_128.jpg,bridge_61.jpg,bridge_128.jpg,right,mountain_102.jpg,golf_course_194.jpg,bridge_128.jpg,highway_257.jpg,badlands_44.jpg,playground_85.jpg,2,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,right,2.3872,0,5,5,5,1,bridge_61.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_253.jpg,bridge_91.jpg,right,mountain_226.jpg,badlands_20.jpg,bridge_91.jpg,highway_399.jpg,playground_176.jpg,golf_course_238.jpg,2,A3J2XFG2QZQJA,38,male,8,2023-06-25_15h23.51.362,working,2022.2.4,Win32,13.10015065,,,right,14.0718,0,6,6,6,1,bridge_253.jpg,0,bridge,,,,,,,,,,,
