key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,2.3392,left,4.5824,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,,,,,,,,,,,,,,,,,,,,,
,,,left,2.105,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,,,,,,,,,,,,,,,,,,,,,
,,,right,5.2627,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_134.jpg,golf_course_78.jpg,right,bridge_143.jpg,badlands_213.jpg,playground_154.jpg,golf_course_78.jpg,highway_265.jpg,mountain_143.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,space,2.0128,left,1.6988,0,0,0,0,1,golf_course_134.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_394.jpg,highway_406.jpg,left,badlands_54.jpg,golf_course_305.jpg,bridge_124.jpg,mountain_33.jpg,highway_394.jpg,playground_195.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.528,0,1,1,1,1,highway_406.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_154.jpg,mountain_131.jpg,left,badlands_55.jpg,mountain_154.jpg,playground_246.jpg,golf_course_219.jpg,bridge_136.jpg,highway_30.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.3144,0,2,2,2,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_52.jpg,badlands_94.jpg,left,golf_course_176.jpg,highway_36.jpg,mountain_187.jpg,playground_222.jpg,badlands_52.jpg,bridge_164.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,2.2354,0,3,3,3,1,badlands_94.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_235.jpg,golf_course_193.jpg,right,golf_course_193.jpg,playground_63.jpg,bridge_22.jpg,highway_269.jpg,badlands_46.jpg,mountain_204.jpg,0,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.2141,0,4,4,4,1,golf_course_235.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_21.jpg,playground_219.jpg,right,playground_219.jpg,golf_course_137.jpg,bridge_204.jpg,mountain_92.jpg,highway_365.jpg,badlands_129.jpg,0,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,0.2103,0,5,5,5,1,playground_21.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_91.jpg,bridge_253.jpg,left,badlands_10.jpg,playground_47.jpg,mountain_38.jpg,bridge_91.jpg,highway_268.jpg,golf_course_221.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.1807,0,6,6,6,1,bridge_253.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_70.jpg,badlands_119.jpg,left,mountain_228.jpg,golf_course_226.jpg,playground_26.jpg,badlands_70.jpg,highway_42.jpg,bridge_112.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.4883,0,7,7,7,1,badlands_119.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_214.jpg,golf_course_312.jpg,golf_course_214.jpg,right,badlands_171.jpg,golf_course_214.jpg,playground_153.jpg,mountain_45.jpg,bridge_156.jpg,highway_31.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,0.9053,0,8,8,8,1,golf_course_312.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_15.jpg,golf_course_97.jpg,left,highway_354.jpg,badlands_59.jpg,playground_98.jpg,golf_course_15.jpg,bridge_45.jpg,mountain_88.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.1653,0,9,9,9,1,golf_course_97.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_87.jpg,golf_course_130.jpg,left,badlands_104.jpg,playground_33.jpg,mountain_34.jpg,bridge_87.jpg,golf_course_87.jpg,highway_399.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,0.2029,0,10,10,10,1,golf_course_130.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_137.jpg,badlands_139.jpg,left,playground_110.jpg,mountain_89.jpg,bridge_266.jpg,badlands_137.jpg,golf_course_120.jpg,highway_9.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,3.961,0,11,11,11,1,badlands_139.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_206.jpg,left,highway_245.jpg,golf_course_164.jpg,badlands_216.jpg,mountain_166.jpg,bridge_179.jpg,playground_42.jpg,0,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.3299,0,12,12,12,1,highway_206.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_87.jpg,left,badlands_180.jpg,golf_course_171.jpg,highway_177.jpg,playground_64.jpg,bridge_35.jpg,mountain_62.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,0.3835,0,13,13,13,1,highway_87.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_163.jpg,bridge_172.jpg,right,badlands_9.jpg,bridge_172.jpg,mountain_43.jpg,highway_319.jpg,golf_course_138.jpg,playground_251.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.7522,0,14,14,14,1,bridge_163.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_131.jpg,playground_164.jpg,left,mountain_102.jpg,bridge_20.jpg,golf_course_23.jpg,playground_131.jpg,badlands_185.jpg,highway_247.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,0.0999,0,15,15,15,1,playground_164.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_189.jpg,mountain_123.jpg,right,golf_course_199.jpg,mountain_123.jpg,badlands_157.jpg,bridge_68.jpg,highway_308.jpg,playground_258.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.9773,0,16,16,16,1,mountain_189.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_250.jpg,bridge_205.jpg,left,badlands_175.jpg,golf_course_313.jpg,bridge_250.jpg,highway_53.jpg,playground_54.jpg,mountain_233.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.643,0,17,17,17,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_223.jpg,left,mountain_110.jpg,bridge_180.jpg,highway_287.jpg,golf_course_144.jpg,badlands_44.jpg,playground_124.jpg,0,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.0393,0,18,18,18,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_23.jpg,badlands_101.jpg,left,bridge_64.jpg,golf_course_128.jpg,highway_251.jpg,mountain_190.jpg,badlands_23.jpg,playground_85.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,0.3986,0,19,19,19,1,badlands_101.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,playground_240.jpg,playground_240.jpg,playground_2.jpg,left,bridge_193.jpg,golf_course_61.jpg,mountain_294.jpg,badlands_164.jpg,playground_240.jpg,highway_257.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.765,0,20,20,20,1,playground_2.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_76.jpg,playground_22.jpg,left,mountain_135.jpg,bridge_1.jpg,golf_course_238.jpg,highway_191.jpg,playground_76.jpg,badlands_47.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.5412,0,21,21,21,1,playground_22.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_174.jpg,highway_415.jpg,right,bridge_228.jpg,highway_415.jpg,badlands_138.jpg,golf_course_102.jpg,playground_196.jpg,mountain_169.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.958,0,22,22,22,1,highway_174.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_293.jpg,mountain_47.jpg,left,mountain_293.jpg,golf_course_0.jpg,badlands_227.jpg,playground_30.jpg,highway_50.jpg,bridge_4.jpg,0,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,0.6109,0,23,23,23,1,mountain_47.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_57.jpg,mountain_57.jpg,mountain_193.jpg,left,badlands_30.jpg,golf_course_3.jpg,mountain_57.jpg,bridge_147.jpg,highway_107.jpg,playground_249.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.0357,0,24,24,24,1,mountain_193.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_273.jpg,highway_273.jpg,highway_384.jpg,left,golf_course_252.jpg,bridge_118.jpg,mountain_249.jpg,badlands_128.jpg,highway_273.jpg,playground_248.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.5743,0,25,25,25,1,highway_384.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_122.jpg,left,highway_17.jpg,badlands_81.jpg,playground_10.jpg,mountain_120.jpg,bridge_212.jpg,golf_course_253.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.2737,0,26,26,26,1,playground_122.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_368.jpg,highway_294.jpg,right,playground_181.jpg,highway_294.jpg,badlands_215.jpg,bridge_120.jpg,golf_course_71.jpg,mountain_40.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,6.535,0,27,27,27,1,highway_368.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_184.jpg,bridge_191.jpg,right,golf_course_282.jpg,playground_141.jpg,bridge_191.jpg,badlands_156.jpg,highway_81.jpg,mountain_146.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.4279,0,28,28,28,1,bridge_184.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_222.jpg,badlands_222.jpg,badlands_62.jpg,left,mountain_180.jpg,golf_course_218.jpg,badlands_222.jpg,playground_191.jpg,bridge_96.jpg,highway_147.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,3.239,0,29,29,29,1,badlands_62.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,playground_145.jpg,playground_145.jpg,playground_229.jpg,left,playground_145.jpg,golf_course_72.jpg,bridge_62.jpg,highway_335.jpg,mountain_251.jpg,badlands_166.jpg,0,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.6544,0,30,30,30,1,playground_229.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_331.jpg,golf_course_26.jpg,golf_course_331.jpg,right,bridge_218.jpg,golf_course_331.jpg,mountain_250.jpg,badlands_27.jpg,highway_83.jpg,playground_132.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,0.5857,0,31,31,31,1,golf_course_26.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_101.jpg,mountain_221.jpg,left,badlands_201.jpg,mountain_101.jpg,playground_140.jpg,golf_course_181.jpg,highway_404.jpg,bridge_254.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.4088,0,32,32,32,1,mountain_221.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,highway_359.jpg,highway_359.jpg,highway_389.jpg,left,bridge_152.jpg,highway_359.jpg,golf_course_342.jpg,mountain_206.jpg,playground_176.jpg,badlands_120.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.9431,0,33,33,33,1,highway_389.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_230.jpg,mountain_97.jpg,left,highway_172.jpg,playground_84.jpg,golf_course_55.jpg,mountain_230.jpg,bridge_142.jpg,badlands_35.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.9649,0,34,34,34,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_221.jpg,badlands_115.jpg,badlands_221.jpg,right,golf_course_269.jpg,bridge_24.jpg,playground_39.jpg,badlands_221.jpg,mountain_307.jpg,highway_18.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.4706,0,35,35,35,1,badlands_115.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_232.jpg,mountain_232.jpg,mountain_3.jpg,left,playground_68.jpg,highway_78.jpg,bridge_238.jpg,mountain_232.jpg,golf_course_33.jpg,badlands_72.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,0.3204,0,36,36,36,1,mountain_3.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_113.jpg,badlands_203.jpg,left,highway_138.jpg,bridge_224.jpg,mountain_137.jpg,badlands_113.jpg,playground_103.jpg,golf_course_179.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,0.0084,0,37,37,37,1,badlands_203.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_188.jpg,golf_course_160.jpg,left,badlands_170.jpg,bridge_106.jpg,highway_28.jpg,golf_course_188.jpg,mountain_51.jpg,playground_241.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.4074,0,38,38,38,1,golf_course_160.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_121.jpg,bridge_146.jpg,right,golf_course_241.jpg,badlands_217.jpg,playground_74.jpg,mountain_302.jpg,bridge_146.jpg,highway_313.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.7778,0,39,39,39,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_31.jpg,bridge_202.jpg,right,mountain_35.jpg,playground_7.jpg,bridge_202.jpg,highway_288.jpg,golf_course_265.jpg,badlands_6.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,1.6281,0,40,40,40,1,bridge_31.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_217.jpg,golf_course_35.jpg,left,badlands_105.jpg,highway_274.jpg,golf_course_217.jpg,bridge_158.jpg,mountain_202.jpg,playground_165.jpg,2,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,2.3767,0,41,41,41,1,golf_course_35.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_244.jpg,mountain_222.jpg,right,mountain_222.jpg,golf_course_42.jpg,playground_15.jpg,bridge_173.jpg,highway_246.jpg,badlands_97.jpg,0,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.9171,0,42,42,42,1,mountain_244.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_60.jpg,playground_244.jpg,left,playground_60.jpg,golf_course_127.jpg,highway_102.jpg,bridge_86.jpg,mountain_226.jpg,badlands_200.jpg,0,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,right,2.3797,0,43,43,43,1,playground_244.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_156.jpg,highway_293.jpg,highway_156.jpg,right,golf_course_196.jpg,bridge_74.jpg,badlands_219.jpg,mountain_306.jpg,highway_156.jpg,playground_37.jpg,4,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.7577,0,44,44,44,1,highway_293.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_257.jpg,playground_214.jpg,left,highway_413.jpg,golf_course_333.jpg,badlands_106.jpg,playground_257.jpg,mountain_277.jpg,bridge_197.jpg,3,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,5.0724,0,45,45,45,1,playground_214.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_122.jpg,highway_209.jpg,right,badlands_33.jpg,highway_209.jpg,golf_course_291.jpg,playground_233.jpg,mountain_309.jpg,bridge_76.jpg,1,A3KXQT51DR0ZS4,30,MALE,8,2023-06-25_13h27.44.064,working,2022.2.4,Win32,12.71471983,,,left,1.3723,0,46,46,46,1,highway_122.jpg,1,highway,,,,,,,,,,,
