key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,19.3793,left,7.7462,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,,,,,,,,,,,,,,,,,,,,,
,,,left,4.5044,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,,,,,,,,,,,,,,,,,,,,,
,,,left,3.725,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,playground_240.jpg,playground_240.jpg,playground_40.jpg,left,golf_course_313.jpg,highway_101.jpg,playground_240.jpg,mountain_233.jpg,bridge_180.jpg,badlands_20.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,space,20.3766,left,3.1164,0,0,0,0,1,playground_40.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_228.jpg,badlands_184.jpg,right,mountain_45.jpg,badlands_184.jpg,highway_31.jpg,bridge_204.jpg,golf_course_23.jpg,playground_153.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,4.1223,0,1,1,1,1,badlands_228.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_217.jpg,golf_course_262.jpg,left,playground_256.jpg,golf_course_217.jpg,badlands_227.jpg,bridge_45.jpg,mountain_91.jpg,highway_81.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,2.7435,0,2,2,2,1,golf_course_262.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_113.jpg,badlands_225.jpg,left,playground_42.jpg,highway_53.jpg,badlands_113.jpg,golf_course_307.jpg,bridge_102.jpg,mountain_176.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,2.6145,0,3,3,3,1,badlands_225.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_257.jpg,playground_214.jpg,left,mountain_29.jpg,playground_257.jpg,highway_247.jpg,bridge_266.jpg,golf_course_61.jpg,badlands_180.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,2.6051,0,4,4,4,1,playground_214.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_101.jpg,badlands_23.jpg,right,mountain_268.jpg,golf_course_127.jpg,highway_313.jpg,badlands_23.jpg,bridge_63.jpg,playground_54.jpg,3,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,1.9782,0,5,5,5,1,badlands_101.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_184.jpg,mountain_230.jpg,right,badlands_85.jpg,golf_course_42.jpg,highway_178.jpg,mountain_230.jpg,playground_47.jpg,bridge_144.jpg,3,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,4.9777,0,6,6,6,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_235.jpg,golf_course_193.jpg,right,playground_61.jpg,mountain_256.jpg,badlands_219.jpg,golf_course_193.jpg,bridge_4.jpg,highway_193.jpg,3,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,3.9788,0,7,7,7,1,golf_course_235.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_123.jpg,mountain_189.jpg,left,badlands_125.jpg,mountain_123.jpg,golf_course_166.jpg,highway_335.jpg,bridge_147.jpg,playground_26.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,2.3993,0,8,8,8,1,mountain_189.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_108.jpg,bridge_116.jpg,bridge_108.jpg,right,badlands_97.jpg,highway_251.jpg,playground_64.jpg,mountain_251.jpg,bridge_108.jpg,golf_course_72.jpg,4,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,2.1531,0,9,9,9,1,bridge_116.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_128.jpg,bridge_128.jpg,bridge_244.jpg,left,highway_3.jpg,playground_55.jpg,bridge_128.jpg,mountain_32.jpg,golf_course_71.jpg,badlands_156.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,9.5126,0,10,10,10,1,bridge_244.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_101.jpg,golf_course_78.jpg,right,golf_course_78.jpg,bridge_120.jpg,badlands_16.jpg,mountain_294.jpg,playground_162.jpg,highway_308.jpg,0,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,1.7907,0,11,11,11,1,golf_course_101.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_76.jpg,playground_22.jpg,left,highway_37.jpg,badlands_157.jpg,playground_76.jpg,mountain_160.jpg,bridge_76.jpg,golf_course_128.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,4.7941,0,12,12,12,1,playground_22.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_146.jpg,bridge_27.jpg,left,badlands_9.jpg,playground_176.jpg,bridge_146.jpg,highway_138.jpg,mountain_290.jpg,golf_course_162.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,5.0207,0,13,13,13,1,bridge_27.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_202.jpg,bridge_31.jpg,left,badlands_201.jpg,mountain_135.jpg,bridge_202.jpg,highway_290.jpg,playground_154.jpg,golf_course_144.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,5.3182,0,14,14,14,1,bridge_31.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_15.jpg,golf_course_97.jpg,left,bridge_140.jpg,golf_course_15.jpg,mountain_190.jpg,playground_124.jpg,highway_365.jpg,badlands_30.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,3.9961,0,15,15,15,1,golf_course_97.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_53.jpg,badlands_24.jpg,right,mountain_277.jpg,playground_103.jpg,badlands_24.jpg,golf_course_265.jpg,highway_148.jpg,bridge_74.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,3.8706,0,16,16,16,1,badlands_53.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_137.jpg,badlands_139.jpg,left,golf_course_133.jpg,bridge_110.jpg,mountain_43.jpg,highway_305.jpg,badlands_137.jpg,playground_85.jpg,4,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,2.4714,0,17,17,17,1,badlands_139.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_16.jpg,golf_course_309.jpg,right,bridge_126.jpg,golf_course_309.jpg,highway_102.jpg,badlands_47.jpg,mountain_206.jpg,playground_15.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,4.4885,0,18,18,18,1,golf_course_16.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_268.jpg,playground_60.jpg,right,golf_course_137.jpg,playground_60.jpg,badlands_166.jpg,highway_154.jpg,mountain_151.jpg,bridge_79.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,2.8981,0,19,19,19,1,playground_268.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,badlands_222.jpg,badlands_222.jpg,badlands_62.jpg,left,playground_63.jpg,golf_course_41.jpg,bridge_22.jpg,mountain_226.jpg,badlands_222.jpg,highway_33.jpg,4,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,3.2946,0,20,20,20,1,badlands_62.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_172.jpg,bridge_163.jpg,left,golf_course_291.jpg,mountain_126.jpg,bridge_172.jpg,highway_288.jpg,badlands_170.jpg,playground_249.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,2.7301,0,21,21,21,1,bridge_163.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_219.jpg,playground_21.jpg,left,mountain_89.jpg,badlands_211.jpg,golf_course_164.jpg,bridge_164.jpg,playground_219.jpg,highway_265.jpg,4,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,3.3406,0,22,22,22,1,playground_21.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_331.jpg,golf_course_331.jpg,golf_course_26.jpg,left,golf_course_331.jpg,mountain_307.jpg,playground_118.jpg,badlands_138.jpg,highway_199.jpg,bridge_224.jpg,0,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,1.7548,0,23,23,23,1,golf_course_26.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_203.jpg,highway_294.jpg,right,highway_294.jpg,bridge_179.jpg,golf_course_179.jpg,playground_140.jpg,badlands_79.jpg,mountain_192.jpg,0,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,4.1613,0,24,24,24,1,highway_203.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_91.jpg,bridge_82.jpg,left,playground_33.jpg,mountain_92.jpg,highway_28.jpg,badlands_152.jpg,bridge_91.jpg,golf_course_238.jpg,4,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,3.2578,0,25,25,25,1,bridge_82.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_75.jpg,bridge_191.jpg,right,bridge_191.jpg,golf_course_59.jpg,badlands_6.jpg,mountain_35.jpg,playground_50.jpg,highway_295.jpg,0,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,2.635,0,26,26,26,1,bridge_75.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_21.jpg,badlands_21.jpg,badlands_1.jpg,left,highway_315.jpg,bridge_39.jpg,mountain_34.jpg,badlands_21.jpg,golf_course_269.jpg,playground_83.jpg,3,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,3.6415,0,27,27,27,1,badlands_1.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_164.jpg,playground_131.jpg,right,golf_course_316.jpg,bridge_173.jpg,playground_131.jpg,mountain_40.jpg,badlands_80.jpg,highway_76.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,3.7744,0,28,28,28,1,playground_164.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_127.jpg,playground_117.jpg,right,badlands_26.jpg,golf_course_194.jpg,highway_15.jpg,bridge_156.jpg,playground_117.jpg,mountain_212.jpg,4,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,2.9664,0,29,29,29,1,playground_127.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_93.jpg,mountain_222.jpg,right,mountain_222.jpg,playground_36.jpg,bridge_106.jpg,golf_course_219.jpg,highway_383.jpg,badlands_213.jpg,0,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,3.9222,0,30,30,30,1,mountain_93.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_87.jpg,golf_course_130.jpg,left,badlands_81.jpg,golf_course_87.jpg,mountain_249.jpg,bridge_52.jpg,highway_257.jpg,playground_191.jpg,1,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,5.8797,0,31,31,31,1,golf_course_130.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_122.jpg,left,golf_course_288.jpg,bridge_1.jpg,highway_147.jpg,playground_10.jpg,mountain_62.jpg,badlands_55.jpg,3,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,4.9777,0,32,32,32,1,playground_122.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_206.jpg,left,bridge_96.jpg,playground_14.jpg,highway_245.jpg,badlands_183.jpg,mountain_152.jpg,golf_course_218.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,left,3.18,0,33,33,33,1,highway_206.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_70.jpg,badlands_102.jpg,badlands_70.jpg,right,golf_course_252.jpg,playground_258.jpg,badlands_70.jpg,bridge_86.jpg,mountain_146.jpg,highway_17.jpg,2,AOMYFDVVIRWN2,45,male,7,2023-06-25_10h46.46.308,working,2022.2.4,Win32,12.72183703,,,right,1.9396,0,34,34,34,1,badlands_102.jpg,0,badlands,,,,,,,,,,,
