key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,58.0943,right,3.3851,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.8918,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.5166,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_154.jpg,mountain_95.jpg,left,highway_257.jpg,badlands_150.jpg,golf_course_333.jpg,bridge_173.jpg,mountain_154.jpg,playground_49.jpg,4,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,space,1.8162,right,1.6447,0,0,0,0,1,mountain_95.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_94.jpg,mountain_123.jpg,right,bridge_204.jpg,golf_course_238.jpg,badlands_175.jpg,playground_251.jpg,mountain_123.jpg,highway_265.jpg,4,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.288,0,1,1,1,1,mountain_94.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_415.jpg,highway_174.jpg,highway_415.jpg,right,mountain_35.jpg,badlands_35.jpg,golf_course_305.jpg,highway_415.jpg,bridge_152.jpg,playground_7.jpg,3,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.3782,0,2,2,2,1,highway_174.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,playground_144.jpg,playground_137.jpg,playground_144.jpg,right,highway_191.jpg,playground_144.jpg,bridge_63.jpg,mountain_204.jpg,golf_course_176.jpg,badlands_152.jpg,1,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.4022,0,3,3,3,1,playground_137.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,playground_240.jpg,playground_240.jpg,playground_40.jpg,left,playground_240.jpg,highway_3.jpg,mountain_290.jpg,bridge_22.jpg,golf_course_291.jpg,badlands_33.jpg,0,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.8359,0,4,4,4,1,playground_40.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_110.jpg,mountain_157.jpg,left,playground_173.jpg,highway_313.jpg,golf_course_221.jpg,bridge_39.jpg,mountain_110.jpg,badlands_67.jpg,4,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,2.1582,0,5,5,5,1,mountain_157.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_244.jpg,playground_60.jpg,right,badlands_185.jpg,highway_268.jpg,golf_course_33.jpg,mountain_41.jpg,playground_60.jpg,bridge_1.jpg,4,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,left,1.4275,0,6,6,6,1,playground_244.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_17.jpg,bridge_172.jpg,right,badlands_215.jpg,playground_184.jpg,highway_147.jpg,golf_course_282.jpg,bridge_172.jpg,mountain_126.jpg,4,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,left,3.1569,0,7,7,7,1,bridge_17.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_53.jpg,badlands_24.jpg,right,highway_30.jpg,playground_241.jpg,badlands_24.jpg,golf_course_313.jpg,mountain_302.jpg,bridge_96.jpg,2,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.3222,0,8,8,8,1,badlands_53.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,highway_273.jpg,highway_273.jpg,highway_384.jpg,left,mountain_253.jpg,highway_273.jpg,badlands_180.jpg,playground_15.jpg,golf_course_179.jpg,bridge_224.jpg,1,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,left,5.1408,0,9,9,9,1,highway_384.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_63.jpg,badlands_52.jpg,right,playground_153.jpg,highway_288.jpg,bridge_212.jpg,golf_course_269.jpg,badlands_52.jpg,mountain_89.jpg,4,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.702,0,10,10,10,1,badlands_63.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_203.jpg,highway_294.jpg,right,badlands_200.jpg,playground_16.jpg,mountain_277.jpg,golf_course_41.jpg,highway_294.jpg,bridge_266.jpg,4,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.6302,0,11,11,11,1,highway_203.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,bridge_108.jpg,bridge_108.jpg,bridge_116.jpg,left,highway_37.jpg,playground_68.jpg,golf_course_308.jpg,bridge_108.jpg,badlands_47.jpg,mountain_38.jpg,3,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.6725,0,12,12,12,1,bridge_116.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_156.jpg,mountain_156.jpg,mountain_295.jpg,left,mountain_156.jpg,bridge_62.jpg,highway_365.jpg,playground_162.jpg,golf_course_144.jpg,badlands_173.jpg,0,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,2.4605,0,13,13,13,1,mountain_295.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,highway_177.jpg,highway_177.jpg,highway_87.jpg,left,bridge_254.jpg,highway_177.jpg,playground_6.jpg,golf_course_219.jpg,badlands_122.jpg,mountain_180.jpg,1,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,left,3.0015,0,14,14,14,1,highway_87.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_188.jpg,golf_course_157.jpg,left,badlands_16.jpg,highway_251.jpg,golf_course_188.jpg,playground_74.jpg,bridge_72.jpg,mountain_34.jpg,2,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.4332,0,15,15,15,1,golf_course_157.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_214.jpg,golf_course_317.jpg,golf_course_214.jpg,right,highway_199.jpg,badlands_9.jpg,bridge_169.jpg,golf_course_214.jpg,mountain_88.jpg,playground_103.jpg,3,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,4.5884,0,16,16,16,1,golf_course_317.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_193.jpg,golf_course_235.jpg,left,golf_course_193.jpg,badlands_214.jpg,bridge_79.jpg,highway_247.jpg,mountain_187.jpg,playground_126.jpg,0,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,0.5782,0,17,17,17,1,golf_course_235.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_309.jpg,golf_course_209.jpg,left,golf_course_309.jpg,mountain_192.jpg,bridge_179.jpg,highway_308.jpg,badlands_157.jpg,playground_98.jpg,0,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,1.5252,0,18,18,18,1,golf_course_209.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_194.jpg,badlands_137.jpg,right,badlands_137.jpg,playground_181.jpg,mountain_45.jpg,golf_course_241.jpg,bridge_140.jpg,highway_246.jpg,0,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,6.8155,0,19,19,19,1,badlands_194.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_219.jpg,playground_205.jpg,left,highway_413.jpg,bridge_156.jpg,golf_course_0.jpg,mountain_19.jpg,playground_219.jpg,badlands_213.jpg,4,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,left,2.5046,0,20,20,20,1,playground_205.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_206.jpg,highway_245.jpg,right,playground_132.jpg,golf_course_72.jpg,highway_245.jpg,badlands_211.jpg,bridge_133.jpg,mountain_120.jpg,2,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,5.6452,0,21,21,21,1,highway_206.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,bridge_256.jpg,bridge_211.jpg,bridge_256.jpg,right,golf_course_23.jpg,badlands_88.jpg,highway_290.jpg,bridge_256.jpg,playground_84.jpg,mountain_92.jpg,3,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,4.0421,0,22,22,22,1,bridge_211.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,playground_117.jpg,playground_127.jpg,playground_117.jpg,right,mountain_268.jpg,bridge_45.jpg,badlands_27.jpg,playground_117.jpg,golf_course_297.jpg,highway_81.jpg,3,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,2.1348,0,23,23,23,1,playground_127.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,playground_257.jpg,playground_215.jpg,playground_257.jpg,right,badlands_171.jpg,mountain_206.jpg,highway_18.jpg,playground_257.jpg,bridge_167.jpg,golf_course_164.jpg,3,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,left,2.4147,0,24,24,24,1,playground_215.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_12.jpg,playground_10.jpg,right,golf_course_67.jpg,playground_10.jpg,bridge_106.jpg,highway_78.jpg,badlands_128.jpg,mountain_307.jpg,1,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,left,1.9024,0,25,25,25,1,playground_12.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_114.jpg,badlands_23.jpg,right,highway_29.jpg,bridge_180.jpg,playground_37.jpg,badlands_23.jpg,golf_course_218.jpg,mountain_40.jpg,3,ABV359QT1HYRO,25,Male,8,2023-06-26_12h22.08.756,working,2022.2.4,Win32,13.10942437,,,right,0.8811,0,26,26,26,1,badlands_114.jpg,0,badlands,,,,,,,,,,,
