target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,background_4,background_5,target_index
badlands_113.jpg,badlands_225.jpg,0,badlands_225.jpg,badlands_113.jpg,right,badlands,mountain_204.jpg,badlands_113.jpg,golf_course_176.jpg,highway_154.jpg,bridge_86.jpg,playground_241.jpg,1
badlands_222.jpg,badlands_62.jpg,1,badlands_62.jpg,badlands_222.jpg,right,badlands,badlands_222.jpg,highway_268.jpg,bridge_96.jpg,playground_181.jpg,golf_course_342.jpg,mountain_306.jpg,0
highway_359.jpg,highway_379.jpg,1,highway_379.jpg,highway_359.jpg,right,highway,golf_course_218.jpg,highway_359.jpg,playground_50.jpg,mountain_151.jpg,badlands_47.jpg,bridge_169.jpg,1
mountain_222.jpg,mountain_93.jpg,1,mountain_93.jpg,mountain_222.jpg,right,mountain,mountain_222.jpg,bridge_155.jpg,badlands_217.jpg,highway_147.jpg,golf_course_0.jpg,playground_61.jpg,0
bridge_172.jpg,bridge_163.jpg,1,bridge_172.jpg,bridge_163.jpg,left,bridge,bridge_172.jpg,golf_course_338.jpg,highway_141.jpg,badlands_213.jpg,playground_14.jpg,mountain_135.jpg,0
playground_145.jpg,playground_242.jpg,1,playground_145.jpg,playground_242.jpg,left,playground,highway_30.jpg,mountain_160.jpg,golf_course_307.jpg,bridge_142.jpg,playground_145.jpg,badlands_152.jpg,4
highway_245.jpg,highway_206.jpg,1,highway_206.jpg,highway_245.jpg,right,highway,highway_245.jpg,mountain_290.jpg,badlands_157.jpg,bridge_63.jpg,playground_191.jpg,golf_course_137.jpg,0
mountain_293.jpg,mountain_47.jpg,1,mountain_293.jpg,mountain_47.jpg,left,mountain,mountain_293.jpg,bridge_173.jpg,highway_226.jpg,golf_course_3.jpg,badlands_170.jpg,playground_126.jpg,0
bridge_146.jpg,bridge_27.jpg,0,bridge_27.jpg,bridge_146.jpg,right,bridge,highway_29.jpg,badlands_26.jpg,bridge_146.jpg,golf_course_56.jpg,mountain_137.jpg,playground_153.jpg,2
playground_257.jpg,playground_214.jpg,0,playground_257.jpg,playground_214.jpg,left,playground,playground_257.jpg,bridge_218.jpg,badlands_72.jpg,mountain_176.jpg,golf_course_196.jpg,highway_191.jpg,0
mountain_230.jpg,mountain_97.jpg,1,mountain_97.jpg,mountain_230.jpg,right,mountain,highway_287.jpg,mountain_230.jpg,bridge_266.jpg,golf_course_300.jpg,badlands_201.jpg,playground_84.jpg,1
playground_10.jpg,playground_122.jpg,0,playground_10.jpg,playground_122.jpg,left,playground,highway_37.jpg,mountain_249.jpg,golf_course_202.jpg,badlands_138.jpg,playground_10.jpg,bridge_64.jpg,4
highway_177.jpg,highway_87.jpg,0,highway_87.jpg,highway_177.jpg,right,highway,highway_177.jpg,badlands_67.jpg,golf_course_144.jpg,bridge_120.jpg,mountain_40.jpg,playground_246.jpg,0
badlands_21.jpg,badlands_1.jpg,0,badlands_1.jpg,badlands_21.jpg,right,badlands,badlands_21.jpg,highway_313.jpg,golf_course_305.jpg,playground_118.jpg,mountain_228.jpg,bridge_68.jpg,0
