key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,10.0544,left,1.1981,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.6262,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1.2446,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_184.jpg,bridge_191.jpg,right,bridge_191.jpg,mountain_38.jpg,golf_course_73.jpg,badlands_45.jpg,playground_16.jpg,playground_16.jpg,0,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,space,5.3839,left,1.5133,0,0,0,0,1,bridge_184.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_91.jpg,bridge_91.jpg,bridge_253.jpg,left,golf_course_210.jpg,bridge_91.jpg,highway_58.jpg,playground_207.jpg,mountain_135.jpg,mountain_135.jpg,1,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,0.9185,0,1,1,1,1,bridge_253.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_52.jpg,badlands_63.jpg,badlands_52.jpg,right,highway_239.jpg,badlands_52.jpg,playground_160.jpg,mountain_103.jpg,golf_course_126.jpg,golf_course_126.jpg,1,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.4101,0,2,2,2,1,badlands_63.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_24.jpg,badlands_24.jpg,badlands_53.jpg,left,badlands_24.jpg,playground_172.jpg,highway_284.jpg,golf_course_333.jpg,bridge_170.jpg,bridge_170.jpg,0,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.347,0,3,3,3,1,badlands_53.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,playground_219.jpg,playground_219.jpg,playground_205.jpg,left,mountain_139.jpg,highway_215.jpg,bridge_2.jpg,playground_219.jpg,golf_course_37.jpg,golf_course_37.jpg,3,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,left,1.5053,0,4,4,4,1,playground_205.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,highway_93.jpg,highway_369.jpg,highway_93.jpg,right,golf_course_294.jpg,playground_169.jpg,highway_93.jpg,badlands_209.jpg,mountain_275.jpg,mountain_275.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.8099,0,5,5,5,1,highway_369.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,highway_394.jpg,highway_204.jpg,highway_394.jpg,right,playground_168.jpg,badlands_223.jpg,mountain_294.jpg,highway_394.jpg,bridge_103.jpg,bridge_103.jpg,3,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.1248,0,6,6,6,1,highway_204.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_314.jpg,highway_209.jpg,right,highway_209.jpg,golf_course_292.jpg,playground_212.jpg,mountain_143.jpg,badlands_183.jpg,badlands_183.jpg,0,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.0999,0,7,7,7,1,highway_314.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_293.jpg,mountain_72.jpg,left,mountain_293.jpg,bridge_233.jpg,badlands_152.jpg,playground_225.jpg,golf_course_29.jpg,golf_course_29.jpg,0,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,left,1.378,0,8,8,8,1,mountain_72.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_38.jpg,bridge_202.jpg,right,golf_course_165.jpg,badlands_30.jpg,bridge_202.jpg,playground_41.jpg,highway_141.jpg,highway_141.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.1626,0,9,9,9,1,bridge_38.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_128.jpg,bridge_128.jpg,bridge_61.jpg,left,golf_course_221.jpg,bridge_128.jpg,highway_241.jpg,playground_243.jpg,badlands_86.jpg,badlands_86.jpg,1,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,left,1.6233,0,10,10,10,1,bridge_61.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_121.jpg,bridge_146.jpg,right,highway_114.jpg,bridge_146.jpg,golf_course_279.jpg,badlands_65.jpg,playground_61.jpg,playground_61.jpg,1,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.4189,0,11,11,11,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_294.jpg,highway_203.jpg,left,mountain_195.jpg,highway_294.jpg,playground_111.jpg,badlands_104.jpg,golf_course_146.jpg,golf_course_146.jpg,1,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,left,1.2797,0,12,12,12,1,highway_203.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_222.jpg,mountain_244.jpg,left,golf_course_54.jpg,highway_220.jpg,mountain_222.jpg,bridge_78.jpg,playground_13.jpg,playground_13.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.1145,0,13,13,13,1,mountain_244.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,playground_10.jpg,playground_10.jpg,playground_12.jpg,left,golf_course_8.jpg,playground_10.jpg,badlands_132.jpg,mountain_37.jpg,highway_295.jpg,highway_295.jpg,1,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,left,1.3826,0,14,14,14,1,playground_12.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_209.jpg,golf_course_309.jpg,right,mountain_296.jpg,highway_2.jpg,bridge_165.jpg,golf_course_309.jpg,badlands_84.jpg,badlands_84.jpg,3,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,0.9065,0,15,15,15,1,golf_course_209.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_157.jpg,mountain_110.jpg,right,badlands_179.jpg,bridge_139.jpg,mountain_110.jpg,playground_190.jpg,highway_57.jpg,highway_57.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,left,0.7956,0,16,16,16,1,mountain_157.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_21.jpg,badlands_21.jpg,badlands_1.jpg,left,mountain_59.jpg,bridge_173.jpg,badlands_21.jpg,highway_330.jpg,playground_114.jpg,playground_114.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,0.6981,0,17,17,17,1,badlands_1.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_131.jpg,mountain_154.jpg,right,playground_152.jpg,bridge_176.jpg,mountain_154.jpg,golf_course_148.jpg,highway_342.jpg,highway_342.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,left,0.9224,0,18,18,18,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_15.jpg,golf_course_97.jpg,golf_course_15.jpg,right,highway_259.jpg,badlands_71.jpg,golf_course_15.jpg,bridge_90.jpg,mountain_255.jpg,mountain_255.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,0.8337,0,19,19,19,1,golf_course_97.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_17.jpg,bridge_172.jpg,right,golf_course_88.jpg,badlands_227.jpg,bridge_172.jpg,mountain_70.jpg,highway_100.jpg,highway_100.jpg,2,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,left,0.7251,0,20,20,20,1,bridge_17.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_331.jpg,golf_course_331.jpg,golf_course_114.jpg,left,playground_54.jpg,bridge_203.jpg,highway_195.jpg,golf_course_331.jpg,mountain_233.jpg,mountain_233.jpg,3,A1HUQ7QA5QWM5Q,35,female,8,2023-06-27_10h25.51.494,working,2022.2.4,Win32,10.78771926,,,right,1.1121,0,21,21,21,1,golf_course_114.jpg,0,golf,,,,,,,,,,,
