key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,78.6127,left,120.1686,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,,,,,,,,,,,,,,,,,,,,,
,,,right,19.1494,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,,,,,,,,,,,,,,,,,,,,,
,,,left,3.2132,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,golf_course_193.jpg,golf_course_123.jpg,golf_course_193.jpg,right,mountain_23.jpg,playground_105.jpg,golf_course_193.jpg,badlands_209.jpg,bridge_23.jpg,bridge_23.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,space,31.2632,right,8.2413,0,0,0,0,1,golf_course_123.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,playground_76.jpg,playground_76.jpg,playground_22.jpg,left,playground_76.jpg,badlands_44.jpg,bridge_245.jpg,golf_course_133.jpg,highway_326.jpg,highway_326.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,8.0566,0,1,1,1,1,playground_22.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,mountain_156.jpg,mountain_156.jpg,mountain_128.jpg,left,mountain_156.jpg,golf_course_126.jpg,highway_210.jpg,playground_181.jpg,bridge_125.jpg,bridge_125.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,11.7436,0,2,2,2,1,mountain_128.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_95.jpg,mountain_154.jpg,right,badlands_205.jpg,highway_200.jpg,golf_course_196.jpg,mountain_154.jpg,playground_152.jpg,playground_152.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,7.6058,0,3,3,3,1,mountain_95.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_184.jpg,mountain_230.jpg,right,mountain_230.jpg,badlands_152.jpg,playground_96.jpg,highway_263.jpg,bridge_166.jpg,bridge_166.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,5.0077,0,4,4,4,1,mountain_184.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,golf_course_188.jpg,golf_course_157.jpg,golf_course_188.jpg,right,highway_88.jpg,golf_course_188.jpg,mountain_243.jpg,badlands_201.jpg,playground_4.jpg,playground_4.jpg,1,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,3.6131,0,5,5,5,1,golf_course_157.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_250.jpg,bridge_205.jpg,bridge_250.jpg,right,bridge_250.jpg,mountain_126.jpg,badlands_223.jpg,playground_121.jpg,highway_103.jpg,highway_103.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,4.6158,0,6,6,6,1,bridge_205.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_87.jpg,golf_course_87.jpg,golf_course_130.jpg,left,badlands_16.jpg,bridge_249.jpg,golf_course_87.jpg,mountain_196.jpg,playground_13.jpg,playground_13.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,2.6902,0,7,7,7,1,golf_course_130.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,mountain_110.jpg,mountain_223.jpg,mountain_110.jpg,right,mountain_110.jpg,bridge_68.jpg,playground_88.jpg,highway_195.jpg,badlands_133.jpg,badlands_133.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,9.2071,0,8,8,8,1,mountain_223.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_293.jpg,mountain_72.jpg,left,mountain_293.jpg,bridge_90.jpg,golf_course_221.jpg,playground_157.jpg,highway_146.jpg,highway_146.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,38.4164,0,9,9,9,1,mountain_72.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_23.jpg,badlands_23.jpg,badlands_114.jpg,left,bridge_119.jpg,badlands_23.jpg,golf_course_135.jpg,playground_78.jpg,highway_114.jpg,highway_114.jpg,1,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,2.2384,0,10,10,10,1,badlands_114.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_123.jpg,mountain_94.jpg,mountain_123.jpg,right,golf_course_148.jpg,mountain_123.jpg,bridge_183.jpg,playground_61.jpg,highway_256.jpg,highway_256.jpg,1,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,1.6692,0,11,11,11,1,mountain_94.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_209.jpg,highway_314.jpg,left,bridge_176.jpg,mountain_301.jpg,playground_190.jpg,highway_209.jpg,badlands_50.jpg,badlands_50.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,2.1797,0,12,12,12,1,highway_314.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_21.jpg,badlands_21.jpg,badlands_98.jpg,left,mountain_90.jpg,badlands_21.jpg,golf_course_294.jpg,highway_243.jpg,bridge_203.jpg,bridge_203.jpg,1,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,2.18,0,13,13,13,1,badlands_98.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_101.jpg,mountain_101.jpg,mountain_221.jpg,left,golf_course_119.jpg,playground_41.jpg,highway_112.jpg,mountain_101.jpg,badlands_25.jpg,badlands_25.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,1.3624,0,14,14,14,1,mountain_221.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_113.jpg,badlands_113.jpg,badlands_225.jpg,left,mountain_225.jpg,playground_16.jpg,badlands_113.jpg,golf_course_205.jpg,highway_58.jpg,highway_58.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,2.4509,0,15,15,15,1,badlands_225.jpg,0,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_222.jpg,mountain_93.jpg,mountain_222.jpg,right,playground_212.jpg,highway_323.jpg,mountain_222.jpg,badlands_168.jpg,bridge_43.jpg,bridge_43.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,2.2191,0,16,16,16,1,mountain_93.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_103.jpg,badlands_184.jpg,right,badlands_184.jpg,golf_course_163.jpg,mountain_210.jpg,highway_241.jpg,playground_31.jpg,playground_31.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,1.9151,0,17,17,17,1,badlands_103.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_78.jpg,golf_course_78.jpg,golf_course_101.jpg,left,playground_116.jpg,mountain_65.jpg,highway_330.jpg,golf_course_78.jpg,bridge_138.jpg,bridge_138.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,2.2406,0,18,18,18,1,golf_course_101.jpg,1,golf,,,,,,,,,,,
,,,,,,,,,,bridge_146.jpg,bridge_121.jpg,bridge_146.jpg,right,highway_86.jpg,bridge_146.jpg,badlands_86.jpg,golf_course_336.jpg,playground_18.jpg,playground_18.jpg,1,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,2.8101,0,19,19,19,1,bridge_121.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_217.jpg,golf_course_35.jpg,golf_course_217.jpg,right,highway_99.jpg,badlands_197.jpg,golf_course_217.jpg,playground_111.jpg,mountain_96.jpg,mountain_96.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,2.817,0,20,20,20,1,golf_course_35.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_268.jpg,playground_60.jpg,right,playground_60.jpg,mountain_280.jpg,highway_259.jpg,golf_course_240.jpg,bridge_165.jpg,bridge_165.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,1.525,0,21,21,21,1,playground_268.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,bridge_128.jpg,bridge_61.jpg,bridge_128.jpg,right,mountain_289.jpg,golf_course_170.jpg,highway_342.jpg,bridge_128.jpg,badlands_58.jpg,badlands_58.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,2.1043,0,22,22,22,1,bridge_61.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,highway_156.jpg,highway_293.jpg,highway_156.jpg,right,badlands_109.jpg,bridge_2.jpg,highway_156.jpg,playground_218.jpg,golf_course_233.jpg,golf_course_233.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,3.2764,0,23,23,23,1,highway_293.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,highway_294.jpg,highway_294.jpg,highway_368.jpg,left,mountain_102.jpg,bridge_190.jpg,highway_294.jpg,golf_course_213.jpg,badlands_173.jpg,badlands_173.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,2.504,0,24,24,24,1,highway_368.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,playground_131.jpg,playground_43.jpg,playground_131.jpg,right,highway_69.jpg,golf_course_322.jpg,playground_131.jpg,bridge_139.jpg,badlands_215.jpg,badlands_215.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,9.1562,0,25,25,25,1,playground_43.jpg,0,playground,,,,,,,,,,,
,,,,,,,,,,highway_359.jpg,highway_379.jpg,highway_359.jpg,right,playground_89.jpg,bridge_173.jpg,highway_359.jpg,mountain_204.jpg,badlands_4.jpg,badlands_4.jpg,2,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,2.6674,0,26,26,26,1,highway_379.jpg,1,highway,,,,,,,,,,,
,,,,,,,,,,badlands_221.jpg,badlands_221.jpg,badlands_207.jpg,left,golf_course_40.jpg,mountain_226.jpg,bridge_235.jpg,badlands_221.jpg,playground_155.jpg,playground_155.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,1.9969,0,27,27,27,1,badlands_207.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,golf_course_331.jpg,golf_course_114.jpg,golf_course_331.jpg,right,bridge_137.jpg,highway_215.jpg,playground_252.jpg,golf_course_331.jpg,badlands_84.jpg,badlands_84.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,2.8374,0,28,28,28,1,golf_course_114.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_191.jpg,bridge_184.jpg,left,bridge_191.jpg,highway_158.jpg,mountain_214.jpg,badlands_81.jpg,golf_course_187.jpg,golf_course_187.jpg,0,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,2.4421,0,29,29,29,1,bridge_184.jpg,0,bridge,,,,,,,,,,,
,,,,,,,,,,golf_course_309.jpg,golf_course_309.jpg,golf_course_16.jpg,left,mountain_306.jpg,badlands_227.jpg,bridge_189.jpg,golf_course_309.jpg,playground_207.jpg,playground_207.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,left,1.997,0,30,30,30,1,golf_course_16.jpg,0,golf,,,,,,,,,,,
,,,,,,,,,,bridge_108.jpg,bridge_116.jpg,bridge_108.jpg,right,golf_course_337.jpg,playground_172.jpg,highway_303.jpg,bridge_108.jpg,mountain_296.jpg,mountain_296.jpg,3,A24T86THKKGAMM,25,female,8,2023-06-27_10h52.25.843,working,2022.2.4,Win32,16.14543811,,,right,2.3521,0,31,31,31,1,bridge_116.jpg,0,bridge,,,,,,,,,,,
