key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,80.7238,left,2.3905,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,,,,,,,,,,,,,,,,,,,,,
,,,right,2.055,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1.2289,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,highway_209.jpg,highway_209.jpg,highway_314.jpg,left,highway_209.jpg,playground_54.jpg,bridge_252.jpg,mountain_158.jpg,golf_course_196.jpg,golf_course_196.jpg,0,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,space,5.9472,left,1.2109,0,0,0,0,1,highway_314.jpg,0,highway,,,,,,,,,,,
,,,,,,,,,,badlands_222.jpg,badlands_62.jpg,badlands_222.jpg,right,highway_340.jpg,bridge_15.jpg,golf_course_324.jpg,badlands_222.jpg,mountain_38.jpg,mountain_38.jpg,3,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,right,3.1658,0,1,1,1,1,badlands_62.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,bridge_172.jpg,bridge_163.jpg,bridge_172.jpg,right,bridge_172.jpg,mountain_102.jpg,playground_153.jpg,golf_course_336.jpg,badlands_109.jpg,badlands_109.jpg,0,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,left,1.6267,0,2,2,2,1,bridge_163.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,mountain_230.jpg,mountain_230.jpg,mountain_97.jpg,left,mountain_230.jpg,golf_course_8.jpg,playground_190.jpg,highway_256.jpg,badlands_173.jpg,badlands_173.jpg,0,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,right,3.8351,0,3,3,3,1,mountain_97.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,playground_60.jpg,playground_244.jpg,playground_60.jpg,right,badlands_44.jpg,playground_60.jpg,bridge_55.jpg,highway_239.jpg,mountain_65.jpg,mountain_65.jpg,1,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,left,1.5155,0,4,4,4,1,playground_244.jpg,1,playground,,,,,,,,,,,
,,,,,,,,,,bridge_191.jpg,bridge_75.jpg,bridge_191.jpg,right,badlands_201.jpg,mountain_255.jpg,bridge_191.jpg,highway_229.jpg,golf_course_163.jpg,golf_course_163.jpg,2,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,right,1.2193,0,5,5,5,1,bridge_75.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,highway_245.jpg,highway_245.jpg,highway_134.jpg,left,highway_245.jpg,playground_168.jpg,golf_course_1.jpg,bridge_43.jpg,badlands_166.jpg,badlands_166.jpg,0,A3CGQOJC28OVGN,32,female,6,2023-06-27_09h39.41.720,working,2022.2.4,Win32,59.84798612,,,left,1.0131,0,6,6,6,1,highway_134.jpg,0,highway,,,,,,,,,,,
