target,selected_dist,distractor_level,image1,image2,correct,category,background_0,background_1,background_2,background_3,background_4,target_index,background_5
golf_course_193.jpg,golf_course_123.jpg,1,golf_course_123.jpg,golf_course_193.jpg,right,golf,mountain_23.jpg,playground_105.jpg,golf_course_193.jpg,badlands_209.jpg,bridge_23.jpg,2,bridge_23.jpg
playground_76.jpg,playground_22.jpg,0,playground_76.jpg,playground_22.jpg,left,playground,playground_76.jpg,badlands_44.jpg,bridge_245.jpg,golf_course_133.jpg,highway_326.jpg,0,highway_326.jpg
mountain_156.jpg,mountain_128.jpg,0,mountain_156.jpg,mountain_128.jpg,left,mountain,mountain_156.jpg,golf_course_126.jpg,highway_210.jpg,playground_181.jpg,bridge_125.jpg,0,bridge_125.jpg
mountain_154.jpg,mountain_95.jpg,1,mountain_95.jpg,mountain_154.jpg,right,mountain,badlands_205.jpg,highway_200.jpg,golf_course_196.jpg,mountain_154.jpg,playground_152.jpg,3,playground_152.jpg
mountain_230.jpg,mountain_184.jpg,0,mountain_184.jpg,mountain_230.jpg,right,mountain,mountain_230.jpg,badlands_152.jpg,playground_96.jpg,highway_263.jpg,bridge_166.jpg,0,bridge_166.jpg
golf_course_188.jpg,golf_course_157.jpg,0,golf_course_157.jpg,golf_course_188.jpg,right,golf,highway_88.jpg,golf_course_188.jpg,mountain_243.jpg,badlands_201.jpg,playground_4.jpg,1,playground_4.jpg
bridge_250.jpg,bridge_205.jpg,1,bridge_205.jpg,bridge_250.jpg,right,bridge,bridge_250.jpg,mountain_126.jpg,badlands_223.jpg,playground_121.jpg,highway_103.jpg,0,highway_103.jpg
golf_course_87.jpg,golf_course_130.jpg,0,golf_course_87.jpg,golf_course_130.jpg,left,golf,badlands_16.jpg,bridge_249.jpg,golf_course_87.jpg,mountain_196.jpg,playground_13.jpg,2,playground_13.jpg
mountain_110.jpg,mountain_223.jpg,1,mountain_223.jpg,mountain_110.jpg,right,mountain,mountain_110.jpg,bridge_68.jpg,playground_88.jpg,highway_195.jpg,badlands_133.jpg,0,badlands_133.jpg
mountain_293.jpg,mountain_72.jpg,0,mountain_293.jpg,mountain_72.jpg,left,mountain,mountain_293.jpg,bridge_90.jpg,golf_course_221.jpg,playground_157.jpg,highway_146.jpg,0,highway_146.jpg
badlands_23.jpg,badlands_114.jpg,0,badlands_23.jpg,badlands_114.jpg,left,badlands,bridge_119.jpg,badlands_23.jpg,golf_course_135.jpg,playground_78.jpg,highway_114.jpg,1,highway_114.jpg
mountain_123.jpg,mountain_94.jpg,0,mountain_94.jpg,mountain_123.jpg,right,mountain,golf_course_148.jpg,mountain_123.jpg,bridge_183.jpg,playground_61.jpg,highway_256.jpg,1,highway_256.jpg
highway_209.jpg,highway_314.jpg,0,highway_209.jpg,highway_314.jpg,left,highway,bridge_176.jpg,mountain_301.jpg,playground_190.jpg,highway_209.jpg,badlands_50.jpg,3,badlands_50.jpg
badlands_21.jpg,badlands_98.jpg,1,badlands_21.jpg,badlands_98.jpg,left,badlands,mountain_90.jpg,badlands_21.jpg,golf_course_294.jpg,highway_243.jpg,bridge_203.jpg,1,bridge_203.jpg
mountain_101.jpg,mountain_221.jpg,1,mountain_101.jpg,mountain_221.jpg,left,mountain,golf_course_119.jpg,playground_41.jpg,highway_112.jpg,mountain_101.jpg,badlands_25.jpg,3,badlands_25.jpg
badlands_113.jpg,badlands_225.jpg,0,badlands_113.jpg,badlands_225.jpg,left,badlands,mountain_225.jpg,playground_16.jpg,badlands_113.jpg,golf_course_205.jpg,highway_58.jpg,2,highway_58.jpg
mountain_222.jpg,mountain_93.jpg,1,mountain_93.jpg,mountain_222.jpg,right,mountain,playground_212.jpg,highway_323.jpg,mountain_222.jpg,badlands_168.jpg,bridge_43.jpg,2,bridge_43.jpg
badlands_184.jpg,badlands_103.jpg,1,badlands_103.jpg,badlands_184.jpg,right,badlands,badlands_184.jpg,golf_course_163.jpg,mountain_210.jpg,highway_241.jpg,playground_31.jpg,0,playground_31.jpg
golf_course_78.jpg,golf_course_101.jpg,1,golf_course_78.jpg,golf_course_101.jpg,left,golf,playground_116.jpg,mountain_65.jpg,highway_330.jpg,golf_course_78.jpg,bridge_138.jpg,3,bridge_138.jpg
bridge_146.jpg,bridge_121.jpg,1,bridge_121.jpg,bridge_146.jpg,right,bridge,highway_86.jpg,bridge_146.jpg,badlands_86.jpg,golf_course_336.jpg,playground_18.jpg,1,playground_18.jpg
golf_course_217.jpg,golf_course_35.jpg,0,golf_course_35.jpg,golf_course_217.jpg,right,golf,highway_99.jpg,badlands_197.jpg,golf_course_217.jpg,playground_111.jpg,mountain_96.jpg,2,mountain_96.jpg
playground_60.jpg,playground_268.jpg,0,playground_268.jpg,playground_60.jpg,right,playground,playground_60.jpg,mountain_280.jpg,highway_259.jpg,golf_course_240.jpg,bridge_165.jpg,0,bridge_165.jpg
bridge_128.jpg,bridge_61.jpg,0,bridge_61.jpg,bridge_128.jpg,right,bridge,mountain_289.jpg,golf_course_170.jpg,highway_342.jpg,bridge_128.jpg,badlands_58.jpg,3,badlands_58.jpg
highway_156.jpg,highway_293.jpg,1,highway_293.jpg,highway_156.jpg,right,highway,badlands_109.jpg,bridge_2.jpg,highway_156.jpg,playground_218.jpg,golf_course_233.jpg,2,golf_course_233.jpg
highway_294.jpg,highway_368.jpg,1,highway_294.jpg,highway_368.jpg,left,highway,mountain_102.jpg,bridge_190.jpg,highway_294.jpg,golf_course_213.jpg,badlands_173.jpg,2,badlands_173.jpg
playground_131.jpg,playground_43.jpg,0,playground_43.jpg,playground_131.jpg,right,playground,highway_69.jpg,golf_course_322.jpg,playground_131.jpg,bridge_139.jpg,badlands_215.jpg,2,badlands_215.jpg
highway_359.jpg,highway_379.jpg,1,highway_379.jpg,highway_359.jpg,right,highway,playground_89.jpg,bridge_173.jpg,highway_359.jpg,mountain_204.jpg,badlands_4.jpg,2,badlands_4.jpg
badlands_221.jpg,badlands_207.jpg,1,badlands_221.jpg,badlands_207.jpg,left,badlands,golf_course_40.jpg,mountain_226.jpg,bridge_235.jpg,badlands_221.jpg,playground_155.jpg,3,playground_155.jpg
golf_course_331.jpg,golf_course_114.jpg,0,golf_course_114.jpg,golf_course_331.jpg,right,golf,bridge_137.jpg,highway_215.jpg,playground_252.jpg,golf_course_331.jpg,badlands_84.jpg,3,badlands_84.jpg
bridge_191.jpg,bridge_184.jpg,0,bridge_191.jpg,bridge_184.jpg,left,bridge,bridge_191.jpg,highway_158.jpg,mountain_214.jpg,badlands_81.jpg,golf_course_187.jpg,0,golf_course_187.jpg
golf_course_309.jpg,golf_course_16.jpg,0,golf_course_309.jpg,golf_course_16.jpg,left,golf,mountain_306.jpg,badlands_227.jpg,bridge_189.jpg,golf_course_309.jpg,playground_207.jpg,3,playground_207.jpg
bridge_108.jpg,bridge_116.jpg,0,bridge_116.jpg,bridge_108.jpg,right,bridge,golf_course_337.jpg,playground_172.jpg,highway_303.jpg,bridge_108.jpg,mountain_296.jpg,3,mountain_296.jpg
badlands_222.jpg,badlands_34.jpg,0,badlands_34.jpg,badlands_222.jpg,right,badlands,bridge_12.jpg,golf_course_152.jpg,badlands_222.jpg,playground_198.jpg,mountain_11.jpg,2,mountain_11.jpg
playground_219.jpg,playground_205.jpg,1,playground_219.jpg,playground_205.jpg,left,playground,playground_219.jpg,badlands_140.jpg,highway_302.jpg,golf_course_8.jpg,mountain_37.jpg,0,mountain_37.jpg
bridge_65.jpg,bridge_60.jpg,1,bridge_60.jpg,bridge_65.jpg,right,bridge,badlands_64.jpg,mountain_139.jpg,highway_348.jpg,bridge_65.jpg,playground_54.jpg,3,playground_54.jpg
bridge_202.jpg,bridge_38.jpg,1,bridge_202.jpg,bridge_38.jpg,left,bridge,badlands_40.jpg,bridge_202.jpg,golf_course_122.jpg,highway_340.jpg,playground_243.jpg,1,playground_243.jpg
playground_144.jpg,playground_137.jpg,0,playground_144.jpg,playground_137.jpg,left,playground,playground_144.jpg,bridge_104.jpg,badlands_45.jpg,golf_course_125.jpg,highway_361.jpg,0,highway_361.jpg
golf_course_195.jpg,golf_course_25.jpg,0,golf_course_195.jpg,golf_course_25.jpg,left,golf,playground_159.jpg,highway_239.jpg,bridge_198.jpg,golf_course_195.jpg,mountain_257.jpg,3,mountain_257.jpg
golf_course_15.jpg,golf_course_113.jpg,0,golf_course_113.jpg,golf_course_15.jpg,right,golf,highway_100.jpg,golf_course_15.jpg,bridge_156.jpg,mountain_190.jpg,playground_225.jpg,1,playground_225.jpg
highway_245.jpg,highway_134.jpg,0,highway_134.jpg,highway_245.jpg,right,highway,highway_245.jpg,playground_11.jpg,badlands_88.jpg,mountain_294.jpg,bridge_180.jpg,0,bridge_180.jpg
highway_177.jpg,highway_87.jpg,0,highway_87.jpg,highway_177.jpg,right,highway,mountain_38.jpg,bridge_4.jpg,playground_160.jpg,highway_177.jpg,golf_course_226.jpg,3,golf_course_226.jpg
playground_145.jpg,playground_242.jpg,1,playground_242.jpg,playground_145.jpg,right,playground,bridge_21.jpg,mountain_233.jpg,playground_145.jpg,badlands_77.jpg,golf_course_98.jpg,2,golf_course_98.jpg
badlands_24.jpg,badlands_53.jpg,1,badlands_24.jpg,badlands_53.jpg,left,badlands,badlands_24.jpg,highway_295.jpg,playground_153.jpg,golf_course_20.jpg,bridge_175.jpg,0,bridge_175.jpg
badlands_52.jpg,badlands_63.jpg,1,badlands_63.jpg,badlands_52.jpg,right,badlands,highway_2.jpg,badlands_52.jpg,golf_course_292.jpg,playground_150.jpg,mountain_245.jpg,1,mountain_245.jpg
mountain_232.jpg,mountain_54.jpg,1,mountain_232.jpg,mountain_54.jpg,left,mountain,mountain_232.jpg,bridge_55.jpg,golf_course_88.jpg,highway_286.jpg,badlands_155.jpg,0,badlands_155.jpg
playground_117.jpg,playground_167.jpg,0,playground_167.jpg,playground_117.jpg,right,playground,badlands_85.jpg,golf_course_210.jpg,playground_117.jpg,bridge_252.jpg,mountain_304.jpg,2,mountain_304.jpg
playground_257.jpg,playground_215.jpg,1,playground_257.jpg,playground_215.jpg,left,playground,playground_257.jpg,badlands_71.jpg,mountain_163.jpg,highway_382.jpg,golf_course_73.jpg,0,golf_course_73.jpg
highway_394.jpg,highway_406.jpg,1,highway_394.jpg,highway_406.jpg,left,highway,playground_1.jpg,mountain_265.jpg,highway_394.jpg,golf_course_279.jpg,bridge_150.jpg,2,bridge_150.jpg
highway_415.jpg,highway_60.jpg,0,highway_60.jpg,highway_415.jpg,right,highway,playground_113.jpg,bridge_136.jpg,highway_415.jpg,mountain_70.jpg,golf_course_297.jpg,2,golf_course_297.jpg
bridge_172.jpg,bridge_163.jpg,1,bridge_172.jpg,bridge_163.jpg,left,bridge,mountain_197.jpg,bridge_172.jpg,highway_38.jpg,golf_course_55.jpg,badlands_65.jpg,1,badlands_65.jpg
highway_273.jpg,highway_384.jpg,0,highway_384.jpg,highway_273.jpg,right,highway,badlands_142.jpg,highway_273.jpg,bridge_114.jpg,mountain_195.jpg,playground_114.jpg,1,playground_114.jpg
highway_93.jpg,highway_85.jpg,0,highway_85.jpg,highway_93.jpg,right,highway,highway_93.jpg,playground_39.jpg,bridge_6.jpg,mountain_59.jpg,badlands_211.jpg,0,badlands_211.jpg
golf_course_214.jpg,golf_course_317.jpg,1,golf_course_214.jpg,golf_course_317.jpg,left,golf,bridge_78.jpg,golf_course_214.jpg,mountain_135.jpg,badlands_30.jpg,playground_134.jpg,1,playground_134.jpg
playground_240.jpg,playground_40.jpg,1,playground_40.jpg,playground_240.jpg,right,playground,golf_course_244.jpg,playground_240.jpg,highway_247.jpg,mountain_143.jpg,badlands_179.jpg,1,badlands_179.jpg
badlands_137.jpg,badlands_194.jpg,0,badlands_137.jpg,badlands_194.jpg,left,badlands,mountain_112.jpg,badlands_137.jpg,bridge_239.jpg,highway_12.jpg,playground_45.jpg,1,playground_45.jpg
mountain_57.jpg,mountain_193.jpg,0,mountain_57.jpg,mountain_193.jpg,left,mountain,mountain_57.jpg,bridge_103.jpg,badlands_195.jpg,playground_100.jpg,golf_course_274.jpg,0,golf_course_274.jpg
bridge_256.jpg,bridge_211.jpg,1,bridge_256.jpg,bridge_211.jpg,left,bridge,golf_course_37.jpg,bridge_256.jpg,badlands_32.jpg,mountain_10.jpg,highway_22.jpg,1,highway_22.jpg
bridge_91.jpg,bridge_82.jpg,1,bridge_82.jpg,bridge_91.jpg,right,bridge,bridge_91.jpg,golf_course_11.jpg,playground_168.jpg,badlands_185.jpg,mountain_255.jpg,0,mountain_255.jpg
badlands_70.jpg,badlands_119.jpg,1,badlands_119.jpg,badlands_70.jpg,right,badlands,bridge_120.jpg,badlands_70.jpg,highway_117.jpg,playground_169.jpg,golf_course_92.jpg,1,golf_course_92.jpg
playground_10.jpg,playground_12.jpg,1,playground_10.jpg,playground_12.jpg,left,playground,highway_17.jpg,mountain_84.jpg,golf_course_324.jpg,playground_10.jpg,bridge_178.jpg,3,bridge_178.jpg
