key_resp.keys,key_resp_2.keys,key_resp_2.rt,demo_test_key_resp.keys,demo_test_key_resp.rt,demo_loops.thisRepN,demo_loops.thisTrialN,demo_loops.thisN,demo_loops.thisIndex,demo_loops.ran,target,image1,image2,correct,background_0,background_1,background_2,background_3,background_4,background_5,target_index,workID,Age,Gender,Hours slept (last night),date,expName,psychopyVersion,OS,frameRate,key_resp_after_demo.keys,key_resp_after_demo.rt,test_key_resp.keys,test_key_resp.rt,exp_loops.thisRepN,exp_loops.thisTrialN,exp_loops.thisN,exp_loops.thisIndex,exp_loops.ran,selected_dist,distractor_level,category,key_resp_4.keys,key_resp_4.rt,slider_part2.response,slider_part2.rt,exp_loops_part2.thisRepN,exp_loops_part2.thisTrialN,exp_loops_part2.thisN,exp_loops_part2.thisIndex,exp_loops_part2.ran,key_resp_last_slide.keys,key_resp_last_slide.rt
,space,8.806,left,0.0193,0,0,0,0,1,flower1.jpg,flower1.jpg,flower1_pair.jpg,left,leaf3.jpg,trail1.jpg,flower1.jpg,bird1.jpg,tree3.jpg,fence4.jpg,2,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,,,,,,,,,,,,,,,,,,,,,
,,,right,0.0157,0,1,1,1,1,leaf2.jpg,leaf1.jpg,leaf2.jpg,right,trail2.jpg,leaf2.jpg,bird2.jpg,tree2.jpg,fence3.jpg,flower2.jpg,1,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,,,,,,,,,,,,,,,,,,,,,
,,,right,0.2978,0,2,2,2,1,fence1.jpg,fence1.jpg,fence2.jpg,left,tree1.jpg,bird3.jpg,trail3.jpg,fence1.jpg,leaf4.jpg,flower3.jpg,3,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,badlands_137.jpg,badlands_139.jpg,badlands_137.jpg,right,playground_41.jpg,badlands_137.jpg,bridge_25.jpg,golf_course_21.jpg,golf_course_21.jpg,golf_course_21.jpg,1,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,space,7.1648,right,0.0154,0,0,0,0,1,badlands_139.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,badlands_184.jpg,badlands_184.jpg,badlands_103.jpg,left,playground_52.jpg,highway_325.jpg,badlands_184.jpg,bridge_9.jpg,bridge_9.jpg,bridge_9.jpg,2,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,right,0.0165,0,1,1,1,1,badlands_103.jpg,1,badlands,,,,,,,,,,,
,,,,,,,,,,mountain_154.jpg,mountain_131.jpg,mountain_154.jpg,right,highway_357.jpg,mountain_154.jpg,bridge_132.jpg,playground_173.jpg,playground_173.jpg,playground_173.jpg,1,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,left,0.1494,0,2,2,2,1,mountain_131.jpg,0,mountain,,,,,,,,,,,
,,,,,,,,,,mountain_293.jpg,mountain_47.jpg,mountain_293.jpg,right,highway_159.jpg,mountain_293.jpg,bridge_179.jpg,playground_70.jpg,playground_70.jpg,playground_70.jpg,1,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,left,0.0193,0,3,3,3,1,mountain_47.jpg,1,mountain,,,,,,,,,,,
,,,,,,,,,,bridge_202.jpg,bridge_38.jpg,bridge_202.jpg,right,golf_course_321.jpg,playground_209.jpg,bridge_202.jpg,highway_12.jpg,highway_12.jpg,highway_12.jpg,2,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,left,0.0193,0,4,4,4,1,bridge_38.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,bridge_256.jpg,bridge_256.jpg,bridge_211.jpg,left,badlands_13.jpg,bridge_256.jpg,highway_114.jpg,mountain_214.jpg,mountain_214.jpg,mountain_214.jpg,1,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,left,0.0197,0,5,5,5,1,bridge_211.jpg,1,bridge,,,,,,,,,,,
,,,,,,,,,,badlands_221.jpg,badlands_221.jpg,badlands_207.jpg,left,golf_course_290.jpg,badlands_221.jpg,highway_301.jpg,playground_30.jpg,playground_30.jpg,playground_30.jpg,1,A1ZJSPZ816942Q,35,FEMALE,8,2023-07-16_08h04.19.322,working,2022.2.4,Win32,10.88234014,,,left,0.017,0,6,6,6,1,badlands_207.jpg,1,badlands,,,,,,,,,,,
