,demo_demo_accuracy,demo_RT_overall_mean,level_1_rating,level_1_accuracy,level_1_rt,level_3_rating,level_3_accuracy,level_3_rt,subject,longest_response_strike,Test_overall_accuracy,RT_overall_mean,rating_varience,rating_mean,demo_demo_accuracy,longest_response_strike,not_too_slow,not_too_Fast,0,1,2,qualified_binom,WorkerId
A2CB9D65R9CY9A,1.0,3.1946999999999997,5.393055555666667,0.6333333333333333,0.8559633333666666,5.048611111166666,0.6666666666666666,0.7754766666999999,A2CB9D65R9CY9A,3,0.65,0.8157200000333334,1.5539689424392231,5.2208333334166666,True,True,True,False,False,False,True,True,A2CB9D65R9CY9A
A3CLHW8U4DXVI3,0.3333333333333333,5.105966666666666,4.773347701206896,0.7586206896551724,2.8002862068965517,5.744612068965517,0.5862068965517241,3.150586206896552,A3CLHW8U4DXVI3,3,0.6724137931034483,2.975436206896552,1.5993563104231872,5.258979885086207,True,True,True,True,True,False,True,True,A3CLHW8U4DXVI3
A1ODU7S7ENNY66,0.3333333333333333,7.557766666666667,7.049652777766666,0.6333333333333333,1.9035233333666668,7.1538194444,0.7333333333333333,1.8457700000666668,A1ODU7S7ENNY66,4,0.6833333333333333,1.8746466667166668,1.3422955420180345,7.101736111083333,True,True,True,True,False,True,True,True,A1ODU7S7ENNY66
A24MNMHSFYW6B,0.0,10.620600000000001,5.318227593142857,0.5714285714285714,2.778225,6.1456193353,0.8,2.332266666666667,A24MNMHSFYW6B,10,0.6896551724137931,2.5475568965517246,1.616570401943999,5.746188839086208,True,True,True,True,False,True,True,True,A24MNMHSFYW6B
A2HBCXAK9A7A8D,0.6666666666666666,2.992566667333333,6.135069444366667,0.4666666666666667,0.4570333333,6.1524305555000005,0.5666666666666667,0.5041333333,A2HBCXAK9A7A8D,4,0.5166666666666667,0.48058333329999997,1.0828422669845628,6.143749999933333,True,True,True,False,False,False,False,False,A2HBCXAK9A7A8D
A256QIR5XUIP8K,0.6666666666666666,3.738666666666667,7.9434705148275855,0.5517241379310345,1.0843793103448276,7.765494772766667,0.6,1.2937666666666667,A256QIR5XUIP8K,4,0.576271186440678,1.1908474576271186,1.6756690171800979,7.85297437479661,True,True,True,False,False,False,False,False,A256QIR5XUIP8K
A1SN7EOZUW5VP3,0.6666666666666666,2.1093333333333333,5.828124999933333,0.6333333333333333,1.2795333333333334,5.910763888899999,0.8,1.2667,A1SN7EOZUW5VP3,4,0.7166666666666667,1.2731166666666667,1.112315474017819,5.869444444416668,True,True,True,True,False,True,True,True,A1SN7EOZUW5VP3
A3H2R42UQR0EPQ,0.6666666666666666,6.118933333333334,4.620109843700001,0.7,1.4938433333333334,5.059146599133333,0.6,1.4965466666666667,A3H2R42UQR0EPQ,4,0.65,1.4951949999999998,1.0646387695987984,4.839628221416666,True,True,True,True,True,False,True,True,A3H2R42UQR0EPQ
A2HAEJBQ5Z0QG1,0.3333333333333333,17.658033333333332,5.250718390793104,0.6206896551724138,2.6303,6.9151785713928575,0.39285714285714285,2.0639214285714287,A2HAEJBQ5Z0QG1,11,0.5087719298245614,2.352078947368421,1.6724173221918754,6.0683479531929825,True,True,True,True,False,False,False,False,A2HAEJBQ5Z0QG1
A3DLP5ADP74EI0,0.6666666666666666,3.4564999999999997,5.6680555556000005,0.6666666666666666,1.25664,7.752083333299999,0.6333333333333333,1.3331733333333333,A3DLP5ADP74EI0,5,0.65,1.2949066666666667,2.239659428076018,6.71006944445,True,True,True,True,False,False,True,True,A3DLP5ADP74EI0
AJQ71YIGY01HZ,0.6666666666666666,1.9237333333333335,4.632992028666666,0.5333333333333333,1.3962833333333333,5.8950404419,0.4666666666666667,1.1842866666666665,AJQ71YIGY01HZ,5,0.5,1.2902850000000001,3.217520008162687,5.264016235283334,True,True,True,True,False,False,False,False,AJQ71YIGY01HZ
A1JSTMN1SO5C5U,0.6666666666666666,2.4994,7.0434027777666675,0.6,1.9558133333333332,7.399066091931035,0.5517241379310345,1.550555172413793,A1JSTMN1SO5C5U,3,0.576271186440678,1.7566186440677967,1.208625026216238,7.218220338966103,True,True,True,True,False,False,False,False,A1JSTMN1SO5C5U
AUQ3XC7O2CU5U,0.3333333333333333,2.9518,7.469521604925926,0.5555555555555556,2.3046037037037035,7.430059523821428,0.5714285714285714,2.0594714285714284,AUQ3XC7O2CU5U,6,0.5636363636363636,2.179809090909091,0.5487151881008007,7.449431818181816,True,True,True,False,False,False,False,False,AUQ3XC7O2CU5U
A1ZJSPZ816942Q,0.6666666666666666,0.11093333333333333,7.494444444533333,0.4666666666666667,0.04996333333333333,7.5868055556666665,0.36666666666666664,0.026726666666666666,A1ZJSPZ816942Q,5,0.4166666666666667,0.038345,0.498875781325144,7.540625000100001,True,True,True,False,False,False,False,False,A1ZJSPZ816942Q
AWGNBPBMKCGAP,0.0,1.4093333333333333,7.964583333366666,0.5666666666666667,1.6398166666666667,7.718750000034483,0.5172413793103449,1.2206862068965518,AWGNBPBMKCGAP,2,0.5423728813559322,1.4338033898305083,0.9564613463463735,7.843750000033899,True,True,True,True,False,False,False,False,AWGNBPBMKCGAP
A1JQV2V5NSONX6,0.3333333333333333,34.321333333333335,4.941105769192308,0.5384615384615384,3.439819230769231,4.604567307730769,0.5769230769230769,3.558926923076923,A1JQV2V5NSONX6,51,0.5576923076923077,3.499373076923077,1.7379724969854349,4.772836538461538,True,False,False,True,False,False,False,False,A1JQV2V5NSONX6
AK84D0JFR31KS,0.3333333333333333,6.3536,4.802854938296297,0.6296296296296297,2.649966666703704,4.959375000033333,0.8333333333333334,2.1219933333,AK84D0JFR31KS,5,0.7368421052631579,2.3720859649122814,0.9928234300745377,4.885233918157895,True,True,True,True,False,True,True,True,AK84D0JFR31KS
AX74C4S7OTGGI,0.3333333333333333,2.330833333333333,5.53125,0.6666666666666666,2.024033333333333,6.530555555466666,0.6,1.91205,AX74C4S7OTGGI,6,0.6333333333333333,1.968041666666667,1.3331180951924428,6.030902777733333,True,True,True,True,False,False,False,False,AX74C4S7OTGGI
